programme_key,component,predictor,relative_influence
manta,occurrence,ann_maxdhw,13.595386365548263
manta,occurrence,acropora_cover_pre,12.551714732771776
manta,occurrence,dhw_novelty10,12.071756315681622
manta,occurrence,winyear_mean,9.551978784162536
manta,occurrence,cloudp_90,8.966693811411025
manta,occurrence,secc3m,6.454575066077539
manta,occurrence,yrsince6,5.277274585366846
manta,occurrence,yrsince4,5.032150278268035
manta,occurrence,histmDHW4,4.310612355631999
manta,occurrence,winyear_sd,3.8541681644764765
manta,occurrence,prop_acropora_pre,3.75879292267915
manta,occurrence,ann_maxsst,3.7150289102438294
manta,occurrence,secc3m_p10,2.964006627644535
manta,occurrence,mcur_90,2.737943213443981
manta,occurrence,histmDHW6,1.759146647251154
manta,occurrence,dhw10_load4,1.7460884247676594
manta,occurrence,dist_to_er_km,1.6526827945735756
manta,magnitude,dhw_novelty10,13.585312500500109
manta,magnitude,ann_maxdhw,10.911644206410609
manta,magnitude,cloudp_90,9.886752432161437
manta,magnitude,mcur_90,9.74261391367507
manta,magnitude,acropora_cover_pre,8.288937649474049
manta,magnitude,winyear_sd,6.502743883616491
manta,magnitude,secc3m_p10,6.262869194062183
manta,magnitude,winyear_mean,5.968375623385305
manta,magnitude,ann_maxsst,5.750970602660286
manta,magnitude,prop_acropora_pre,4.845163550523007
manta,magnitude,secc3m,4.841596935574711
manta,magnitude,histmDHW6,4.030666547153994
manta,magnitude,dist_to_er_km,3.880085836582511
manta,magnitude,histmDHW4,2.7220479011887795
manta,magnitude,dhw10_load4,1.4883865916659358
manta,magnitude,yrsince6,0.7922296722784268
manta,magnitude,yrsince4,0.49960295908709074
ltmp,occurrence,dhw_novelty10,12.180206183000783
ltmp,occurrence,acropora_cover_pre,9.667937472957325
ltmp,occurrence,cloudp_90,8.152397912529187
ltmp,occurrence,ann_maxdhw,7.314301586303594
ltmp,occurrence,prop_acropora_pre,7.138863550384864
ltmp,occurrence,secc3m,6.844073735607867
ltmp,occurrence,histmDHW4,6.791099124657206
ltmp,occurrence,winyear_mean,5.934635746926317
ltmp,occurrence,winyear_sd,5.687293269910556
ltmp,occurrence,secc3m_p10,5.669465443160644
ltmp,occurrence,ann_maxsst,5.616055781285918
ltmp,occurrence,dist_to_er_km,4.341484919801689
ltmp,occurrence,mcur_90,4.0133728818044405
ltmp,occurrence,dhw10_load4,3.879214074766782
ltmp,occurrence,histmDHW6,3.720931788014242
ltmp,occurrence,yrsince4,2.47758607654497
ltmp,occurrence,yrsince6,0.5710804523436106
ltmp,magnitude,dhw_novelty10,30.46373313732112
ltmp,magnitude,ann_maxdhw,10.941216639008156
ltmp,magnitude,mcur_90,9.288722669753572
ltmp,magnitude,dist_to_er_km,5.980093381623888
ltmp,magnitude,prop_acropora_pre,5.8697968832026435
ltmp,magnitude,histmDHW4,5.578597303640935
ltmp,magnitude,ann_maxsst,5.0049276041475395
ltmp,magnitude,winyear_sd,4.49353055209434
ltmp,magnitude,cloudp_90,4.4160688367870495
ltmp,magnitude,acropora_cover_pre,3.3207932000897524
ltmp,magnitude,secc3m_p10,3.2262615309568514
ltmp,magnitude,winyear_mean,3.0087177130117513
ltmp,magnitude,secc3m,2.662203494072012
ltmp,magnitude,histmDHW6,1.7449596574615138
ltmp,magnitude,yrsince4,1.5445778061544044
ltmp,magnitude,dhw10_load4,1.3108120532637257
ltmp,magnitude,yrsince6,1.1449875374107399
mmp,occurrence,ann_maxdhw,20.016881912704452
mmp,occurrence,acropora_cover_pre,17.05402049271339
mmp,occurrence,ann_maxsst,12.866308731144082
mmp,occurrence,cloudp_90,8.660538859407437
mmp,occurrence,dhw_novelty10,7.7361437558253
mmp,occurrence,secc3m,6.3280404637196686
mmp,occurrence,mcur_90,4.52327536114138
mmp,occurrence,winyear_sd,4.103862495649504
mmp,occurrence,histmDHW6,3.961604368621461
mmp,occurrence,secc3m_p10,3.434533150433312
mmp,occurrence,winyear_mean,3.3543288472286745
mmp,occurrence,prop_acropora_pre,3.2448807867841083
mmp,occurrence,histmDHW4,2.2277834243776184
mmp,occurrence,dist_to_er_km,1.0241069025833625
mmp,occurrence,dhw10_load4,0.9552929488168801
mmp,occurrence,yrsince6,0.3885944773983436
mmp,occurrence,depth,0.11980302145102863
mmp,occurrence,yrsince4,0
mmp,magnitude,histmDHW6,29.273981017953943
mmp,magnitude,depth,14.047953024924732
mmp,magnitude,mcur_90,11.112048381300326
mmp,magnitude,prop_acropora_pre,10.224706994199138
mmp,magnitude,dist_to_er_km,9.18867687859062
mmp,magnitude,secc3m,6.145342977443073
mmp,magnitude,acropora_cover_pre,3.775020949855988
mmp,magnitude,cloudp_90,3.3709251123796804
mmp,magnitude,winyear_sd,2.4835776180649374
mmp,magnitude,secc3m_p10,1.9542113346654975
mmp,magnitude,ann_maxdhw,1.9170568247914932
mmp,magnitude,dhw10_load4,1.722458182444969
mmp,magnitude,ann_maxsst,1.4424188393252328
mmp,magnitude,winyear_mean,1.386628308677199
mmp,magnitude,dhw_novelty10,1.1163657438303805
mmp,magnitude,histmDHW4,0.8386278115527979
mmp,magnitude,yrsince6,0
mmp,magnitude,yrsince4,0
