interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,mae,programme_key,scheme,fold,n_analysis,n_assessment
3,0.03,10,gaussian,250,228,0.12120341401128583,0.08568728797587663,manta,leave_one_event_out,2016,228,20
2,0.03,5,gaussian,250,225,0.12840394425618176,0.09259701648121833,manta,leave_one_event_out,2017,225,23
2,0.01,5,gaussian,1000,185,0.13146700274719247,0.10044934878284639,manta,leave_one_event_out,2020,185,63
3,0.03,10,gaussian,250,195,0.12372251195592562,0.08920036925079802,manta,leave_one_event_out,2022,195,53
3,0.01,5,gaussian,500,159,0.08543749979105851,0.051716330630893856,manta,leave_one_event_out,2024,159,89
3,0.03,10,gaussian,500,198,0.12354214062261087,0.0873044656044632,manta,reef_blocked_5fold,1,198,50
3,0.01,5,gaussian,1000,198,0.12607077332957542,0.08570906260736666,manta,reef_blocked_5fold,2,198,50
3,0.01,5,gaussian,1500,198,0.11829378211189023,0.08257355258724101,manta,reef_blocked_5fold,3,198,50
2,0.03,5,gaussian,250,199,0.12849045772259626,0.09185629409419674,manta,reef_blocked_5fold,4,199,49
3,0.01,10,gaussian,1500,199,0.12079787097840293,0.08268977228284818,manta,reef_blocked_5fold,5,199,49
2,0.01,5,gaussian,1000,136,0.12025817835806053,0.08236460688650385,manta,region_blocked,Central GBR,136,112
3,0.01,5,gaussian,500,189,0.12190526340917117,0.09162217577515315,manta,region_blocked,Northern GBR,189,59
2,0.03,5,gaussian,500,171,0.122618055776702,0.08107226304276487,manta,region_blocked,Southern GBR,171,77
3,0.03,5,gaussian,250,177,0.11879818222979688,0.07194671944020811,ltmp,leave_one_event_out,2016,177,22
2,0.03,5,logit_gaussian,1500,180,0.08551859569120102,0.05108493260623154,ltmp,leave_one_event_out,2017,180,19
3,0.03,5,logit_gaussian,1500,152,0.13404583030626846,0.07968165268777336,ltmp,leave_one_event_out,2020,152,47
3,0.03,5,logit_gaussian,250,163,0.13730664002277193,0.08566445326357972,ltmp,leave_one_event_out,2022,163,36
1,0.01,5,gaussian,500,124,0.14216129427466254,0.08541754273031504,ltmp,leave_one_event_out,2024,124,75
3,0.01,5,gaussian,250,159,0.12835118287530073,0.08034585083384105,ltmp,reef_blocked_5fold,1,159,40
1,0.01,5,gaussian,500,159,0.13146574651663193,0.08731771799822113,ltmp,reef_blocked_5fold,2,159,40
1,0.01,5,gaussian,500,159,0.1276975774271317,0.0819052563435658,ltmp,reef_blocked_5fold,3,159,40
3,0.03,5,gaussian,100,159,0.12175997329053684,0.07755568221599399,ltmp,reef_blocked_5fold,4,159,40
2,0.01,5,gaussian,1000,160,0.13381943753216213,0.08040851596500183,ltmp,reef_blocked_5fold,5,160,39
2,0.03,5,logit_gaussian,1500,101,0.13301934294694018,0.07714593690839575,ltmp,region_blocked,Central GBR,101,98
3,0.01,5,logit_gaussian,1000,143,0.12549106590653042,0.07123710507715675,ltmp,region_blocked,Northern GBR,143,56
2,0.03,5,gaussian,250,154,0.11458527613151552,0.06795154490592396,ltmp,region_blocked,Southern GBR,154,45
3,0.01,10,gaussian,100,58,0.26182196227586246,0.20979978436540356,mmp,leave_one_event_out,2017,58,32
2,0.03,10,gaussian,100,86,0.21264290336887468,0.15059259660265034,mmp,leave_one_event_out,2022,86,4
2,0.01,10,gaussian,100,36,0.1160683155821446,0.09407808405675429,mmp,leave_one_event_out,2024,36,54
3,0.01,10,gaussian,100,72,0.23200589037063066,0.17427293461882198,mmp,reef_blocked_5fold,1,72,18
3,0.03,10,gaussian,500,72,0.2149690320539833,0.14151353619631846,mmp,reef_blocked_5fold,2,72,18
2,0.01,5,logit_gaussian,500,72,0.14000125531310617,0.10914610707076276,mmp,reef_blocked_5fold,3,72,18
2,0.03,10,gaussian,250,72,0.22464364251099614,0.1570529348353621,mmp,reef_blocked_5fold,4,72,18
3,0.01,10,gaussian,100,72,0.24468487140700415,0.18360694841089695,mmp,reef_blocked_5fold,5,72,18
1,0.01,10,gaussian,100,22,0.2469731501869363,0.21612704728635734,mmp,region_blocked,Central GBR,22,68
3,0.01,10,gaussian,1500,68,0.1970778671825615,0.13273192718205784,mmp,region_blocked,Southern GBR,68,22
