programme_key,learner,scheme,event_year,n,obs,pred,obs_occ,pred_occ,obs_pos,pred_pos
ltmp,brms,leave_one_event_out,2022,36,0.01585845519859899,0.04622652114286182,0.3611111111111111,0.24820780644156096,0.043915722088427964,0.18978993901862845
ltmp,brms,leave_one_event_out,2024,75,0.11262580066603782,0.10093597896999319,0.6266666666666667,0.43073559460827926,0.17972202233942206,0.2449078861489309
ltmp,brms,reef_blocked_5fold,2022,36,0.01585845519859899,0.028582145265204056,0.3611111111111111,0.3207058645066275,0.043915722088427964,0.10616496038487234
ltmp,brms,reef_blocked_5fold,2024,75,0.11262580066603782,0.11203823718465263,0.6266666666666667,0.6034834282391667,0.17972202233942206,0.19123575339880228
ltmp,brt,leave_one_event_out,2022,36,0.01585845519859899,0.024492151828665498,0.3611111111111111,0.29893990919199703,0.043915722088427964,0.07849601705367183
ltmp,brt,leave_one_event_out,2024,75,0.11262580066603782,0.07082848415592496,0.6266666666666667,0.32900119959958535,0.17972202233942206,0.22369740313237169
ltmp,brt,reef_blocked_5fold,2022,36,0.01585845519859899,0.03316197410184872,0.3611111111111111,0.30594978237637943,0.043915722088427964,0.14506445830063625
ltmp,brt,reef_blocked_5fold,2024,75,0.11262580066603782,0.09517985123994432,0.6266666666666667,0.5165718979683003,0.17972202233942206,0.1853094347948954
ltmp,formal_ensemble,leave_one_event_out,2022,36,0.01585845519859899,0.03870152916154728,0.3611111111111111,0.2657725519776967,0.043915722088427964,0.15125714985651917
ltmp,formal_ensemble,leave_one_event_out,2024,75,0.11262580066603782,0.08895175474402241,0.6266666666666667,0.39024043521999385,0.17972202233942206,0.2364650985313834
ltmp,formal_ensemble,reef_blocked_5fold,2022,36,0.01585845519859899,0.030850483599931682,0.3611111111111111,0.31399015372915673,0.043915722088427964,0.12616959486045698
ltmp,formal_ensemble,reef_blocked_5fold,2024,75,0.11262580066603782,0.10216799737546968,0.6266666666666667,0.5569537132931348,0.17972202233942206,0.18668729017289082
manta,brms,leave_one_event_out,2022,53,0.03579084242297705,0.06654131305643222,0.3018867924528302,0.26744660757651784,0.11855716552611148,0.27646751048387297
manta,brms,leave_one_event_out,2024,89,0.1910089706758529,0.10656478659181992,0.7303370786516854,0.479943254388219,0.26153535984847553,0.22404404817078816
manta,brms,reef_blocked_5fold,2022,53,0.03579084242297705,0.04678292676532839,0.3018867924528302,0.29685013373160474,0.11855716552611148,0.16794049067574326
manta,brms,reef_blocked_5fold,2024,89,0.1910089706758529,0.17137277732402834,0.7303370786516854,0.7173330692541134,0.26153535984847553,0.24487930658459456
manta,brt,leave_one_event_out,2022,53,0.03579084242297705,0.08796768674586543,0.3018867924528302,0.38357325164247214,0.11855716552611148,0.1812970694261541
manta,brt,leave_one_event_out,2024,89,0.1910089706758529,0.038278543559840464,0.7303370786516854,0.2138267563241248,0.26153535984847553,0.1915670823988889
manta,brt,reef_blocked_5fold,2022,53,0.03579084242297705,0.043017039499921784,0.3018867924528302,0.28082224825160973,0.11855716552611148,0.14354949577488205
manta,brt,reef_blocked_5fold,2024,89,0.1910089706758529,0.16328983342595324,0.7303370786516854,0.6576150590669667,0.26153535984847553,0.2539517133179803
manta,formal_ensemble,leave_one_event_out,2022,53,0.03579084242297705,0.06654131305643222,0.3018867924528302,0.26744660757651784,0.11855716552611148,0.27646751048387297
manta,formal_ensemble,leave_one_event_out,2024,89,0.1910089706758529,0.10656478659181992,0.7303370786516854,0.479943254388219,0.26153535984847553,0.22404404817078816
manta,formal_ensemble,reef_blocked_5fold,2022,53,0.03579084242297705,0.04400665930353799,0.3018867924528302,0.2816466963776678,0.11855716552611148,0.15473374870494194
manta,formal_ensemble,reef_blocked_5fold,2024,89,0.1910089706758529,0.16681496264110393,0.7303370786516854,0.6800102623423068,0.26153535984847553,0.25108921100188253
mmp,brms,leave_one_event_out,2022,4,0,0.14971876403596776,0,0.7154860594675315,NA,NA
mmp,brms,leave_one_event_out,2024,54,0.2377982153127752,0.12142611013439271,0.6666666666666666,0.2669946534627486,0.3566973229691628,0.6553423893868718
mmp,brms,reef_blocked_5fold,2022,4,0,0.10163861757614814,0,0.3551252462506834,NA,NA
mmp,brms,reef_blocked_5fold,2024,54,0.2377982153127752,0.2458235254895551,0.6666666666666666,0.6377245620591854,0.3566973229691628,0.403560784376748
mmp,brt,leave_one_event_out,2022,4,0,0.15020848733437808,0,0.7491925188523749,NA,NA
mmp,brt,leave_one_event_out,2024,54,0.2377982153127752,0.08960175585177006,0.6666666666666666,0.5436532382359784,0.3566973229691628,0.17350497634388662
mmp,brt,reef_blocked_5fold,2022,4,0,0.09014099236797354,0,0.41773429625497605,NA,NA
mmp,brt,reef_blocked_5fold,2024,54,0.2377982153127752,0.2101553313000694,0.6666666666666666,0.6417251048336106,0.3566973229691628,0.3305241811919342
mmp,formal_ensemble,leave_one_event_out,2022,4,0,0.14971876403596776,0,0.7154860594675315,NA,NA
mmp,formal_ensemble,leave_one_event_out,2024,54,0.2377982153127752,0.11014182044995348,0.6666666666666666,0.3650923426269493,0.3566973229691628,0.48449232590116065
mmp,formal_ensemble,reef_blocked_5fold,2022,4,0,0.09837178684453021,0,0.36280432479597274,NA,NA
mmp,formal_ensemble,reef_blocked_5fold,2024,54,0.2377982153127752,0.24209517022056495,0.6666666666666666,0.6385760611911899,0.3566973229691628,0.3948607901029612
