programme_key,event_year,n,reefs,mortality_mean,mortality_median,any_loss,positive_mean,severe,dhw_mean,dhw_median,dhw_max,hist6_mean,hist4_mean,yrsince6_mean,acropora_cover,cloud,secchi
ltmp,2016,22,22,0.18330675000243254,0.008940053446582347,0.5,0.3666135000048651,0.36363636363636365,4.851818181818182,4.485,11.49,0.2859090909090909,3.392272727272727,34.04545454545455,0.08802597951973123,0.6021079745454545,NA
ltmp,2017,19,18,0.18617327096624434,0.004255328708945667,0.5263157894736842,0.3537292148358642,0.3157894736842105,6.631578947368421,6.15,10.9,2.981578947368421,4.968421052631579,30.57894736842105,0.08485993379821564,0.6344815305263158,NA
ltmp,2020,47,47,0.02271156283741858,0,0.1276595744680851,0.17790724222644555,0.0425531914893617,6.529148936170213,6.41,10.27,7.305531914893617,7.747659574468085,14,0.07993737923055634,0.7327740246808511,NA
ltmp,2022,36,36,0.01585845519859899,0,0.3611111111111111,0.043915722088427964,0.027777777777777776,4.876666666666667,5.04,10.45,7.788888888888889,6.174444444444444,7.416666666666667,0.08070935193801157,0.7244613091666666,15.577891222222222
ltmp,2024,75,65,0.11262580066603782,0.0636605992892416,0.6266666666666667,0.17972202233942206,0.16,7.596933333333333,7.34,11.64,6.558533333333333,5.485333333333333,12.92,0.12352239860984796,0.7666848865333333,NA
manta,2016,20,20,0.14544376847496326,0.11866117225381372,0.55,0.2644432154090241,0.35,4.615,4.485,9.98,0.668,3.719,32.9,0.07942119537422557,0.600615668,16.68469135
manta,2017,23,22,0.13097818838058506,0.08284410877342505,0.5652173913043478,0.23173064098103507,0.2608695652173913,6.353913043478261,6.15,10.9,2.448695652173913,4.98,32,0.09110524431072342,0.63693803,20.81572304347826
manta,2020,63,63,0.01145997072577666,0,0.07936507936507936,0.1443956311447859,0.015873015873015872,5.91984126984127,5.98,9.42,7.381111111111111,7.96936507936508,13.666666666666666,0.1002892874176921,0.7176571657142857,14.630998968253968
manta,2022,53,53,0.03579084242297705,0,0.3018867924528302,0.11855716552611148,0.05660377358490566,4.652075471698113,4.64,10.45,7.564528301886792,6.560566037735849,9.924528301886792,0.10208465691365728,0.690391683773585,14.46376420754717
manta,2024,89,79,0.1910089706758529,0.1797052706947009,0.7303370786516854,0.26153535984847553,0.43820224719101125,7.618539325842697,7.58,11.64,6.254943820224719,5.431685393258427,16.292134831460675,0.14603011282185308,0.7518162550561798,NA
mmp,2017,32,13,0.12532500342899636,0.08411674596915264,0.71875,0.17436522216208186,0.3125,9.1925,9.075,11.65,0.9125000000000001,2.97,33.1875,0.0844872518261898,0.704084126875,12.831208912034125
mmp,2022,4,2,0,0,0,NA,0,6.470000000000001,6.470000000000001,7.62,7.27,7.27,2,0.24289441065548578,0.69139555,17.52669088815031
mmp,2024,54,18,0.2377982153127752,0.11650164858549342,0.6666666666666666,0.3566973229691628,0.46296296296296297,8.935925925925925,8.78,13.26,9.305185185185184,6.757037037037037,4.851851851851852,0.1348604510528239,0.7557778640740741,11.076132666252294
