programme_key,event_year,region_block,n,reefs,mortality,any_loss,positive_mean,severe,dhw,hist6,yrsince6,acropora_cover
ltmp,2022,Central GBR,19,19,0.02388938402786116,0.3684210526315789,0.06484261378990887,0.05263157894736842,5.113157894736842,7.355263157894737,11.789473684210526,0.09261407649584255
ltmp,2022,Northern GBR,14,14,0.007662104317035059,0.35714285714285715,0.021453892087698167,0,5.532857142857143,8.322857142857142,2.642857142857143,0.048458421930252196
ltmp,2022,Southern GBR,3,3,0.0032455433939035665,0.3333333333333333,0.0097366301817107,0,0.31666666666666665,8.043333333333333,2,0.15581710310795915
ltmp,2024,Central GBR,32,25,0.06232268023716197,0.53125,0.11731328044642253,0.0625,6.8146875,6.8478125,15.625,0.11407406245889465
ltmp,2024,Northern GBR,18,18,0.10852992837412632,0.6111111111111112,0.17759442824857036,0.2777777777777778,6.743333333333333,8.207777777777778,4.722222222222222,0.08208639701915799
ltmp,2024,Southern GBR,25,22,0.1799628228651752,0.76,0.23679318798049367,0.2,9.2128,5.0008,15.36,0.16545019002836495
manta,2022,Central GBR,24,24,0.06592278055490292,0.4166666666666667,0.158214673331767,0.125,5.03375,7.541666666666667,14.125,0.11477453953032246
manta,2022,Northern GBR,17,17,0.0038351434524785733,0.11764705882352941,0.032598719346067874,0,5.654117647058824,7.762941176470588,2.7058823529411766,0.06392313759830157
manta,2022,Southern GBR,12,12,0.02079753970066484,0.3333333333333333,0.06239261910199451,0,2.4691666666666667,7.329166666666667,11.75,0.13076704404374753
manta,2024,Central GBR,33,26,0.1265653429748058,0.5757575757575758,0.2198240167457153,0.2727272727272727,6.622727272727273,6.715454545454546,19.303030303030305,0.13357738850637457
manta,2024,Northern GBR,18,18,0.26767861630565704,0.8888888888888888,0.30113844334386414,0.5555555555555556,6.876666666666667,8.238888888888889,5,0.1162048703535787
manta,2024,Southern GBR,38,35,0.21065597311790765,0.7894736842105263,0.26683089928268305,0.5263157894736842,8.834736842105263,4.915263157894737,19.026315789473685,0.17097206721237226
mmp,2022,Central GBR,4,2,0,0,NA,0,6.470000000000001,7.27,2,0.24289441065548578
mmp,2024,Central GBR,34,13,0.164157917994585,0.5,0.32831583598917,0.29411764705882354,6.965294117647059,8.99529411764706,5.352941176470588,0.09030280078974344
mmp,2024,Southern GBR,20,5,0.36298672075369853,0.95,0.38209128500389317,0.75,12.286,9.832,4,0.2106084565000607
