ReefID,thermal_reef_id,event_year,ann_maxdhw,history_years,dhw10_sum,dhw10_mean,dhw10_max,dhw10_n4,dhw10_n6,dhw_novel_excess,dhw_ratio_prior_max
13-118a,13-118,2016,9.82,10,14.459999999999999,1.446,3.5275,0,0,6.2925,2.7838412473423104
13-121,13-121,2016,9.98,10,16.01,1.601,4.13,1,0,5.8500000000000005,2.4164648910411626
13-124,13-124,2016,7.04,10,9.36,0.9359999999999999,2.03,0,0,5.01,3.4679802955665027
13-127,13-127,2016,8.24,10,13.31,1.331,3.535,0,0,4.705,2.330975954738331
14-114,14-114,2016,8.61,10,11.12,1.112,2.22,0,0,6.389999999999999,3.8783783783783776
15-099c,15-099,2016,6.890000000000001,10,6.926666666666667,0.6926666666666667,1.64,0,0,5.250000000000001,4.201219512195123
16-015,16-015,2016,2.75,10,5.12,0.512,1.4625,0,0,1.2875,1.8803418803418805
16-019,16-019,2016,5.82,10,6.9,0.69,1.615,0,0,4.205,3.603715170278638
16-025,16-025,2016,5.82,10,7.7299999999999995,0.773,1.65,0,0,4.17,3.527272727272728
16-049,16-049,2016,3.67,10,10.74,1.074,2.49,0,0,1.1799999999999997,1.4738955823293172
16-057,16-057,2016,5.29,10,9.479999999,0.9479999999000001,2.66,0,0,2.63,1.988721804511278
16-060,16-060,2016,4.62,10,10.75,1.075,2.84,0,0,1.7800000000000002,1.6267605633802817
16-064,16-064,2016,4.3500000000000005,10,10.806666667,1.0806666667,2.583333333,0,0,1.7666666670000004,1.6838709679592092
17-032,17-032,2016,4.25,10,11.134,1.1134,2.646,0,0,1.604,1.6061980347694633
17-034,17-034,2016,2.3000000000000003,10,10.05,1.0050000000000001,2.95,0,0,0,0.7796610169491526
20-287,20-287,2016,2.04,10,8.52,0.852,2.5025,0,0,0,0.8151848151848152
21-305,21-305,2016,0,10,4.79,0.47900000000000004,1.74,0,0,0,0
22-104a,22-104,2016,0.37,10,4.198333333333333,0.41983333333333334,1.6656666666666666,0,0,0,0.2221332799679808
23-048,23-048,2016,0,10,5.09,0.509,3.74,0,0,0,0
23-082a,23-082,2016,0.44,10,3.7200000005000002,0.37200000005,1.8133333335000001,0,0,0,0.24264705880122728
15-099c,15-099,2017,8.16,10,12.966666666666667,1.2966666666666666,6.04,1,1,2.12,1.3509933774834437
16-019,16-019,2017,8.58,10,12.795,1.2794999999999999,5.895,1,0,2.6850000000000005,1.4554707379134861
16-057,16-057,2017,10.25,10,14.673333333,1.4673333333,5.286666667,1,0,4.963333333,1.9388398485536669
16-064,16-064,2017,10.9,10,14.053333334,1.4053333334,4.026666667,1,0,6.873333333000001,2.7069536421600207
16-068,16-068,2017,10.88,10,15.223333335,1.5223333335,3.756666667,0,0,7.123333333000001,2.8961845605238525
17-034,17-034,2017,8.91,10,11.91,1.191,2.95,0,0,5.96,3.020338983050847
18-030,18-030,2017,7.640000000000001,10,13.3225,1.33225,3.7175,0,0,3.9225000000000008,2.055144586415602
18-031,18-031,2017,7.19,10,12.475,1.2475,3.22,0,0,3.97,2.232919254658385
18-039,18-039,2017,6.66,10,18.3275,1.8327499999999999,6.375,1,1,0.28500000000000014,1.0447058823529412
18-042,18-042,2017,7.54,10,14.45,1.445,5,1,0,2.54,1.508
18-043,18-043,2017,6.88,10,11.16,1.116,2.77,0,0,4.109999999999999,2.483754512635379
18-075,18-075,2017,5.7,10,9.28,0.9279999999999999,2.215,0,0,3.4850000000000003,2.573363431151242
18-076,18-076,2017,5.41,10,9.485,0.9485,2.74,0,0,2.67,1.9744525547445255
18-077,18-077,2017,5.55,10,11.23,1.123,3.6,0,0,1.9499999999999997,1.5416666666666665
18-081,18-081,2017,6.15,10,15.4,1.54,4.94,1,0,1.21,1.2449392712550607
18-083,18-083,2017,5.33,10,13.54,1.354,4.36,1,0,0.9699999999999998,1.2224770642201834
18-086,18-086,2017,5.89,10,13.786666667,1.3786666667,4.11,1,0,1.7799999999999994,1.4330900243309002
18-088,18-088,2017,4.68,10,10.5,1.05,3.14,0,0,1.5399999999999996,1.4904458598726114
21-187,21-187,2017,2.35,10,3.225,0.3225,1.685,0,0,0.665,1.3946587537091988
21-305,21-305,2017,1.79,10,3.99,0.399,1.74,0,0,0.050000000000000044,1.028735632183908
21-550,21-550,2017,2.7,10,4.48,0.448,1.545,0,0,1.1550000000000002,1.7475728155339807
22-084,22-084,2017,1.11,10,2.75,0.275,1.28,0,0,0,0.8671875000000001
12-056,12-056,2020,6.93,10,39.69,3.969,10.91,3,2,0,0.6351970669110907
12-061,12-061,2020,4.75,10,24.273333333,2.4273333333,8.31,2,2,0,0.5716004813477737
12-098,12-098,2020,5.24,10,28.044999999999998,2.8045,9.18,2,2,0,0.5708061002178649
13-040,13-040,2020,5.71,10,33.43,3.343,11.595,2,2,0,0.4924536438119879
13-056,13-056,2020,6.05,10,31.04,3.104,11.13,2,2,0,0.5435759209344114
13-118a,13-118,2020,7.74,10,31.03,3.103,11.7225,2,2,0,0.6602687140115163
13-121,13-121,2020,7.390000000000001,10,32.52,3.252,12.45,2,2,0,0.5935742971887551
13-124,13-124,2020,6.23,10,25.259999999999998,2.526,10.02,2,2,0,0.6217564870259482
13-127,13-127,2020,6.78,10,27.895,2.7895,10.995,2,2,0,0.616643929058663
13-130,13-130,2020,6.3,10,26.635,2.6635,10.505,2,2,0,0.5997144217039504
14-016,14-016,2020,6.41,10,22.67875,2.267875,9.875,2,2,0,0.649113924050633
14-045,14-045,2020,5.3100000000000005,10,32.095,3.2095,11.8225,2,2,0,0.449143582152675
14-114,14-114,2020,5.98,10,26.01,2.601,9.06,2,2,0,0.6600441501103753
14-116a,14-116,2020,5.3,10,25.73354166675,2.5733541666749997,8.783333333249999,2,2,0,0.6034155597780211
14-123,14-123,2020,4.94,10,25.775,2.5775,9.6975,2,2,0,0.5094096416602217
