model,evaluation,rows,conditional_rmse_psu,conditional_mae_psu,conditional_bias_psu
Hybrid,Other reef-blocked rows,123,11.79852857080652,9.0686788900745,6.027145270745042
Hybrid,Reef-blocked 2024,67,10.851316151185527,7.665889113314971,5.160210290567477
Operational proxies,Other reef-blocked rows,123,11.5826496643899,8.961891159970104,5.739384821262181
Operational proxies,Reef-blocked 2024,67,10.91584878021074,7.701526097871792,5.217002611197468
Spatial prior,Other reef-blocked rows,123,11.9890664735242,9.183258436252915,6.0074584427070885
Spatial prior,Reef-blocked 2024,67,10.961460917192612,7.722728124156428,5.48098100739741
eReefs calibrated,Other reef-blocked rows,123,12.059652656110964,9.265427256834183,6.013543963954189
eReefs calibrated,Reef-blocked 2024,67,10.90421668504909,7.666798728790352,5.437429205242716
Hybrid,All reef-blocked rows,190,11.473440765504934,8.57401091616456,5.721436619840322
Operational proxies,All reef-blocked rows,190,11.35198606949825,8.517446638072279,5.555176357713045
Spatial prior,All reef-blocked rows,190,11.637062352657665,8.668229326197839,5.821805873413676
eReefs calibrated,All reef-blocked rows,190,11.66527965923599,8.70170035483978,5.81038770693488
