learner,variable,influence
Post-cover BRT,pre_cover,82.39115962989672
Post-cover BRT,sst_maxdhw,4.10825431918385
Post-cover BRT,prior_change_pp,3.791849972830335
Post-cover BRT,interval_years,2.2946813589030985
Post-cover BRT,log1p_cyc_maxHrs4mw,1.8795566482504613
Post-cover BRT,prop_acropora_pre,1.1235280550233047
Post-cover BRT,region_factor,0.9628381015228674
Post-cover BRT,wqc_freqcc12,0.8348013854803774
Post-cover BRT,log1p_cot_idwmeanpertow,0.8213094337667389
Post-cover BRT,wqc_prior10_percentile,0.8047394275367498
Post-cover BRT,programme_factor,0.5758081054331212
Post-cover BRT,cots_available,0.1821267009066583
Post-cover BRT,previous_change_available,0.1151041129289468
Post-cover BRT,wqc_available,0.07311280582040103
Post-cover BRT,depth,0.04112994251638364
Change BRT,pre_cover,21.48314823449549
Change BRT,prior_change_pp,18.071557421482726
Change BRT,sst_maxdhw,17.000874562806445
Change BRT,log1p_cyc_maxHrs4mw,9.494452622768964
Change BRT,interval_years,9.098506776032842
Change BRT,prop_acropora_pre,4.422470401000757
Change BRT,wqc_freqcc12,3.795731877682269
Change BRT,log1p_cot_idwmeanpertow,3.7574105379599856
Change BRT,wqc_prior10_percentile,3.6306330764005503
Change BRT,region_factor,3.545988720063043
Change BRT,programme_factor,3.004162075709704
Change BRT,previous_change_available,1.2177028105839134
Change BRT,cots_available,1.0228203556598163
Change BRT,wqc_available,0.39642191963504236
Change BRT,depth,0.05811860771844739
