learner,scheme,transitions,post_cover_rmse_pp,post_cover_mae_pp,change_rmse_pp,change_mae_pp,change_bias_pp,change_predictive_r2,direction_accuracy,severe_loss_mae_pp,programme_key
Change BRT,forward_2024_2025,339,12.064534099523291,8.524028195827825,12.064534099523291,8.524028195827825,-0.902299856631748,-0.3573090776564283,0.5486725663716814,17.933930652602463,all
Change BRT,recent_year_holdout,1215,9.16121802646054,6.183004493856158,9.16121802646054,6.183004493856158,0.7633503856865385,-0.12046606280190542,0.5580246913580247,17.36418549221083,all
Change BRT,reef_blocked_5fold,3089,6.981078476469632,4.792855402958303,6.981078476469632,4.792855402958302,0.1650531839995013,0.1564596782987454,0.6060213661379087,13.731572886546362,all
Growth/environment LM,forward_2024_2025,339,10.623981182340641,7.016026988731943,10.623981182340641,7.016026988731942,-3.355803772489864,-0.05252453596826756,0.5575221238938053,19.083422777301315,all
Growth/environment LM,recent_year_holdout,1215,8.53589655051041,5.926585547009861,8.535896550510412,5.926585547009861,0.6347741134845576,0.027273930826915205,0.5349794238683128,16.808273269780738,all
Growth/environment LM,reef_blocked_5fold,3089,7.207703601269174,5.018497625027944,7.207703601269174,5.018497625027944,0.046267215923000246,0.1008034231155559,0.5749433473616057,14.884740994797225,all
Persistence,forward_2024_2025,339,11.130828337258599,7.0331984263991885,11.130828337258599,7.0331984263991885,-4.08153245204583,-0.15534745792315108,0.0058997050147492625,20.9960240352549,all
Persistence,recent_year_holdout,1215,8.659689768269468,5.571229061751977,8.659689768269468,5.571229061751977,-0.29284406969174365,-0.001144893622919474,0.0016460905349794238,19.708396312958577,all
Persistence,reef_blocked_5fold,3089,7.606341526030068,4.965174619167408,7.606341526030068,4.965174619167408,-0.2855392104407226,-0.0014112121775204933,6.474587245063128e-4,18.402358898632006,all
Post-cover BRT,forward_2024_2025,339,12.152289845270865,8.624551820025964,12.152289845270863,8.624551820025964,-1.1452885070707324,-0.37712664710561006,0.5339233038348082,18.43001272341719,all
Post-cover BRT,recent_year_holdout,1215,9.360708409291,6.32529193508616,9.360708409291,6.325291935086159,0.9090399511744718,-0.1697948442916528,0.5555555555555556,17.288464459899572,all
Post-cover BRT,reef_blocked_5fold,3089,6.988440277591043,4.845109431900694,6.988440277591043,4.845109431900694,0.14130930313448978,0.15467965235289682,0.5988993201683392,13.677062784551676,all
