learner,predicted_post_cover,transition_id,programme_key,ReefID,ReefName,event_year,survey_date,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,cyc_maxHrs4mw,cot_idwmeanpertow,DISTURBANCE_TYPE,disturbance_text,predicted_change_pp,post_cover_error,change_error_pp,scheme,fold,absolute_change_error_pp
Change BRT,0.5227471377474356,2359,mmp,16-006,Snapper Reef (16-006),2024,2024-06-05,0.5789794313776275,0,-57.89794313776275,6.872,0.13825214405281794,0.897197855579998,0,0.001,m," Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",-5.623229363019188,-0.5227471377474356,-52.27471377474356,forward_2024_2025,2024_2025,52.27471377474356
Change BRT,0.44997229123804905,2320,mmp,16-006,Snapper Reef (16-006),2024,2024-06-05,0.5029984341764817,0,-50.29984341764817,6.872,0.2276483309360394,0.897197855579998,0,0.001,m," Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",-5.302614293843266,-0.44997229123804905,-44.9972291238049,forward_2024_2025,2024_2025,44.9972291238049
Change BRT,0.5439142213489602,1225,manta,14-143,North Direction Reef (14-143),2024,2024-09-27,0.5837507562816058,0.18210999156528573,-40.164076471632,6.23,0.4371273713667701,0.0201384624835262,0,0.0092,b,DHW 6.23 aerial bl 5  coral bleaching,-3.9836534932645606,-0.36180422978367444,-36.18042297836744,forward_2024_2025,2024_2025,36.18042297836744
Change BRT,0.16682483626620526,1904,manta,19-209,Rebe Reef (19-209),2024,2025-01-20,0.46618035867601393,0.5092197617855989,4.303940310958499,10.3432,0.6402774310653515,0,33,5e-4,NA,  ,-29.93555224098087,0.34239492551939366,34.239492551939364,forward_2024_2025,2024_2025,34.239492551939364
Change BRT,0.2400495637432566,1876,manta,19-159,Slate Reef (19-159),2024,2025-03-24,0.5283413420729094,0.5748118603074418,4.647051823453241,8.61,0.6136352481490801,0,33,0.0198,NA,  ,-28.82917783296528,0.3347622965641852,33.47622965641852,forward_2024_2025,2024_2025,33.47622965641852
Change BRT,0.5145844964632658,830,ltmp,23-055a,One Tree Island Reef (23-055a),2024,2024-11-06,0.6465710923203194,0.19033698696083282,-45.62341053594866,11.6123762376238,0.9167527148244318,0.0455607442369428,0,0.0397,m,"DHW 11  coral bleaching, coral disease",-13.198659585705364,-0.324247509502433,-32.42475095024329,forward_2024_2025,2024_2025,32.42475095024329
Change BRT,0.4349160297040911,1129,manta,14-126,Linnet Reef (14-126),2024,2024-09-30,0.4278475351183221,0.12205758932979481,-30.578994578852726,6.675,0.6343256027311654,0.536864378405265,0,0.0201,b,DHW 6.73  coral bleaching,0.7068494585769025,-0.3128584403742963,-31.285844037429626,forward_2024_2025,2024_2025,31.285844037429626
Change BRT,0.45057063222281385,2572,mmp,17-053,Stingaree Reefs (17-053),2025,2025-05-23,0.44005306631645896,0.14082710829470307,-29.92259580217559,3.74571428571429,0.50600337840787,0.0940861978177227,0,0.0038,f,  flood waters at 2.0 m only,1.0517565906354887,-0.3097435239281108,-30.974352392811078,forward_2024_2025,2024_2025,30.974352392811078
Change BRT,0.08949008175608604,1946,manta,20-104,U/N Reef (20-104),2024,2024-05-11,0.16222060434747407,0.3954607791259235,23.32401747784494,5.56,0.20685377657459916,0,26,0.0038,NA,  ,-7.273052259138803,0.30597069736983745,30.59706973698374,forward_2024_2025,2024_2025,30.59706973698374
Change BRT,0.4727119614681466,803,ltmp,23-048,Broomfield Reef (23-048),2024,2024-11-04,0.5750808079045714,0.17919578831157115,-39.588501959300025,11.6140740740741,0.862233938344424,0.0430566355266609,0,0,m,"Aerial bl 5 2024   DHW 11.6  coral bleaching, unknown storm",-10.23688464364248,-0.2935161731565754,-29.351617315657546,forward_2024_2025,2024_2025,29.351617315657546
Change BRT,0.44238635441674856,1332,manta,16-015,Mackay Reef (16-015),2024,2024-10-05,0.4251201626271228,0.1647169175994882,-26.04032450276346,3.76809523809524,0.11108575555250783,0.0670124787248476,0,4e-4,m,"DHW 4.03  coral bleaching, Cyclone Jasper, flood waters",1.726619178962574,-0.27766943681726036,-27.766943681726033,forward_2024_2025,2024_2025,27.766943681726033
Change BRT,0.25623882185557584,1875,manta,19-159,Slate Reef (19-159),2024,2024-05-12,0.6189962599768563,0.5283413420729094,-9.065491790394686,8.61,0.6586105214947701,0,33,0.0198,b,DHW 8.61  coral bleaching,-36.27574381212804,0.27210252021733355,27.210252021733353,forward_2024_2025,2024_2025,27.210252021733353
Change BRT,0.13048820979339826,566,ltmp,19-159,Slate Reef (19-159),2024,2024-05-12,0.4609423548222777,0.40042831189585437,-6.0514042926423315,8.61,0.6586105214947701,0,33,0.0198,b,  coral bleaching,-33.045414502887944,0.2699401021024561,26.994010210245612,forward_2024_2025,2024_2025,26.994010210245612
Change BRT,0.2345249279577955,553,ltmp,19-138,U/N Reef (19-138),2024,2024-05-10,0.434265841284731,0.5036509690708734,6.938512778614236,5.812,0.19822604048299736,0,21,0.0064,NA,  ,-19.97409133269355,0.26912604111307786,26.912604111307786,forward_2024_2025,2024_2025,26.912604111307786
Change BRT,0.20305093782025785,1903,manta,19-209,Rebe Reef (19-209),2024,2024-05-13,0.6158185078470628,0.46618035867601393,-14.963814917104889,10.3432,0.6402774310653515,0,33,5e-4,b,DHW 9.3 to 11.1  coral bleaching,-41.2767570026805,0.2631294208557561,26.312942085575607,forward_2024_2025,2024_2025,26.312942085575607
Change BRT,0.20332775830863958,1616,manta,18-034,Myrmidon Reef (18-034),2024,2024-06-05,0.4956128764543216,0.46454341268106875,-3.1069463773252872,8.72885714285714,0.3299598280057257,0,9,0,m,"DHW 8.73  coral bleaching, Cyclone Kirrily",-29.228511814568204,0.26121565437242916,26.121565437242918,forward_2024_2025,2024_2025,26.121565437242918
Change BRT,0.3997335454625599,2219,manta,23-051,Wreck Island Reef (23-051),2025,2025-11-05,0.3644854086567966,0.14453096784872366,-21.995444080807292,1.052,0.9301569199434488,0.0940861978177227,0,0,s, Alfred Cyclone Alfred,3.524813680576333,-0.25520257761383625,-25.520257761383625,forward_2024_2025,2024_2025,25.520257761383625
