predictor,median,scheme,fold
pre_cover,0.23997534622564398,recent_year_holdout,2016
interval_years,1.0102669404517455,recent_year_holdout,2016
prior_change_pp,0.6558450723510578,recent_year_holdout,2016
prop_acropora_pre,0.25646056044664883,recent_year_holdout,2016
depth,9,recent_year_holdout,2016
sst_maxdhw,1,recent_year_holdout,2016
wqc_freqcc12,0.0917718116253043,recent_year_holdout,2016
wqc_prior10_percentile,0.5,recent_year_holdout,2016
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2016
log1p_cot_idwmeanpertow,0.00159872136369702,recent_year_holdout,2016
previous_change_available,1,recent_year_holdout,2016
wqc_available,1,recent_year_holdout,2016
cots_available,1,recent_year_holdout,2016
pre_cover,0.23946264718567734,recent_year_holdout,2017
interval_years,1.0102669404517455,recent_year_holdout,2017
prior_change_pp,0.6676794861127933,recent_year_holdout,2017
prop_acropora_pre,0.25502711519092813,recent_year_holdout,2017
depth,9,recent_year_holdout,2017
sst_maxdhw,1,recent_year_holdout,2017
wqc_freqcc12,0.09068737471363106,recent_year_holdout,2017
wqc_prior10_percentile,0.5,recent_year_holdout,2017
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2017
log1p_cot_idwmeanpertow,0.00159872136369702,recent_year_holdout,2017
previous_change_available,1,recent_year_holdout,2017
wqc_available,1,recent_year_holdout,2017
cots_available,1,recent_year_holdout,2017
pre_cover,0.24044375851137478,recent_year_holdout,2018
interval_years,1.0130047912388775,recent_year_holdout,2018
prior_change_pp,0.7481654763051835,recent_year_holdout,2018
prop_acropora_pre,0.25842572522637614,recent_year_holdout,2018
depth,9,recent_year_holdout,2018
sst_maxdhw,1.01636652857143,recent_year_holdout,2018
wqc_freqcc12,0.0899146378992373,recent_year_holdout,2018
wqc_prior10_percentile,0.5,recent_year_holdout,2018
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2018
log1p_cot_idwmeanpertow,0.00159872136369702,recent_year_holdout,2018
previous_change_available,1,recent_year_holdout,2018
wqc_available,1,recent_year_holdout,2018
cots_available,1,recent_year_holdout,2018
pre_cover,0.23989361381947683,recent_year_holdout,2019
interval_years,1.0130047912388775,recent_year_holdout,2019
prior_change_pp,0.712923040342503,recent_year_holdout,2019
prop_acropora_pre,0.25839177843202493,recent_year_holdout,2019
depth,9,recent_year_holdout,2019
sst_maxdhw,1.02916666666667,recent_year_holdout,2019
wqc_freqcc12,0.08954942290575629,recent_year_holdout,2019
wqc_prior10_percentile,0.5,recent_year_holdout,2019
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2019
log1p_cot_idwmeanpertow,0.00179838194137937,recent_year_holdout,2019
previous_change_available,1,recent_year_holdout,2019
wqc_available,1,recent_year_holdout,2019
cots_available,1,recent_year_holdout,2019
pre_cover,0.24046003967182727,recent_year_holdout,2020
interval_years,1.0130047912388775,recent_year_holdout,2020
prior_change_pp,0.6919690020806835,recent_year_holdout,2020
prop_acropora_pre,0.25834136927469065,recent_year_holdout,2020
depth,9,recent_year_holdout,2020
sst_maxdhw,1,recent_year_holdout,2020
wqc_freqcc12,0.0908412162266066,recent_year_holdout,2020
wqc_prior10_percentile,0.5,recent_year_holdout,2020
log1p_cyc_maxHrs4mw,0,recent_year_holdout,2020
