component,variable,influence
gain occurrence,pre_cover,14.840116695501056
gain occurrence,prior_change_pp,14.554994847883941
gain occurrence,dhw_novelty10,11.943030155707659
gain occurrence,interval_years,10.758617123014576
gain occurrence,log1p_cyc_maxHrs4mw,10.156073126380434
gain occurrence,sst_maxdhw,8.399658224536813
gain occurrence,log1p_cot_idwmeanpertow,5.46998012856384
gain occurrence,dhw10_load4,5.253938315500276
gain occurrence,available_space,3.8658160172455185
gain occurrence,wqc_freqcc12,3.0315350578680405
gain occurrence,region_factor,2.916919660846172
gain occurrence,acropora_cover_pre,2.4162142365203674
gain occurrence,programme_factor,1.826168675632103
gain occurrence,prop_acropora_pre,1.5796005792822236
gain occurrence,cots_available,1.0518129851676783
gain occurrence,wqc_available,1.0275435733759941
gain occurrence,previous_change_available,0.7790030602130237
gain occurrence,depth,0.07607636385938354
gain occurrence,mortality_environment_available,0.052901172900894564
gain magnitude,available_space,24.431773425733105
gain magnitude,prior_change_pp,14.28718087342818
gain magnitude,interval_years,9.117172973022752
gain magnitude,log1p_cot_idwmeanpertow,7.013410986105683
gain magnitude,sst_maxdhw,6.964749537412179
gain magnitude,acropora_cover_pre,6.383082681716621
gain magnitude,dhw_novelty10,5.804519294277604
gain magnitude,prop_acropora_pre,4.8540348346778135
gain magnitude,dhw10_load4,4.735718098279861
gain magnitude,programme_factor,3.804021013491011
gain magnitude,region_factor,3.7614211804914053
gain magnitude,pre_cover,3.6116225251346172
gain magnitude,log1p_cyc_maxHrs4mw,2.1218424509687006
gain magnitude,wqc_freqcc12,2.107456762187195
gain magnitude,previous_change_available,0.4899843781326623
gain magnitude,mortality_environment_available,0.3286025219187406
gain magnitude,cots_available,0.13539948654642545
gain magnitude,depth,0.029588143420307484
gain magnitude,wqc_available,0.018418833055138573
loss occurrence,dhw_novelty10,15.728541502776745
loss occurrence,interval_years,10.024307248940433
loss occurrence,pre_cover,9.668909551177606
loss occurrence,cloudp_90,7.04199414593518
loss occurrence,era5_wind_mean,6.366543557764235
loss occurrence,log_coastal_rain30,6.077781765324662
loss occurrence,secc3m_p10,5.51389652007147
loss occurrence,log1p_cot_idwmeanpertow,3.752478064402121
loss occurrence,dhw4_x_acropora,3.006376724054306
loss occurrence,dhw4_x_secchi,2.950469630813945
loss occurrence,acropora_cover_pre,2.8852536820540755
loss occurrence,wqc_prior10_percentile,2.2477324442802717
loss occurrence,prop_acropora_pre,2.2015658705229977
loss occurrence,era5_wind_calm_fraction,1.7744607188157746
loss occurrence,dhw4_x_relative_wqc,1.7663918847745037
loss occurrence,dhw4_x_cloud,1.7538378538191042
loss occurrence,histmDHW6,1.7281354025893252
loss occurrence,sst_maxdhw,1.664253864020576
loss occurrence,yrsince6,1.6600948256210086
loss occurrence,era5_coastal_distance_km,1.6084991663548638
loss occurrence,prior_change_pp,1.5956159648685044
loss occurrence,dhw10_load4,1.5710975465276975
loss occurrence,log1p_cyc_maxHrs4mw,1.4644365045871583
loss occurrence,dhw4_x_calm,0.9166479018085367
loss occurrence,previous_change_available,0.852012425842916
loss occurrence,dhw8_x_acropora,0.625237320569624
loss occurrence,wqc_freqcc12,0.5860843772342583
loss occurrence,dhw4_x_rain,0.5382131784537677
loss occurrence,programme_factor,0.5076123954655636
loss occurrence,region_factor,0.39021853136941437
loss occurrence,dhw4_x_wqc,0.34060757480365617
loss occurrence,cots_available,0.2821453552330863
loss occurrence,dhw_excess8,0.24641891796832502
loss occurrence,winyear_sd,0.2088305398188269
loss occurrence,dhw_excess4,0.17918979716126562
loss occurrence,wqc_available,0.13497299162034346
loss occurrence,depth,0.05690814511748955
loss occurrence,dist_to_er_km,0.01985186616196365
loss occurrence,winyear_mean,0.013999784524626057
loss occurrence,mortality_environment_available,0.013787050742193212
loss occurrence,yrsince4,0.011978794313936215
loss occurrence,mcur_90,0.01134498757850342
loss occurrence,secc3m,0.011263624115134947
loss occurrence,histmDHW4,0
loss occurrence,ann_maxsst,0
loss occurrence,weather_available,0
loss magnitude,dhw_novelty10,8.744323081437562
loss magnitude,cloudp_90,7.2110052669997735
loss magnitude,interval_years,6.810063557941673
loss magnitude,log_coastal_rain30,6.4817624713151165
loss magnitude,dhw4_x_acropora,5.782774784406425
loss magnitude,pre_cover,5.035053720367232
loss magnitude,dhw4_x_calm,4.388474402646957
loss magnitude,programme_factor,4.343160585976648
loss magnitude,era5_coastal_distance_km,4.0921433611244895
loss magnitude,log1p_cot_idwmeanpertow,3.5472408216518265
loss magnitude,acropora_cover_pre,3.4751740445773285
loss magnitude,wqc_freqcc12,3.250764098368788
loss magnitude,histmDHW6,3.1811414084733944
loss magnitude,secc3m_p10,3.0981412050288966
loss magnitude,dhw10_load4,2.741025957227293
loss magnitude,log1p_cyc_maxHrs4mw,2.5369889121332525
loss magnitude,era5_wind_calm_fraction,2.4692716970734527
loss magnitude,dhw4_x_relative_wqc,2.4343209557892256
loss magnitude,dhw4_x_wqc,2.3534656999870003
loss magnitude,prop_acropora_pre,2.2328549816941505
loss magnitude,dhw8_x_acropora,2.152092296106648
loss magnitude,prior_change_pp,1.8837122910679356
loss magnitude,dhw4_x_secchi,1.7187729298503676
loss magnitude,dhw4_x_cloud,1.6128888333139415
loss magnitude,sst_maxdhw,1.4946233326536391
loss magnitude,yrsince6,1.145645595295135
loss magnitude,wqc_prior10_percentile,1.1416347662224728
loss magnitude,dhw4_x_rain,0.9387178875262364
loss magnitude,dhw_excess4,0.9175798279169605
loss magnitude,era5_wind_mean,0.8003024153731133
loss magnitude,dhw_excess8,0.6453403845858576
loss magnitude,depth,0.49279384697786704
loss magnitude,cots_available,0.23065522216169318
loss magnitude,dist_to_er_km,0.14699577664452318
loss magnitude,region_factor,0.1423002071154463
loss magnitude,histmDHW4,0.13219532005124202
loss magnitude,mortality_environment_available,0.12312902597458981
loss magnitude,winyear_sd,0.05102466936907745
loss magnitude,wqc_available,0.012713534521650765
loss magnitude,mcur_90,0.007730823051116735
loss magnitude,previous_change_available,0
loss magnitude,yrsince4,0
loss magnitude,ann_maxsst,0
loss magnitude,winyear_mean,0
loss magnitude,secc3m,0
loss magnitude,weather_available,0
