learner,scheme,event_year,transitions,observed_change_pp,severe_loss_n,severe_loss_observed_pp,severe_loss_predicted_pp,predicted_change_pp,predicted_gain_pp,predicted_loss_pp,rmse_pp
Core decomposed BRT,forward_2024_2025,2024,234,-5.892317748720672,53,-21.578786471466284,-3.9420164831806543,-1.4503888702810777,2.004602683307433,3.4549915535885107,11.011627999441481
Core decomposed BRT,forward_2024_2025,2025,105,-0.046068076599038714,10,-17.90738312333458,-0.37665872979495524,0.7922554723375661,2.9737017334475957,2.1814462611100294,7.484003107125827
Core decomposed BRT,recent_year_holdout,2016,55,0.5032428775061415,4,-14.735643888216181,-3.069955699064755,-1.2743192523143565,1.6425711469956021,2.916890399309959,6.593517984664109
Core decomposed BRT,recent_year_holdout,2017,63,-7.776669411236795,18,-23.07702892591975,-4.36981875578995,-3.0357884567622775,0.7551146986023919,3.7909031553646693,13.172947712397585
Core decomposed BRT,recent_year_holdout,2018,56,0.7796736658218489,1,-11.507170615456582,-1.653885667715399,-0.017796759837157734,1.6781525014408338,1.6959492612779914,4.448717021788767
Core decomposed BRT,recent_year_holdout,2019,87,1.751558821478579,3,-16.876997099648346,-0.24508748896578014,0.3627261517690106,2.0548930502046363,1.6921668984356262,6.379710495148564
Core decomposed BRT,recent_year_holdout,2020,98,4.265822596673907,1,-29.293304741487443,-4.096546300917869,-0.555704728293789,1.819432257189883,2.3751369854836724,8.540632086252243
Core decomposed BRT,recent_year_holdout,2021,172,2.639571012729044,8,-15.957781994397392,0.0982474170677695,-0.841356656232633,1.7711047456307043,2.612461401863337,8.378295920449892
Core decomposed BRT,recent_year_holdout,2022,184,0.630152478005479,10,-15.224099792975354,-6.339880047008424,-0.7761494084303561,2.584750211147365,3.3608996195777214,5.561889984730964
Core decomposed BRT,recent_year_holdout,2023,161,1.9008294648574016,6,-13.057308115996177,-1.4525710280791715,-0.0348002006360669,2.3527414484877145,2.3875416491237815,6.328470045111303
Core decomposed BRT,recent_year_holdout,2024,234,-5.892317748720672,53,-21.578786471466284,-3.042722792969453,-0.9743364038603964,2.11586942162121,3.0902058254816063,11.312453875802229
Core decomposed BRT,recent_year_holdout,2025,105,-0.046068076599038714,10,-17.90738312333458,-0.3539475068456899,0.06765682745046085,2.8856373513021882,2.817980523851727,7.8261752642136635
Core decomposed BRT,reef_blocked_5fold,1985,1,-1.5568301207428303,0,NA,NA,-0.4891621502162574,2.664407136330561,3.153569286546817,1.067667970526573
Core decomposed BRT,reef_blocked_5fold,1986,32,-3.6809601956006563,8,-18.594835191491956,-4.020867386875674,-1.2313870325916647,2.621995483238492,3.8533825158301567,11.021251042444241
Core decomposed BRT,reef_blocked_5fold,1987,38,2.1294790112465662,4,-15.414148566404593,-0.6094785525623425,0.06782310052495383,3.5850376895376237,3.51721458901267,8.498389673041727
Core decomposed BRT,reef_blocked_5fold,1988,38,-0.8442199475016511,5,-13.025851901558573,-4.25922401790162,-0.2343863338060689,2.9252713514717295,3.1596576852777987,9.050311295674062
Core decomposed BRT,reef_blocked_5fold,1989,35,1.4918536691191653,1,-12.950174441194523,0.09522791923105012,0.5628460225750583,2.4958095197026076,1.9329634971275493,5.957633781786861
Core decomposed BRT,reef_blocked_5fold,1990,27,-4.120867080133415,4,-17.938779356703225,-0.9157044816941363,0.67984419786953465,2.85807352076765,2.1782293228981158,8.269772735893405
Core decomposed BRT,reef_blocked_5fold,1991,20,2.4189934679376273,1,-25.79940523323482,5.0727897431138755,0.6306478746258145,2.516094495773892,1.8854466211480778,9.294357984440925
Core decomposed BRT,reef_blocked_5fold,1992,8,-3.9953107796107177,3,-13.915335729463292,-2.486794124633213,-1.3455963036428455,1.8959413403071,3.241537643949945,7.940090451096188
Core decomposed BRT,reef_blocked_5fold,1993,24,-1.4080244717878514,0,NA,NA,0.3429102829576053,2.0856699619244012,1.7427596789667958,3.8949220828588555
