learner,scheme,transitions,post_cover_rmse_pp,post_cover_mae_pp,change_rmse_pp,change_mae_pp,change_bias_pp,change_predictive_r2,direction_accuracy,severe_loss_n,severe_loss_mae_pp,severe_loss_bias_pp,programme_key
Change BRT,forward_2024_2025,339,12.064534099523291,8.524028195827825,12.064534099523291,8.524028195827825,0.902299856631748,-0.3573090776564283,0.5486725663716814,63,17.933930652602463,15.676299037806993,all
Change BRT,recent_year_holdout,1215,9.16121802646054,6.183004493856158,9.16121802646054,6.183004493856158,-0.7633503856865385,-0.12046606280190542,0.5580246913580247,114,17.36418549221083,16.228905809534325,all
Change BRT,reef_blocked_5fold,3089,6.981078476469632,4.792855402958302,6.981078476469632,4.792855402958302,-0.1650531839995013,0.1564596782987454,0.6060213661379087,234,13.731572886546362,13.231779928515165,all
Core decomposed BRT,forward_2024_2025,339,10.052219752752512,6.516428467997552,10.05221975275251,6.516428467997552,3.325767935673182,0.05771648893097825,0.6076696165191741,63,18.04783021779608,17.61993735419896,all
Core decomposed BRT,recent_year_holdout,1215,8.399050519183177,5.608465267030633,8.399050519183177,5.608465267030633,-0.36498239806111304,0.05821307666078401,0.5646090534979424,114,16.87115384251467,16.782481530205388,all
Core decomposed BRT,reef_blocked_5fold,3089,7.023771764937347,4.752650428724521,7.023771764937348,4.752650428724521,-0.12600108168925925,0.1461106664608407,0.5969569439948204,234,14.499850114615485,14.411304004872134,all
Growth/environment LM,forward_2024_2025,339,10.623981182340641,7.016026988731941,10.623981182340641,7.016026988731942,3.355803772489864,-0.05252453596826756,0.5575221238938053,63,19.083422777301315,19.083422777301315,all
Growth/environment LM,recent_year_holdout,1215,8.53589655051041,5.926585547009861,8.535896550510412,5.926585547009861,-0.6347741134845576,0.027273930826915205,0.5349794238683128,114,16.808273269780738,16.808273269780738,all
Growth/environment LM,reef_blocked_5fold,3089,7.207703601269174,5.018497625027944,7.207703601269174,5.018497625027944,-0.046267215923000225,0.1008034231155559,0.5749433473616057,234,14.884740994797225,14.876300413986106,all
Modifier-rich decomposed BRT,forward_2024_2025,339,10.944479833417608,7.261920153722812,10.944479833417608,7.261920153722811,3.18410872553156,-0.11698642184078434,0.5339233038348082,63,18.93284598629884,18.63370015893883,all
Modifier-rich decomposed BRT,recent_year_holdout,1215,8.516191786860535,5.61500302964196,8.516191786860535,5.615003029641959,-0.0798790014364407,0.03175974287341932,0.5868312757201646,114,17.222150239714026,17.10485901593197,all
