gain_probability,loss_probability,conditional_gain_fraction,conditional_loss_fraction,expected_gain_pp,expected_loss_pp,predicted_post_cover,predicted_change_pp,learner,transition_id,programme_key,ReefID,ReefName,event_year,survey_date,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,mortality_environment_available,weather_available,DISTURBANCE_TYPE,disturbance_text,post_cover_error,change_error_pp,scheme,fold,absolute_change_error_pp
0.6595337020308244,0.34046629796917555,0.08206430588167633,0.08859063721801028,2.2787391129536467,1.7463250727566886,0.584303571779597,0.532414040196949,Mortality-augmented decomposed BRT,2359,mmp,16-006,Snapper Reef (16-006),2024,2024-06-05,0.5789794313776275,0,-57.89794313776275,6.872,0.13825214405281794,0.897197855579998,0.9,6.812168274251864,0.5164835164835165,0,0.001,1,1,m,"Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",-0.584303571779597,-58.4303571779597,forward_2024_2025,2024_2025,58.4303571779597
0.6634461832506408,0.33655381674935936,0.09810268318726433,0.10377695841098682,3.234776972439272,1.7567990627475796,0.5177782132733986,1.4779779096916856,Mortality-augmented decomposed BRT,2320,mmp,16-006,Snapper Reef (16-006),2024,2024-06-05,0.5029984341764817,0,-50.29984341764817,6.872,0.2276483309360394,0.897197855579998,0.9,6.812168274251864,0.5164835164835165,0,0.001,1,1,m,"Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",-0.5177782132733986,-51.77782132733986,forward_2024_2025,2024_2025,51.77782132733986
0.6910921738646376,0.30890782613536233,0.1673962274090885,0.32092961852343754,4.815430270621661,5.7871690305804036,0.5740333686820183,-0.9717387599587513,Mortality-augmented decomposed BRT,1225,manta,14-143,North Direction Reef (14-143),2024,2024-09-27,0.5837507562816058,0.18210999156528573,-40.164076471632,6.23,0.4371273713667701,0.0201384624835262,0.8,6.662192357426267,0.1978021978021978,0,0.0092,1,1,b,DHW 6.23 aerial bl 5  coral bleaching,-0.3919233771167326,-39.19233771167325,forward_2024_2025,2024_2025,39.19233771167325
0.18576469179164967,0.8142353082083502,0.06577232927770241,0.1717305978157379,0.4318256765994569,9.040946442632327,0.5604798846599908,-8.609120766032863,Mortality-augmented decomposed BRT,830,ltmp,23-055a,One Tree Island Reef (23-055a),2024,2024-11-06,0.6465710923203194,0.1903369869608328,-45.62341053594866,11.6123762376238,0.9167527148244318,0.0455607442369428,0.9,5.509502913839823,0.02197802197802198,0,0.0397,1,1,m,"DHW 11  coral bleaching, coral disease",-0.370142897699158,-37.01428976991579,forward_2024_2025,2024_2025,37.01428976991579
0.5957930144209472,0.23952530224893864,0.20787002644013383,0.18183170017363331,5.057231709118946,2.576859184444068,0.6164602936362944,2.4803725246748787,Mortality-augmented decomposed BRT,2973,mmp,22-009,Barren Island Reef (22-009),2024,2024-05-12,0.5916565683895456,0.2598804032895316,-33.1776165100014,11.06,0.8432966093606045,1,0.55,4.823371628795423,0.01098901098901099,0,NA,1,1,b,bleaching still evident at time of surveys  coral bleaching,-0.3565798903467628,-35.65798903467628,forward_2024_2025,2024_2025,35.65798903467628
0.14407753291846406,0.855922467081536,0.09904154235546264,0.7251898266080928,0.7617425359014428,28.93610694798967,0.1844367145551317,-28.174364412088227,Mortality-augmented decomposed BRT,1904,manta,19-209,Rebe Reef (19-209),2024,2025-01-20,0.46618035867601393,0.5092197617855989,4.303940310958499,10.3432,0.6402774310653515,0,0.45,5.8287453483906155,0.01098901098901099,33,5e-4,1,1,NA,NA,0.32478304723046725,32.478304723046726,forward_2024_2025,2024_2025,32.478304723046726
0.6294426336409563,0.34608445418563766,0.11786879747728148,0.1494250305393422,4.154338485520624,2.275676351430276,0.4588396876573624,1.8786621340903475,Mortality-augmented decomposed BRT,2572,mmp,17-053,Stingaree Reefs (17-053),2025,2025-05-23,0.44005306631645896,0.14082710829470307,-29.92259580217559,3.74571428571429,0.50600337840787,0.0940861978177227,0.5,5.979312548097701,0.12222222222222222,0,0.0038,0,0,f,flood waters at 2.0 m only,-0.31801257936265936,-31.801257936265937,forward_2024_2025,2024_2025,31.801257936265937
0.4977688429702927,0.16527909271703978,0.11256932683304106,0.3335711976141185,3.205970718446302,2.358823786998717,0.436319004432798,0.8471469314475899,Mortality-augmented decomposed BRT,1129,manta,14-126,Linnet Reef (14-126),2024,2024-09-30,0.4278475351183221,0.1220575893297948,-30.57899457885273,6.675,0.6343256027311654,0.536864378405265,1,6.662192357426267,0.2307692307692308,0,0.0201,1,1,b,DHW 6.73  coral bleaching,-0.31426141510300315,-31.426141510300315,forward_2024_2025,2024_2025,31.426141510300315
0.23478812380879896,0.765211876191201,0.05754632350596112,0.20868846466021632,0.574116535320389,9.183516694603842,0.48898680631173685,-8.609400159283453,Mortality-augmented decomposed BRT,803,ltmp,23-048,Broomfield Reef (23-048),2024,2024-11-04,0.5750808079045714,0.17919578831157115,-39.588501959300025,11.6140740740741,0.862233938344424,0.0430566355266609,0.7,5.301987044294902,0.03296703296703297,0,0,1,1,m,"Aerial bl 5 2024   DHW 11.6  coral bleaching, unknown storm",-0.30979101800016573,-30.979101800016572,forward_2024_2025,2024_2025,30.979101800016572
0.2969541824723454,0.6324963308496665,0.08302849130115,0.10515076197656403,1.2722099476542887,3.219020926905542,0.4645408100944291,-1.9468109792512511,Mortality-augmented decomposed BRT,2997,mmp,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,2024-05-12,0.4840089198869416,0.17797019321167112,-30.60387266752705,12.3,0.9831720862579036,0.874654366947519,0.1,5.3548966285573405,0,0,NA,1,1,b,bleaching still evident at time of surveys  coral bleaching,-0.286570616882758,-28.6570616882758,forward_2024_2025,2024_2025,28.6570616882758
