scheme,range_km,n,rmse,mae,bias,predictive_r2,zero_correction_rmse
leave_event_out,25.0,461,4.6663961287994615,1.7140996610062602,-0.17851940802048258,0.10171859966016994,4.925613745771157
leave_site_out,25.0,461,4.812623439958166,1.8654593286202503,-0.12167956460319011,0.04453899936903849,4.925613745771157
leave_event_out,50.0,461,4.707249751372712,1.8003584965423274,-0.18860171796912506,0.08592110140619691,4.925613745771157
leave_site_out,50.0,461,4.808630576396394,1.9207908220868335,-0.14631695589189025,0.04612376612497493,4.925613745771157
leave_event_out,100.0,461,4.734563515142022,1.8549839897590843,-0.18004415315973718,0.07528246032897623,4.925613745771157
leave_site_out,100.0,461,4.808506466605027,1.949037543710325,-0.15764550520235796,0.046173004198370005,4.925613745771157
leave_event_out,200.0,461,4.753904583055086,1.8945934876365647,-0.16556108699015068,0.06771193960368638,4.925613745771157
leave_site_out,200.0,461,4.815143447337771,1.9708945116743826,-0.15561444990985482,0.043538131885479614,4.925613745771157
within_event_leave_site_out,25.0,461,5.22742480642018,1.869300867675653,-0.0009105432843113418,-0.12726179961301143,4.925613745771157
within_event_leave_site_out,50.0,461,5.019150658530852,1.9010705147648903,-0.04950143090162178,-0.039225189738911315,4.925613745771157
within_event_leave_site_out,100.0,461,4.938897951427884,1.9157938250768856,-0.08292381369141218,-0.00625790842070395,4.925613745771157
within_event_leave_site_out,200.0,461,4.9042868433471964,1.9333518259931157,-0.0913341806636526,0.007796104328738451,4.925613745771157
