site,lat,lon,events,median_discrepancy,positive_fraction,discrepancy_iqr
19-131 Reef,-19.7641,149.3786,5,0.1648669316651334,0.6,3.1625940237423817
19-138 Reef,-19.8024,149.4199,4,-0.477139120816239,0.25,0.9872302366063553
19-159 Reef,-19.6661,149.9146,4,-3.725,0.0,2.8692103820978403
20-104 Reef,-20.0286,149.6933,3,1.2862792410082275,0.6666666666666666,0.8313929009691156
21-062 Reef,-21.0266,150.8538,5,-1.045948682836028,0.0,0.8330360356554327
21-139 Reef,-21.4552,151.4654,4,-0.5245727064131509,0.25,0.40058425466637954
21-187 Reef,-21.4072,151.6414,5,-0.31,0.2,0.3269229673688133
21-245 Reef,-21.29725,152.4445,4,-0.21658198830649766,0.25,0.4532331732627265
21-296 Reef,-21.3283,152.5656,3,-1.4652746991282903,0.0,2.0329957304225545
21-550 Reef,-21.9471,152.3069,5,0.0921533394028272,0.6,0.2933651736730506
21-591 Reef,-21.0266,150.3807,2,-2.0351152724155144,0.0,0.8951152724155145
Agincourt Reef Number 1,-16.0398,145.8652,5,-3.146731387263813,0.2,1.3606717194409423
Aquila Island,-21.9611,149.5816,3,1.900201645273785,1.0,0.7354259983828404
Arlington Reef,-16.6676,146.09890000000001,4,0.1446156242349761,0.5,1.58863966209496
Barren Island,-23.1578,151.0707,5,0.3196292238013338,0.6,0.6802720007621962
Bedarra Island,-18.0094,146.148,4,2.356464192586959,1.0,2.6908628331753746
Border Island,-20.171,149.0319,2,-0.8463880558153056,0.0,0.3078141490985512
Boult Reef,-23.747,152.2725,2,-0.8352168176552608,0.0,0.6852168176552608
Camp Island East,-19.8508,147.9052,1,6.633293001799257,1.0,0.0
Carter,-14.5238,145.5817,1,-5.795992916884115,0.0,0.0
Cattle Bay,-18.5691,146.4823,5,-0.7300712136667187,0.0,0.8351567195936802
Centipede Reef,-18.733249999999998,147.5531,2,-1.2284710742087022,0.0,0.6363094422424938
Cherepo,-10.6893,142.2799,1,0.9537529396181982,1.0,0.0
Chicken Reef,-18.6534,147.7199,5,-1.4657225110230736,0.0,0.6263276915984313
Chinaman Reef,-21.9973,152.664,5,0.076558152790821,0.6,0.1813751984126874
Curd Reef,-12.5853,143.5112,1,4.110928124208211,1.0,0.0
Davies Reef,-18.8065,147.6688,5,-1.1285137776708165,0.0,3.00081953123913
Daydream Island,-20.2557,148.8122,4,1.4073707440004921,1.0,1.603731574992354
Dent Island,-20.345,148.9382,5,2.420851269963028,1.0,0.524423952397262
Dip Reef,-18.3999,147.4519,4,-3.8815623068930156,0.0,0.7242461057231342
Double Cone,-20.1046,148.7218,5,0.2690576907372026,0.6,0.6322119505950492
Dugong Island,-10.518,143.0997,3,-1.334900480255203,0.0,1.3759372335055469
Dunk Island,-17.9263,146.1461,5,1.9648675111953395,0.8,2.343438731263343
East Cay,-21.4727,152.5662,5,-1.3561652153503905,0.2,1.408171322422771
Erskine Island,-23.4993,151.7749,5,-0.038515396352895456,0.2,0.1237739004500273
Farquharson Reef,-17.79,146.5315,5,1.6638072792425138,0.8,0.7088022595133658
Feather Reef,-17.519,146.3887,5,0.6317105884816945,0.6,0.7640328286038605
Fitzroy Island,-16.9233,145.9963,4,2.546348166393398,1.0,0.6100920410599713
Flinders Reef,-17.71485,148.44805,1,-0.7344176355788066,0.0,0.0
Frankland Islands,-17.227,146.0904,5,-0.6161032549995185,0.4,4.374173484675902
Gannet Cay Reef,-21.9784,152.4742,5,-0.35,0.0,0.3211784692370494
Geoffrey Bay,-19.1548,146.8685,5,5.872039081989005,1.0,0.8643174668343834
"Green Island, Qld",-16.7669,145.97514999999999,4,1.0125349294764172,0.5,3.1271339000309197
Grub Reef,-18.6214,147.433,1,-1.9438025416596412,0.0,0.0
Hastings Reef,-16.5013,146.017,3,0.4853243896715344,0.6666666666666666,1.428059062124788
Havannah Island,-18.8472,146.5428,5,0.0869171131405899,0.6,3.2449313208653825
Hayman Island,-20.0415,148.8819,5,-0.4657770304710102,0.4,1.2709968454400116
Hedley Reef,-17.2235,146.4754,4,0.886443687447503,0.75,1.9126906127057708
Helix Reef,-18.6203,147.2958,5,-1.0224455431706163,0.0,0.7603342838337963
Henderson Island,-21.4854,149.9096,3,1.126334270875045,0.6666666666666666,0.6249932503924371
Heron Island,-23.4384,151.9182,4,0.6821360296133108,0.5,1.8125444573613216
High Island,-17.1622,146.007,5,-0.051167761052802,0.4,3.440128926553808
Holbourne Island East,-19.7333,148.3644,1,-3.374739542342464,0.0,0.0
Hook Island,-20.1681,148.8871,3,-3.042549039341085,0.3333333333333333,1.9938803929569902
Horseshoe Reef,-22.0227,152.6166,5,-0.1809719599408747,0.4,0.3087103523186791
Humpy Island,-23.2162,150.9638,5,0.279434735430043,0.6,0.6333893203479096
Hyde Reef,-19.7457,150.0822,2,-1.9649999999999999,0.0,1.1649999999999998
John Brewer,-18.619,147.0811,5,-0.19977371658930343,0.4,0.5216759604457496
Kelso Reef,-18.4448,146.9933,3,-2.390825026230913,0.0,0.9614182745886013
Knife Reef,-18.5711,147.5772,5,-3.2651574439186666,0.0,3.728497978214233
Kubin Island,-10.2388,142.2176,1,-0.1928151333613488,0.0,0.0
Lady Elliot Reef,-18.6798,146.3325,4,4.625548801202394,1.0,2.2998873753394546
Lady Musgrave,-23.8884,152.422,5,-1.75598395577755,0.0,1.320160353322728
Lagoon Reef,-12.3923,143.74,3,-3.979975825951212,0.0,1.4534173489984514
Langford Island,-20.0877,148.8848,2,-1.1558576133185552,0.0,0.07522007559247368
Linnet Reef,-14.78315,145.3514,2,5.416536923066353,1.0,2.209608346232722
Lizard Island,-14.68995,145.45430850000002,5,0.4795624356526891,0.8,0.9317521109573709
Low Isles,-16.3831,145.5619,5,2.0405781380827364,1.0,1.2271826084519217
Macgillivray,-14.6485,145.4915,4,-2.040865564497941,0.25,2.7669991673773975
Mackay Reef,-16.0399,145.6506,5,2.2648477201922943,1.0,0.7342987143213673
Manning Island,-23.854,151.3533,4,3.3188542410242485,1.0,1.6600635711642275
Martin,-14.7553,145.3722,5,2.925004485266232,1.0,1.8032795069439336
Mast Head Reef,-23.5341,151.7497,5,0.2643198653873018,0.8,0.2851104433251726
McCulloch Reef,-17.2834,146.4777,4,1.3598639448891214,0.75,1.0079945699777773
Michaelmas Reef,-16.5528,146.0454,3,2.5909335644133407,1.0,0.7225840009629971
Moore Reef,-16.8519,146.2336,3,1.393790788382177,0.6666666666666666,0.8489567312722481
Moore Reef-Coral Sea,-15.8866,149.1516,1,-4.987052573988572,0.0,0.0
Myrmidon Reef,-18.2585,147.3814,3,-1.772714135542496,0.0,0.7408887195897762
No Name,-14.6308,145.6418,4,-3.7154519692384556,0.0,2.1965964679329417
North Direction Island,-14.7435,145.5136,4,1.1999916518472569,0.75,3.6702452745810348
North Keppel Island,-23.0864,150.9052,5,0.4119327808008783,0.6,1.1060165511702884
North Reef,-23.1775,151.9041,3,0.0,0.0,0.8062936507336688
Northeast Reef,-18.5718,146.4947,4,0.2926497211767573,0.75,1.001980212456298
Nth Barnards (Jesse Is),-17.6717,146.1747,3,1.273264460917427,0.6666666666666666,4.150990453862046
One Tree Island,-23.4833,152.0739,5,-1.8831180838731818,0.2,2.0491600701507964
Opal Reef,-16.2042,145.9005,3,-0.7276474892046885,0.3333333333333333,2.478377163510931
Orpheus Island,-18.601750000000003,146.48829999999998,2,0.3696913725483556,1.0,0.22883294317752834
Pandora Reef,-18.8164,146.4341,5,-1.230475505080305,0.4,1.705603595321965
Peak Island,-23.3413,150.9369,4,1.414126368094034,1.0,1.4112362129787694
Peart Reef,-17.4676,146.402,5,-0.7899533874370499,0.4,1.076600727147024
Pelican Island,-23.2397,150.8742,5,2.036700049354229,1.0,1.5444093397113914
Pelorus Island,-18.5406,146.4888,5,-1.0987203135328016,0.2,2.6681675740774744
Penrith Reef,-21.0036,149.8882,5,-1.99,0.0,1.7328460222340256
Pine Island,-20.378,148.8884,5,2.039983382562866,1.0,0.3349875532429005
Pine Peak Island,-21.5145,150.2515,3,-0.6866243656929498,0.3333333333333333,0.7343584079937546
Pompey Reef (No 1),-20.9201,150.5582,4,-1.127815908878755,0.0,0.8391866203823637
Rat Island,-23.767,151.3185,4,5.605386767357005,1.0,1.0183102251611977
Rebe Reef,-19.795,150.1499,5,-5.96,0.0,2.86
Repulse,-20.5779,148.8625,2,0.9584541753070472,0.5,2.5228670901985213
Rib Reef,-18.473,146.8774,5,-0.4027165745273926,0.2,0.6185238382427465
Roxburgh Reef,-18.4321,147.0563,1,-3.331693297466966,0.0,0.0
Sand Bank No7,-13.4363,143.9722,3,-6.03,0.0,1.0890601953361445
Seaforth Island,-20.4685,149.0389,5,1.416027765909833,1.0,0.039078419458290714
Seal Rocks North,-23.9583,151.4849,3,3.263794696516893,1.0,0.4325401916877638
Shute and Tancred Islands,-20.3009,148.7983,5,1.4164816374178564,1.0,0.26933959125136453
Small Lagoon Reef,-21.8678,152.5239,4,0.3841086506107065,0.75,1.069857556271185
Snake Reef,-22.0232,152.1928,5,-0.0755047190480606,0.4,1.4225166628197967
