learner,predicted_change_pp,transition_id,programme_key,ReefID,ReefName,event_year,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,disturbance_text,severe_probability,tail_expert_change_pp,predicted_post_cover,error_pp,scheme,fold,absolute_error_pp
Aggressive extreme ensemble,-15.549561662112598,2359,mmp,16-006,Snapper Reef (16-006),2024,0.5789794313776275,0,-57.89794313776275,6.872,0.13825214405281794,0.897197855579998,0.9,6.812168274251864,0.5164835164835165,0,0.001," Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",0.5804997045976573,-18.903535890970183,0.42348381475650154,-42.34838147565016,reef_blocked_5fold,2,42.34838147565016
Aggressive extreme ensemble,-15.312034153761322,2320,mmp,16-006,Snapper Reef (16-006),2024,0.5029984341764817,0,-50.29984341764817,6.872,0.2276483309360394,0.897197855579998,0.9,6.812168274251864,0.5164835164835165,0,0.001," Jasper Cyclone Jasper, flood waters at 2.0 m only, coral bleaching at 5.0 m only | flood waters, Cyclone Jasper",0.6142858941099879,-17.878548569169084,0.3498780926388685,-34.987809263886845,reef_blocked_5fold,2,34.987809263886845
Aggressive extreme ensemble,1.282798045232994,1946,manta,20-104,U/N Reef (20-104),2024,0.16222060434747407,0.3954607791259235,23.32401747784494,5.56,0.20685377657459916,0,0.3,5.8287453483906155,0,26,0.0038,  ,0.003685414356109941,-12.399093318639485,0.175048584799804,22.041219432611946,reef_blocked_5fold,4,22.041219432611946
Aggressive extreme ensemble,-16.165046374086856,2535,mmp,17-013,Round-Russell Reef (17-013),2024,0.5698340273760891,0.62046217396100245,5.062814658491332,6.45,0,0.453094083003862,1,6.845372987621058,0.6153846153846154,0,0,"COTS seen this year and last, but also BrB disease | combination of flood, COTS,  minor bleachng  crown-of-thorns starfish | unknown at 2.0 m only",0.5618178712626839,-20.257627648720653,0.40818356363522057,21.22786103257819,reef_blocked_5fold,1,21.22786103257819
Aggressive extreme ensemble,-16.061029826188534,1904,manta,19-209,Rebe Reef (19-209),2024,0.46618035867601393,0.5092197617855989,4.303940310958499,10.3432,0.6402774310653515,0,0.45,5.8287453483906155,0.01098901098901099,33,5e-4,  ,0.751223839346905,-17.017851279295808,0.3055700604141286,20.364970137147033,reef_blocked_5fold,2,20.364970137147033
Aggressive extreme ensemble,-28.628363761463,2987,mmp,22-009,Barren Island Reef (22-009),2024,0.7041189584586074,0.6208482450147622,-8.327071344384517,11.06,0.9329570973491906,1,0.55,4.823371628795423,0.01098901098901099,0,NA,bleaching still evident at time of surveys  coral bleaching,0.6690285331851822,-27.770690209614603,0.4178353208439774,20.301292417078482,reef_blocked_5fold,3,20.301292417078482
Aggressive extreme ensemble,-16.297729770602952,2449,mmp,17-009a,Tobias Spit (17-009a),2024,0.4636944779061943,0.49676642452091935,3.307194661472507,6.32,0.2715440227550341,0.748991096360115,0.8,6.845372987621058,0.6153846153846154,0,1e-4,"clear depth limit to level of mortality  flood waters at 2.0 m only, Cyclone Jasper at 2.0 m only, crown-of-thorns starfish at 5.0 m only",0.31410787346876684,-20.60429068191813,0.30071718020016475,19.60492443207546,reef_blocked_5fold,4,19.60492443207546
Aggressive extreme ensemble,-21.70774309690814,1225,manta,14-143,North Direction Reef (14-143),2024,0.5837507562816058,0.18210999156528573,-40.164076471632,6.23,0.4371273713667701,0.0201384624835262,0.8,6.662192357426267,0.1978021978021978,0,0.0092,DHW 6.23 aerial bl 5  coral bleaching,0.8842160981321396,-22.258500084973203,0.3666733253125244,-18.45633337472386,reef_blocked_5fold,4,18.45633337472386
Aggressive extreme ensemble,-27.975439642103726,830,ltmp,23-055a,One Tree Island Reef (23-055a),2024,0.6465710923203194,0.19033698696083282,-45.62341053594866,11.6123762376238,0.9167527148244318,0.0455607442369428,0.9,5.509502913839823,0.02197802197802198,0,0.0397,"DHW 11  coral bleaching, coral disease",0.883913749622477,-28.25577853614699,0.3668166958992821,-17.64797089384493,reef_blocked_5fold,3,17.64797089384493
Aggressive extreme ensemble,0.3528364744406265,1862,manta,19-138,U/N Reef (19-138),2024,0.20120109576445824,0.38075191515937695,17.955081939491873,5.812,0.19822604048299736,0,0.45,5.8287453483906155,0.01098901098901099,21,0.0064,  ,0.005072388201992137,-10.810929558023316,0.2047294605088645,17.602245465051247,reef_blocked_5fold,5,17.602245465051247
Aggressive extreme ensemble,-12.339119392819159,1876,manta,19-159,Slate Reef (19-159),2024,0.5283413420729094,0.5748118603074418,4.647051823453241,8.61,0.6136352481490801,0,0.45,5.8287453483906155,0.01098901098901099,33,0.0198,  ,0.7998053551006555,-12.773816898105336,0.4049501481447178,16.9861712162724,reef_blocked_5fold,3,16.9861712162724
Aggressive extreme ensemble,-22.750395154582698,803,ltmp,23-048,Broomfield Reef (23-048),2024,0.5750808079045714,0.17919578831157115,-39.588501959300025,11.6140740740741,0.862233938344424,0.0430566355266609,0.7,5.301987044294902,0.03296703296703297,0,0,"Aerial bl 5 2024   DHW 11.6  coral bleaching, unknown storm",0.8800060976022112,-22.8776818976105,0.3475768563587444,-16.838106804717327,reef_blocked_5fold,3,16.838106804717327
Aggressive extreme ensemble,-18.135918741355482,45,ltmp,13-130,Davie Reef (13-130),2024,0.5412236066213202,0.5262075547253428,-1.5016051895977434,6.9604347826087,0.4165932314736618,0.19893148191917,0.9,6.686516551675772,0.17582417582417584,0,0,  ,0.8925407778825326,-17.89242358326733,0.35986441920776535,16.63431355175774,reef_blocked_5fold,1,16.63431355175774
Aggressive extreme ensemble,-14.231063728100422,2583,mmp,17-053,Stingaree Reefs (17-053),2024,0.33654597828120286,0.36033387700433595,2.378789872313308,3.96714285714286,0.616506583925962,0.939069623828006,0.5,6.679407263235824,0.3076923076923077,0,1e-4,partial bleaching at time of surveys  coral bleaching,0.6584675245268211,-16.19157963313654,0.19423534100019865,16.60985360041373,reef_blocked_5fold,1,16.60985360041373
Aggressive extreme ensemble,-14.256049318578135,1129,manta,14-126,Linnet Reef (14-126),2024,0.4278475351183221,0.12205758932979481,-30.578994578852726,6.675,0.6343256027311654,0.536864378405265,1,6.662192357426267,0.2307692307692308,0,0.0201,DHW 6.73  coral bleaching,0.17348573078981527,-18.108802170623765,0.28528704193254073,-16.32294526027459,reef_blocked_5fold,3,16.32294526027459
Aggressive extreme ensemble,-10.874603049528448,1332,manta,16-015,Mackay Reef (16-015),2024,0.4251201626271228,0.1647169175994882,-26.04032450276346,3.76809523809524,0.11108575555250783,0.0670124787248476,0.8,6.6724338344427165,0.15384615384615383,0,4e-4,"DHW 4.03  coral bleaching, Cyclone Jasper, flood waters",0.29719022110383436,-16.946803514457212,0.31637413213183835,-15.165721453235014,reef_blocked_5fold,1,15.165721453235014
Aggressive extreme ensemble,-20.489451807739343,839,ltmp,23-081,Fairfax Islands Reef (23-081),2024,0.33232469751541616,0.27376207289375226,-5.85626246216639,11.2442553191489,0.8421051184060283,0.0818748265521753,0.9,5.784058808178996,0.01098901098901099,0,0.0202,"Aerial bl 4 2024 DHW 11.46 2024, moderate disease  coral bleaching, coral disease",0.40033757310537177,-24.622515290320813,0.12743017943802273,14.633189345572953,reef_blocked_5fold,5,14.633189345572953
Aggressive extreme ensemble,-17.081137460053,2242,manta,23-068,Erskine Reef (23-068),2024,0.4084517150032933,0.3812714850801322,-2.7180229923161106,11.1576470588235,0.8208239385774314,0.025341655981035,0.4,5.301987044294902,0.01098901098901099,0,0,Aerial bl 4 2024 DHW 11.17  coral bleaching,0.9094308387876086,-17.19904438564978,0.2376403404027633,14.363114467736889,reef_blocked_5fold,2,14.363114467736889
Aggressive extreme ensemble,-14.07844566567438,992,manta,13-130,Davie Reef (13-130),2024,0.3531554979789382,0.35290196193808715,-0.025353604085104342,6.9604347826087,0.4165932314736618,0.19893148191917,0.9,6.686516551675772,0.17582417582417584,0,0,Aerial bl 2 2024  DHW 7.03  coral bleaching,0.6508301246836664,-15.263155837037038,0.2123710413221944,14.053092061589275,reef_blocked_5fold,1,14.053092061589275
Aggressive extreme ensemble,-10.114995448514714,2399,mmp,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,0.3731568893226376,0.4106073122527148,3.745042293007722,7.66,0.24786093423705963,0.529954681473679,0.9,6.977581085825649,0.2087912087912088,0,1e-4,"partial bleaching during bleaching surveys Feb24 | bleaching observed during targetted bleaching surveys  coral bleaching at 2.0 m only | coral bleaching at 2.0 m only, Cyclone Jasper",0.2574435153051701,-17.326524384270073,0.27200693483749044,13.860037741522437,reef_blocked_5fold,1,13.860037741522437
Aggressive extreme ensemble,-11.831022498649746,39,ltmp,13-124,U/N Reef (13-124),2024,0.315898372616265,0.3336223757585837,1.77240031423187,7.98619718309859,0.1774292151097992,0.289484885761631,0.8,6.655036804576533,0.1868131868131868,0,0,  ,0.3646398999122032,-15.257511937310596,0.19758814762976756,13.603422812881616,reef_blocked_5fold,1,13.603422812881616
Aggressive extreme ensemble,-11.442505967725763,171,ltmp,14-139,No Name Reef (14-139),2024,0.44282285881471023,0.4631233049592587,2.0300446144548454,7.81838709677419,0.28556436252650325,0,0.45,6.662192357426267,0.2087912087912088,0,0,increase in hc  coral bleaching,0.18039119805327383,-15.720798981708137,0.3283977991374526,13.47255058218061,reef_blocked_5fold,1,13.47255058218061
