learner,scheme,event_year,transitions,severe_n,observed_change_pp,severe_observed_pp,severe_predicted_pp,predicted_change_pp,rmse_pp
Aggressive extreme ensemble,forward_2024_2025,2024,234,53,-5.892317748720672,-21.578786471466284,-8.194118725077157,-4.766738292913066,10.590989919624537
Aggressive extreme ensemble,forward_2024_2025,2025,105,10,-0.046068076599038714,-17.90738312333458,-2.343420050460158,-2.730386118636469,9.047829236359139
Aggressive extreme ensemble,recent_year_holdout,2016,55,4,0.5032428775061415,-14.735643888216181,-4.655602726563813,-1.7090585242724594,6.850994795320082
Aggressive extreme ensemble,recent_year_holdout,2017,63,18,-7.776669411236795,-23.07702892591975,-15.814507448522733,-10.644088872371112,11.838163627527454
Aggressive extreme ensemble,recent_year_holdout,2018,56,1,0.7796736658218489,-11.507170615456582,-9.495536628631088,-2.0333463291227973,5.368155149628482
Aggressive extreme ensemble,recent_year_holdout,2019,87,3,1.751558821478579,-16.876997099648346,-5.327369149738168,-2.14426967346008,7.4721182318110495
Aggressive extreme ensemble,recent_year_holdout,2020,98,1,4.265822596673907,-29.293304741487443,-16.9397721056024,-2.5590136206911756,10.290015546418365
Aggressive extreme ensemble,recent_year_holdout,2021,172,8,2.639571012729044,-15.957781994397392,-4.368406394406438,-3.17817781286777,9.71646776264964
Aggressive extreme ensemble,recent_year_holdout,2022,184,10,0.630152478005479,-15.224099792975354,-7.289073178698149,-1.7516350264649867,6.460976231316757
Aggressive extreme ensemble,recent_year_holdout,2023,161,6,1.9008294648574016,-13.057308115996177,-5.447596263434543,-2.4619299295432753,7.9110588596471585
Aggressive extreme ensemble,recent_year_holdout,2024,234,53,-5.892317748720672,-21.578786471466284,-7.838584391715138,-4.405784721135176,10.583485734786292
Aggressive extreme ensemble,recent_year_holdout,2025,105,10,-0.046068076599038714,-17.90738312333458,-4.302827038469061,-3.539488467948544,9.469698172574704
Aggressive extreme ensemble,reef_blocked_5fold,1985,1,0,-1.5568301207428303,NA,NA,-1.0482598862924548,0.5085702344503755
Aggressive extreme ensemble,reef_blocked_5fold,1986,32,8,-3.6809601956006563,-18.594835191491956,-8.744090126683808,-3.8990573998873894,10.494265907242992
Aggressive extreme ensemble,reef_blocked_5fold,1987,38,4,2.1294790112465662,-15.414148566404593,-3.928903886169506,-3.224963243047119,10.528191748905394
Aggressive extreme ensemble,reef_blocked_5fold,1988,38,5,-0.8442199475016511,-13.025851901558573,-10.120079631467794,-3.9285808170811527,9.238984913524835
Aggressive extreme ensemble,reef_blocked_5fold,1989,35,1,1.4918536691191653,-12.950174441194523,-1.0077648853102084,-2.092111310055665,7.835512378559221
Aggressive extreme ensemble,reef_blocked_5fold,1990,27,4,-4.120867080133415,-17.938779356703225,-6.173300941671598,-2.139990568646214,6.500644281417112
Aggressive extreme ensemble,reef_blocked_5fold,1991,20,1,2.4189934679376273,-25.79940523323482,-11.301346362622322,-3.2407445284808465,10.13885548086974
Aggressive extreme ensemble,reef_blocked_5fold,1992,8,3,-3.9953107796107177,-13.915335729463292,-10.346056601183134,-4.76214093635567,4.40140777947183
Aggressive extreme ensemble,reef_blocked_5fold,1993,24,0,-1.4080244717878514,NA,NA,-1.6263817914410836,4.1883746549039484
Aggressive extreme ensemble,reef_blocked_5fold,1994,58,1,1.8991926914838082,-13.267636342843792,-4.610551774521376,-1.0432317908222195,6.376881572628775
Aggressive extreme ensemble,reef_blocked_5fold,1995,95,0,2.1249234628110885,NA,NA,-1.3287184119770592,6.1463438163566675
Aggressive extreme ensemble,reef_blocked_5fold,1996,84,5,-0.6610467864031385,-19.806488323565976,-9.251423115040097,-1.9748664912396494,6.055695713360808
Aggressive extreme ensemble,reef_blocked_5fold,1997,95,8,0.013599714152596266,-15.430514423065443,-5.592195152178532,-2.0946273785568374,6.914447042909226
Aggressive extreme ensemble,reef_blocked_5fold,1998,105,5,1.496506811886049,-13.01786535504403,-6.111086035885201,-2.2861515840158,7.583096272268404
Aggressive extreme ensemble,reef_blocked_5fold,1999,92,6,-0.6456330411314184,-15.19168879826945,-5.107558238539636,-2.766332222034036,6.095053425047003
Aggressive extreme ensemble,reef_blocked_5fold,2000,85,5,-1.2502058796141375,-10.603614745751322,-3.3736193489659096,-3.0871671801311162,5.411280872668974
Aggressive extreme ensemble,reef_blocked_5fold,2001,87,6,-0.6910350017625203,-15.135487448472205,-6.637696906134609,-2.936763954151351,6.606037808672767
Aggressive extreme ensemble,reef_blocked_5fold,2002,103,4,-1.706589478787448,-11.548235910062782,-2.1902467568691657,-2.307821835009128,5.722751561732371
Aggressive extreme ensemble,reef_blocked_5fold,2003,95,2,-0.5517664067297324,-12.953384379844707,-5.891009120759293,-1.7880984592147986,4.562609077756717
Aggressive extreme ensemble,reef_blocked_5fold,2004,87,4,0.6235092126425372,-13.821501239484842,-6.097692179426122,-1.0316499728067032,4.847332866946306
Aggressive extreme ensemble,reef_blocked_5fold,2005,51,1,-0.1687523799193932,-12.898016959730937,-2.890109022177745,-0.9985902914613645,4.426890354128422
Aggressive extreme ensemble,reef_blocked_5fold,2006,99,10,-1.1996662094802113,-24.009306006270776,-8.546143619425749,-2.4830716581228143,8.82536777638585
Aggressive extreme ensemble,reef_blocked_5fold,2007,70,5,-0.36380069733114134,-13.06248437261103,-10.946804983166462,-2.641818968169766,5.830976864391563
Aggressive extreme ensemble,reef_blocked_5fold,2008,61,3,0.29764461198947656,-39.373474571205975,-7.221622701390432,-1.5952145611364048,10.058382442672636
Aggressive extreme ensemble,reef_blocked_5fold,2009,73,3,-0.13608703275011916,-18.794851531296047,-7.685700772217761,-2.795405069899263,7.212127388098593
Aggressive extreme ensemble,reef_blocked_5fold,2010,63,5,-1.9178114402032216,-14.220780189626593,-4.774186654290027,-3.1617442704052117,6.790442889491725
Aggressive extreme ensemble,reef_blocked_5fold,2011,54,14,-6.464348921368537,-19.851339006797673,-7.551645627738422,-3.978223182040117,9.159764044396468
Aggressive extreme ensemble,reef_blocked_5fold,2012,53,1,0.6640126323120159,-11.767382212643446,-11.505766581910592,-1.80681381305662,6.312820866026595
Aggressive extreme ensemble,reef_blocked_5fold,2013,51,4,-0.16839799927860727,-21.50484457810506,-12.58455562248934,-2.0690142864321803,6.0313308158728205
