programme_key,candidate,scheme,fold,analysis_rows,assessment_rows,elapsed_seconds
manta,legacy_history,reef_blocked_5fold,1,198,50,4.23
manta,legacy_history,reef_blocked_5fold,2,198,50,3.5
manta,legacy_history,reef_blocked_5fold,3,198,50,3.599999999999998
manta,legacy_history,reef_blocked_5fold,4,199,49,3.5199999999999996
manta,legacy_history,reef_blocked_5fold,5,199,49,3.3599999999999994
manta,legacy_history,leave_one_event_out,2016,228,20,3.8599999999999994
manta,legacy_history,leave_one_event_out,2017,225,23,3.9499999999999993
manta,legacy_history,leave_one_event_out,2020,185,63,3.530000000000001
manta,legacy_history,leave_one_event_out,2022,195,53,3.5500000000000043
manta,legacy_history,leave_one_event_out,2024,159,89,3.780000000000001
manta,paper_history,reef_blocked_5fold,1,198,50,3.6099999999999994
manta,paper_history,reef_blocked_5fold,2,198,50,3.8900000000000006
manta,paper_history,reef_blocked_5fold,3,198,50,3.5800000000000054
manta,paper_history,reef_blocked_5fold,4,199,49,3.5
manta,paper_history,reef_blocked_5fold,5,199,49,5.280000000000001
manta,paper_history,leave_one_event_out,2016,228,20,5.43
manta,paper_history,leave_one_event_out,2017,225,23,5.109999999999999
manta,paper_history,leave_one_event_out,2020,185,63,5.3500000000000085
manta,paper_history,leave_one_event_out,2022,195,53,5.219999999999999
manta,paper_history,leave_one_event_out,2024,159,89,5.3799999999999955
ltmp,legacy_history,reef_blocked_5fold,1,159,40,5.280000000000001
ltmp,legacy_history,reef_blocked_5fold,2,159,40,5.420000000000002
ltmp,legacy_history,reef_blocked_5fold,3,159,40,5.349999999999994
ltmp,legacy_history,reef_blocked_5fold,4,159,40,5.3300000000000125
ltmp,legacy_history,reef_blocked_5fold,5,160,39,5.339999999999989
ltmp,legacy_history,leave_one_event_out,2016,177,22,5.409999999999997
ltmp,legacy_history,leave_one_event_out,2017,180,19,5.179999999999993
ltmp,legacy_history,leave_one_event_out,2020,152,47,5.530000000000001
ltmp,legacy_history,leave_one_event_out,2022,163,36,5.150000000000006
ltmp,legacy_history,leave_one_event_out,2024,124,75,5.269999999999982
ltmp,paper_history,reef_blocked_5fold,1,159,40,5.519999999999982
ltmp,paper_history,reef_blocked_5fold,2,159,40,5.52000000000001
ltmp,paper_history,reef_blocked_5fold,3,159,40,5.269999999999982
ltmp,paper_history,reef_blocked_5fold,4,159,40,5.389999999999986
ltmp,paper_history,reef_blocked_5fold,5,160,39,5.280000000000001
ltmp,paper_history,leave_one_event_out,2016,177,22,5.4599999999999795
ltmp,paper_history,leave_one_event_out,2017,180,19,5.6299999999999955
ltmp,paper_history,leave_one_event_out,2020,152,47,5.710000000000008
ltmp,paper_history,leave_one_event_out,2022,163,36,5.430000000000007
ltmp,paper_history,leave_one_event_out,2024,124,75,5.489999999999981
mmp,legacy_history,reef_blocked_5fold,1,72,18,4.989999999999981
mmp,legacy_history,reef_blocked_5fold,2,72,18,5.22999999999999
mmp,legacy_history,reef_blocked_5fold,3,72,18,5.219999999999999
mmp,legacy_history,reef_blocked_5fold,4,72,18,4.920000000000016
mmp,legacy_history,reef_blocked_5fold,5,72,18,4.939999999999998
mmp,legacy_history,leave_one_event_out,2017,58,32,5.310000000000002
mmp,legacy_history,leave_one_event_out,2022,86,4,5.25
mmp,legacy_history,leave_one_event_out,2024,36,54,5.269999999999982
mmp,paper_history,reef_blocked_5fold,1,72,18,5.159999999999997
mmp,paper_history,reef_blocked_5fold,2,72,18,5.230000000000018
mmp,paper_history,reef_blocked_5fold,3,72,18,5.340000000000003
mmp,paper_history,reef_blocked_5fold,4,72,18,5.199999999999989
mmp,paper_history,reef_blocked_5fold,5,72,18,4.060000000000002
mmp,paper_history,leave_one_event_out,2017,58,32,4.159999999999968
mmp,paper_history,leave_one_event_out,2022,86,4,5.110000000000014
mmp,paper_history,leave_one_event_out,2024,36,54,5.159999999999968
