scheme,event_year,programme_key,tail_features,learner,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
leave_one_event_out,2016,ltmp,legacy_tail,Conservative tail (0.5 gate),22,4,0.18330675000243254,0.07326104498854889,0.21633154626004325,0.1517840830011992,0.1382484706628836,-0.11004570501388365,0.5926050488485936,0.18604718886758262,0.4171835093961934,0
leave_one_event_out,2016,ltmp,legacy_tail,Soft-gated tail,22,4,0.18330675000243254,0.0758209369584444,0.21603257506549947,0.15303323304753527,0.14062871394698928,-0.10748581304398815,0.5926050488485936,0.18718662267754954,0.4160917731912689,0
leave_one_event_out,2016,ltmp,none,INLA only,22,4,0.18330675000243254,0.07070115301865339,0.21669108998631192,0.15053493295486314,0.13538162265409281,-0.11260559698377917,0.5926050488485936,0.18490775505761567,0.41827590823422234,0
leave_one_event_out,2016,ltmp,wqc_threshold_tail,Conservative tail (0.5 gate),22,4,0.18330675000243254,0.07394386764336494,0.21598001085660923,0.15184037430800568,0.1410468608511941,-0.10936288235906762,0.5926050488485936,0.1866535054534733,0.4165353680276246,0
leave_one_event_out,2016,ltmp,wqc_threshold_tail,Soft-gated tail,22,4,0.18330675000243254,0.07718658226807651,0.21536288819685112,0.1531458156611482,0.1459484454199601,-0.10612016773435604,0.5926050488485936,0.18839925584933095,0.4147967045869568,0
leave_one_event_out,2016,ltmp,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),22,4,0.18330675000243254,0.0739097795570653,0.21613147836114893,0.1519728496674434,0.13984166497224948,-0.10939697044536724,0.5926050488485936,0.1871054043373413,0.4163199695613696,0
leave_one_event_out,2016,ltmp,wqc_threshold_track_disease_tail,Soft-gated tail,22,4,0.18330675000243254,0.07711840609547722,0.21572840482857558,0.15341076638002363,0.1430469709862573,-0.10618834390695532,0.5926050488485936,0.18930305361706692,0.4143683813527943,0
leave_one_event_out,2016,ltmp,wqc_threshold_track_tail,Conservative tail (0.5 gate),22,4,0.18330675000243254,0.07307544255456301,0.21594727319139487,0.1511640932399308,0.1413072366980781,-0.11023130744786953,0.5926050488485936,0.18658265665789153,0.4167382299611002,0
leave_one_event_out,2016,ltmp,wqc_threshold_track_tail,Soft-gated tail,22,4,0.18330675000243254,0.07544973209047265,0.21525511826653068,0.15179325352499842,0.1468029849194995,-0.1078570179119599,0.5926050488485936,0.18825755825816742,0.41520350541612755,0
leave_one_event_out,2016,manta,legacy_tail,Conservative tail (0.5 gate),20,0,0.14544376847496326,0.06726030025163414,0.1572711047992837,0.11368151143832954,-0.014690596037014059,-0.07818346822332913,,,,0
leave_one_event_out,2016,manta,legacy_tail,Soft-gated tail,20,0,0.14544376847496326,0.07205466452339157,0.15799231930805838,0.11594028850597562,-0.02401827957397873,-0.07338910395157171,,,,0
leave_one_event_out,2016,manta,none,INLA only,20,0,0.14544376847496326,0.06246593597987671,0.15731536670713786,0.11142273437068345,-0.015261819361080065,-0.08297783249508656,,,,0
leave_one_event_out,2016,manta,wqc_threshold_tail,Conservative tail (0.5 gate),20,0,0.14544376847496326,0.06730174293621027,0.15665458093912485,0.11283054421158044,-0.006750742327442438,-0.07814202553875299,,,,0
leave_one_event_out,2016,manta,wqc_threshold_tail,Soft-gated tail,20,0,0.14544376847496326,0.07213754989254384,0.15659151390688003,0.11423835405247743,-0.005940296817615653,-0.07330621858241942,,,,0
leave_one_event_out,2016,manta,wqc_threshold_track_disease_tail,Conservative tail (0.5 gate),20,0,0.14544376847496326,0.06555237743651975,0.15643728197660264,0.11172396752341408,-0.00395970789918576,-0.07989139103844352,,,,0
leave_one_event_out,2016,manta,wqc_threshold_track_disease_tail,Soft-gated tail,20,0,0.14544376847496326,0.0686388188931628,0.15572375625501997,0.11202520067614471,0.005177722672098484,-0.07680494958180047,,,,0
leave_one_event_out,2016,manta,wqc_threshold_track_tail,Conservative tail (0.5 gate),20,0,0.14544376847496326,0.06541516761641683,0.15682253527656245,0.11231362691545299,-0.008910638262314974,-0.08002860085854643,,,,0
leave_one_event_out,2016,manta,wqc_threshold_track_tail,Soft-gated tail,20,0,0.14544376847496326,0.06836439925295695,0.15652265270947052,0.11320451946022252,-0.005055765838650306,-0.07707936922200631,,,,0
leave_one_event_out,2017,ltmp,legacy_tail,Conservative tail (0.5 gate),19,3,0.18617327096624434,0.1639675660647404,0.2180077885509554,0.14467725289899488,0.24470214150968606,-0.02220570490150394,0.6497353207100929,0.3573740406973733,0.38933981223269676,0.07692307692307693
leave_one_event_out,2017,ltmp,legacy_tail,Soft-gated tail,19,3,0.18617327096624434,0.19129877278842672,0.2354956078323322,0.15853411514115748,0.11866735359321245,0.005125501822182389,0.6497353207100929,0.3899796157869509,0.3814610643076936,0.23076923076923078
leave_one_event_out,2017,ltmp,none,INLA only,19,3,0.18617327096624434,0.13663635934105406,0.21058138670622603,0.1373192782758352,0.2952838946449904,-0.049536911625190264,0.6497353207100929,0.3247684656077956,0.40096605032107796,0
leave_one_event_out,2017,ltmp,wqc_threshold_tail,Conservative tail (0.5 gate),19,3,0.18617327096624434,0.17148394367060027,0.22557760840786284,0.1542192392403512,0.1913395368784907,-0.014689327295644063,0.6497353207100929,0.3485156374089348,0.38956208002483816,0.15384615384615385
