tail_features,component,predictor,relative_influence
legacy_tail,gate,dhw_novelty10_z,11.48407592868214
legacy_tail,gate,observed_pre_cover_z,7.760032974645344
legacy_tail,gate,mcur_90_z,6.9914670160267365
legacy_tail,gate,sst_summer_excess_kurtosis_z,6.978583567151247
legacy_tail,gate,dhw_x_acropora,6.490217186187625
legacy_tail,gate,ann_maxdhw_z,6.3525712416881674
legacy_tail,gate,chla_wetseason_median_z,6.119477065870783
legacy_tail,gate,dhw_x_cloud,5.597497720947585
legacy_tail,gate,log_coastal_rain30_z,4.500668780475659
legacy_tail,gate,cots_outbreak_probability_z,3.940205667704528
legacy_tail,gate,cloudp_90_z,3.2591214796540515
legacy_tail,gate,sst_summer_skewness_z,3.2073656540256255
legacy_tail,gate,dhw_x_freshwater,3.123529817272152
legacy_tail,gate,dhw_x_novelty,2.5989974901342627
legacy_tail,gate,dhw_x_current,2.5231709744525617
legacy_tail,gate,programme_factor,2.5159998601472404
legacy_tail,gate,acropora_cover_pre_z,2.4997172218441226
legacy_tail,gate,prop_acropora_pre_z,2.3033834410976044
legacy_tail,gate,log1p_cot_idwmeanpertow_z,2.087887906542103
legacy_tail,gate,dhw_excess4_z,1.702886984533709
legacy_tail,gate,wqc_prior10_percentile_z,1.669055817045231
legacy_tail,gate,dhw_excess8_z,1.4480252213886018
legacy_tail,gate,secc3m_p10_z,1.4367665812053718
legacy_tail,gate,dhw10_load4_z,1.2219512001012132
legacy_tail,gate,region_factor,0.8865996615105364
legacy_tail,gate,log1p_cyc_maxHrs4mw_z,0.8077600008929692
legacy_tail,gate,dhw_years_since_last_n6_capped8_z,0.49298353877283196
legacy_tail,gate,dhw_events_since2016_n6_z,0
legacy_tail,magnitude,dhw_x_acropora,8.334694656585537
legacy_tail,magnitude,mcur_90_z,7.654527768833295
legacy_tail,magnitude,log1p_cot_idwmeanpertow_z,7.2733948016323735
legacy_tail,magnitude,chla_wetseason_median_z,6.924650609954381
legacy_tail,magnitude,dhw_novelty10_z,6.4729633876436425
legacy_tail,magnitude,sst_summer_skewness_z,5.307359894522604
legacy_tail,magnitude,secc3m_p10_z,5.064087600565059
legacy_tail,magnitude,log_coastal_rain30_z,4.965229495480195
legacy_tail,magnitude,observed_pre_cover_z,4.788541724380133
legacy_tail,magnitude,sst_summer_excess_kurtosis_z,4.518853628844563
legacy_tail,magnitude,cots_outbreak_probability_z,4.303552127748592
legacy_tail,magnitude,dhw_x_novelty,3.847053477741116
legacy_tail,magnitude,prop_acropora_pre_z,3.7608134643049462
legacy_tail,magnitude,dhw_x_current,3.746742375399405
legacy_tail,magnitude,dhw_x_freshwater,3.650070795784678
legacy_tail,magnitude,dhw_x_cloud,3.643786956725535
legacy_tail,magnitude,wqc_prior10_percentile_z,3.14405145640347
legacy_tail,magnitude,cloudp_90_z,2.720483292074847
legacy_tail,magnitude,dhw10_load4_z,2.396424054653528
legacy_tail,magnitude,region_factor,1.9933467145168955
legacy_tail,magnitude,programme_factor,1.8861185704971735
legacy_tail,magnitude,ann_maxdhw_z,1.5579760989551683
legacy_tail,magnitude,acropora_cover_pre_z,0.8533077201339146
legacy_tail,magnitude,dhw_years_since_last_n6_capped8_z,0.5192534834708439
legacy_tail,magnitude,dhw_excess8_z,0.42180420129141233
legacy_tail,magnitude,dhw_events_since2016_n6_z,0.15898538588663888
legacy_tail,magnitude,log1p_cyc_maxHrs4mw_z,0.09192625597004724
legacy_tail,magnitude,dhw_excess4_z,0
wqc_threshold_tail,gate,ann_maxdhw_z,9.325006350653826
wqc_threshold_tail,gate,dhw_novelty10_z,9.15290873076876
wqc_threshold_tail,gate,observed_pre_cover_z,7.669566145151849
wqc_threshold_tail,gate,mcur_90_z,6.8867590484819585
wqc_threshold_tail,gate,sst_summer_excess_kurtosis_z,6.183772163549702
wqc_threshold_tail,gate,wqc_freqcc12_z,5.606759899747472
wqc_threshold_tail,gate,dhw_x_cloud,5.067488766947507
wqc_threshold_tail,gate,log_coastal_rain30_z,4.753300177842955
wqc_threshold_tail,gate,chla_wetseason_median_z,4.536253635202492
wqc_threshold_tail,gate,dhw_x_acropora,4.467543074449718
wqc_threshold_tail,gate,cots_outbreak_probability_z,3.941350419794499
wqc_threshold_tail,gate,acropora_cover_pre_z,3.5357780938793337
wqc_threshold_tail,gate,dhw_x_wqc_cumulative,3.3608237027134242
wqc_threshold_tail,gate,cloudp_90_z,2.7870942484807055
wqc_threshold_tail,gate,dhw_x_freshwater,2.2513767961732376
wqc_threshold_tail,gate,sst_summer_skewness_z,2.1305771143983447
wqc_threshold_tail,gate,prop_acropora_pre_z,1.997874328834767
wqc_threshold_tail,gate,dhw_x_current,1.9746232490944566
wqc_threshold_tail,gate,dhw_excess4_z,1.9265404500744148
wqc_threshold_tail,gate,dhw_x_novelty,1.8945519988545956
wqc_threshold_tail,gate,log1p_cot_idwmeanpertow_z,1.87146172816107
wqc_threshold_tail,gate,secc3m_p10_z,1.655368447026098
wqc_threshold_tail,gate,programme_factor,1.5804908483441666
wqc_threshold_tail,gate,wqc_prior10_percentile_z,1.1706791596838282
wqc_threshold_tail,gate,dhw_x_wqc_excess50,1.159897501271695
wqc_threshold_tail,gate,dhw10_load4_z,0.8872991542729839
wqc_threshold_tail,gate,log1p_cyc_maxHrs4mw_z,0.7998397413296281
wqc_threshold_tail,gate,wqc_excess50_10yr_sum_z,0.4591575249169475
wqc_threshold_tail,gate,dhw_excess8_z,0.3452299035612859
wqc_threshold_tail,gate,region_factor,0.27751273426162887
wqc_threshold_tail,gate,dhw_years_since_last_n6_capped8_z,0.26743168919321153
wqc_threshold_tail,gate,wqc_excess50_z,0.075683172883448
wqc_threshold_tail,gate,dhw_events_since2016_n6_z,0
wqc_threshold_tail,magnitude,dhw_x_acropora,8.915363016046864
wqc_threshold_tail,magnitude,log1p_cot_idwmeanpertow_z,8.132043806015332
wqc_threshold_tail,magnitude,dhw_novelty10_z,6.998134569796788
wqc_threshold_tail,magnitude,chla_wetseason_median_z,6.771973208960203
wqc_threshold_tail,magnitude,mcur_90_z,5.7366807843096925
wqc_threshold_tail,magnitude,log_coastal_rain30_z,4.798331500371797
wqc_threshold_tail,magnitude,sst_summer_excess_kurtosis_z,4.648266372142463
wqc_threshold_tail,magnitude,dhw_x_freshwater,4.353215637770484
wqc_threshold_tail,magnitude,sst_summer_skewness_z,4.321829198579585
wqc_threshold_tail,magnitude,observed_pre_cover_z,4.318742246830654
wqc_threshold_tail,magnitude,dhw_x_novelty,4.315750384953339
wqc_threshold_tail,magnitude,cots_outbreak_probability_z,3.7846726049204578
wqc_threshold_tail,magnitude,secc3m_p10_z,3.6965773202861456
wqc_threshold_tail,magnitude,dhw_x_current,3.5385391000064548
wqc_threshold_tail,magnitude,dhw_x_cloud,3.5344913491077428
