tail_features,component,predictor,relative_influence
legacy_tail,gate,ann_maxdhw_z,11.540420738441165
legacy_tail,gate,dhw_novelty10_z,11.0005637907408
legacy_tail,gate,observed_pre_cover_z,7.614934193658715
legacy_tail,gate,mcur_90_z,7.567808783743409
legacy_tail,gate,sst_summer_excess_kurtosis_z,6.60938574726808
legacy_tail,gate,dhw_x_cloud,6.121114378787756
legacy_tail,gate,dhw_x_acropora,5.6879358315325215
legacy_tail,gate,chla_wetseason_median_z,4.450810479258198
legacy_tail,gate,cots_outbreak_probability_z,3.9076722210699657
legacy_tail,gate,log_coastal_rain30_z,3.896659285660148
legacy_tail,gate,dhw_x_current,3.2490632858561335
legacy_tail,gate,cloudp_90_z,3.0675808172678867
legacy_tail,gate,sst_summer_skewness_z,2.984621746390419
legacy_tail,gate,dhw_x_freshwater,2.8842839819156505
legacy_tail,gate,acropora_cover_pre_z,2.770065327535696
legacy_tail,gate,programme_factor,2.7300433269886986
legacy_tail,gate,dhw_excess4_z,2.0737701761456724
legacy_tail,gate,secc3m_p10_z,2.0681442607612714
legacy_tail,gate,log1p_cot_idwmeanpertow_z,1.7975978376061348
legacy_tail,gate,prop_acropora_pre_z,1.76530199739287
legacy_tail,gate,dhw_x_novelty,1.486400567884082
legacy_tail,gate,dhw10_load4_z,1.281194593636649
legacy_tail,gate,wqc_prior10_percentile_z,1.1682568751232298
legacy_tail,gate,dhw_excess8_z,1.0172850562406508
legacy_tail,gate,log1p_cyc_maxHrs4mw_z,0.7606231625241994
legacy_tail,gate,region_factor,0.28228468698584436
legacy_tail,gate,dhw_years_since_last_n6_capped8_z,0.21617684958414282
legacy_tail,gate,dhw_events_since2016_n6_z,0
legacy_tail,magnitude,dhw_x_acropora,8.747298263772846
legacy_tail,magnitude,log1p_cot_idwmeanpertow_z,8.437285801290328
legacy_tail,magnitude,dhw_novelty10_z,7.280613586949508
legacy_tail,magnitude,chla_wetseason_median_z,7.076545019309074
legacy_tail,magnitude,mcur_90_z,5.706063162113045
legacy_tail,magnitude,sst_summer_excess_kurtosis_z,5.123823867911434
legacy_tail,magnitude,observed_pre_cover_z,5.06576194072928
legacy_tail,magnitude,log_coastal_rain30_z,4.911494671221141
legacy_tail,magnitude,secc3m_p10_z,4.56200535338343
legacy_tail,magnitude,cots_outbreak_probability_z,4.182405420237381
legacy_tail,magnitude,dhw_x_current,4.005561702045508
legacy_tail,magnitude,sst_summer_skewness_z,3.8721881912837306
legacy_tail,magnitude,ann_maxdhw_z,3.3645292323564986
legacy_tail,magnitude,dhw_x_cloud,3.339388388100238
legacy_tail,magnitude,dhw_x_freshwater,3.310179672273225
legacy_tail,magnitude,dhw_x_novelty,3.3055280956712942
legacy_tail,magnitude,cloudp_90_z,3.292783953950057
legacy_tail,magnitude,prop_acropora_pre_z,2.861375629637532
legacy_tail,magnitude,dhw10_load4_z,2.8134757754865487
legacy_tail,magnitude,wqc_prior10_percentile_z,2.636640747303377
legacy_tail,magnitude,programme_factor,2.1629554448451973
legacy_tail,magnitude,region_factor,1.1783831908166345
legacy_tail,magnitude,acropora_cover_pre_z,1.1558408118691508
legacy_tail,magnitude,dhw_excess8_z,0.8846999565486403
