scheme,fold,tail_features,elapsed_seconds
reef_blocked_5fold,1,legacy_tail,1.42
reef_blocked_5fold,1,wqc_threshold_tail,1.5
reef_blocked_5fold,1,wqc_threshold_track_tail,1.9700000000000006
reef_blocked_5fold,1,wqc_threshold_track_disease_tail,1.6400000000000006
reef_blocked_5fold,2,legacy_tail,1.2999999999999972
reef_blocked_5fold,2,wqc_threshold_tail,1.5
reef_blocked_5fold,2,wqc_threshold_track_tail,1.5800000000000018
reef_blocked_5fold,2,wqc_threshold_track_disease_tail,1.6900000000000013
reef_blocked_5fold,3,legacy_tail,1.3200000000000003
reef_blocked_5fold,3,wqc_threshold_tail,1.5100000000000016
reef_blocked_5fold,3,wqc_threshold_track_tail,1.6700000000000017
reef_blocked_5fold,3,wqc_threshold_track_disease_tail,1.8599999999999994
reef_blocked_5fold,4,legacy_tail,1.5299999999999976
reef_blocked_5fold,4,wqc_threshold_tail,1.6000000000000014
reef_blocked_5fold,4,wqc_threshold_track_tail,1.5799999999999983
reef_blocked_5fold,4,wqc_threshold_track_disease_tail,1.6199999999999974
reef_blocked_5fold,5,legacy_tail,1.25
reef_blocked_5fold,5,wqc_threshold_tail,1.4299999999999997
reef_blocked_5fold,5,wqc_threshold_track_tail,1.4500000000000028
reef_blocked_5fold,5,wqc_threshold_track_disease_tail,1.7199999999999989
leave_one_event_out,2016,legacy_tail,1.4299999999999997
leave_one_event_out,2016,wqc_threshold_tail,1.5800000000000054
leave_one_event_out,2016,wqc_threshold_track_tail,1.7700000000000031
leave_one_event_out,2016,wqc_threshold_track_disease_tail,1.8200000000000003
leave_one_event_out,2017,legacy_tail,1.3900000000000006
leave_one_event_out,2017,wqc_threshold_tail,1.4699999999999989
leave_one_event_out,2017,wqc_threshold_track_tail,1.6700000000000017
leave_one_event_out,2017,wqc_threshold_track_disease_tail,1.75
leave_one_event_out,2020,legacy_tail,1.2999999999999972
leave_one_event_out,2020,wqc_threshold_tail,1.4200000000000017
leave_one_event_out,2020,wqc_threshold_track_tail,1.5499999999999972
leave_one_event_out,2020,wqc_threshold_track_disease_tail,1.8100000000000023
leave_one_event_out,2022,legacy_tail,1.490000000000002
leave_one_event_out,2022,wqc_threshold_tail,1.740000000000002
leave_one_event_out,2022,wqc_threshold_track_tail,1.9699999999999989
leave_one_event_out,2022,wqc_threshold_track_disease_tail,2.1300000000000097
leave_one_event_out,2024,legacy_tail,1.1700000000000017
leave_one_event_out,2024,wqc_threshold_tail,1.0799999999999983
leave_one_event_out,2024,wqc_threshold_track_tail,1.1400000000000006
leave_one_event_out,2024,wqc_threshold_track_disease_tail,1.1899999999999977
