programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,joint_reef_fold,ann_maxdhw,prop_acropora_pre,observed_pre_cover,log_coastal_rain30,era5_wind_mean,era5_wind_calm_fraction,era5_coastal_distance_km,DISTURBANCE_TYPE,description,observed_mortality,predicted_occurrence,predicted_positive_loss,predicted_mortality,learner,scheme,fold,residual,absolute_error,severe,nonsevere
ltmp,4240946,11-029,Monsoon Reef (11-029),2024,Northern GBR,1,5.4,0.04414182150574954,0.16594303089337115,6.492034321653199,5.711098670959473,0.14285714285714285,54.52924238766865,NA,NA,0.04432306029797992,0.2844687788530659,0.10737761780300356,0.03035891220393373,joint_compound_brms,reef_blocked_2024,1,0.01396414809404619,0.01396414809404619,FALSE,TRUE
ltmp,4241950,12-061,Lagoon Reef (12-061),2024,Northern GBR,1,5.54,0.3241122180549288,0.32829276929333295,6.420027608820439,5.631319999694824,0.16483516483516483,54.279648353109025,b,decline hc abs 7% rel 25% DHW 5.54,0.20439217846985944,0.4486299065956987,0.15449130060291946,0.06916601234142761,joint_compound_brms,reef_blocked_2024,1,0.13522616612843183,0.13522616612843183,TRUE,FALSE
manta,4285498,12-061,Lagoon Reef (12-061),2024,Northern GBR,1,5.54,0.3241122180549288,0.5429476932960781,6.420027608820439,5.631319999694824,0.16483516483516483,54.279648353109025,b,DHW 5.54- cots prior,0.1983460233310179,0.6415745666110868,0.1890318982218429,0.12109974538050308,joint_compound_brms,reef_blocked_2024,1,0.07724627795051482,0.07724627795051482,FALSE,TRUE
manta,3988617,14-118,Eyrie Reef (14-118),2024,Northern GBR,1,6.2700000000000005,0.5154641976894707,0.32029059765378537,6.662192357426267,5.6041412353515625,0.1978021978021978,38.660259476645,b,DHW 6.27 to 6.32,0.5256729155551548,0.5658029496767741,0.2803684232015741,0.15850672867002594,joint_compound_brms,reef_blocked_2024,1,0.3671661868851289,0.3671661868851289,TRUE,FALSE
ltmp,4175968,14-138,Yonge Reef (14-138),2024,Northern GBR,1,8.08,0.2688625059919296,0.3680986269041048,6.662192357426267,5.418431758880615,0.21978021978021975,61.75564549314031,b,Aerial bl 2 2024 DHW 8.08,0,0.6209114608641667,0.1741462227927934,0.10801200378421834,joint_compound_brms,reef_blocked_2024,1,-0.10801200378421834,0.10801200378421834,FALSE,TRUE
manta,4206459,14-138,Yonge Reef (14-138),2024,Northern GBR,1,8.08,0.2688625059919296,0.2873801234301697,6.662192357426267,5.418431758880615,0.21978021978021975,61.75564549314031,b,Aerial bl 2 2024 DHW 8.08,0.11897693253026977,0.5823350695373508,0.1825492222194084,0.10633079496144844,joint_compound_brms,reef_blocked_2024,1,0.01264613756882133,0.01264613756882133,FALSE,TRUE
manta,4206312,15-030,Swinger Reef (15-030),2024,Northern GBR,1,3.87,0.16516947525043257,0.4100183185340346,6.7363531973548385,5.366098403930664,0.15384615384615383,26.81989949840036,b,DHW 3.87,0.34618830788839955,0.4736146290735326,0.2682132147097094,0.12656969629856593,joint_compound_brms,reef_blocked_2024,1,0.2196186115898336,0.2196186115898336,TRUE,FALSE
ltmp,4176749,15-099c,Agincourt Reefs (No 1) (15-099c),2024,Central GBR,1,6.97,0.3820065936993378,0.3627972623729205,6.6724338344427165,5.55191707611084,0.15384615384615383,53.443772818368494,m,declines hc and sc B Jasper,0.147059946921269,0.5609385153183605,0.22336445734685145,0.12520519255357293,joint_compound_brms,reef_blocked_2024,1,0.02185475436769607,0.02185475436769607,FALSE,TRUE
manta,4206426,15-099c,Agincourt Reefs (No 1) (15-099c),2024,Central GBR,1,6.97,0.3820065936993378,0.44560178073362894,6.6724338344427165,5.55191707611084,0.15384615384615383,53.443772818368494,m,Aerial bl 3 2024 DHW 6.97,0.23551593127835632,0.6481306532203753,0.2545679961502208,0.16490519154006025,joint_compound_brms,reef_blocked_2024,1,0.0706107397382961,0.0706107397382961,TRUE,FALSE
ltmp,3753785,17-024,Peart Reef (17-024),2024,Central GBR,1,5.4,0.32131913917438787,0.29076822596685753,6.866384143143859,5.830949306488037,0.12087912087912088,53.02430121520352,b,NA,0.09176739690951512,0.4529607173635848,0.2669246387789579,0.12075541702879582,joint_compound_brms,reef_blocked_2024,1,-0.02898802011928068,0.02898802011928068,FALSE,TRUE
