programme_key,learner,event_year,n,severe_n,observed_mean,predicted_mean,rmse,severe_mae,severe_bias
ltmp,joint_compound_brms,2016,22,8,0.18330675000243254,0.06556519047963152,0.2379114389416758,0.3639975481436809,0.3639975481436809
ltmp,joint_compound_brms,2017,19,6,0.18617327096624434,0.11720001253247307,0.21002371186681848,0.31225822868756703,0.31225822868756703
ltmp,joint_compound_brms,2020,47,2,0.02271156283741858,0.07405553445544118,0.11530620908636559,0.3937057800463811,0.3937057800463811
ltmp,joint_compound_brms,2022,36,1,0.01585845519859899,0.04870834272675878,0.05853987505684847,0.1671176769275136,0.1671176769275136
ltmp,joint_compound_brms,2024,75,12,0.11262580066603782,0.06111462831602204,0.14917975192162616,0.3044472335364422,0.3044472335364422
ltmp,joint_compound_brt,2016,22,8,0.18330675000243254,0.09393106412166492,0.19903284916749975,0.2984813171135717,0.2984813171135717
ltmp,joint_compound_brt,2017,19,6,0.18617327096624434,0.12598327217893324,0.21535781458580602,0.31586587695745155,0.31586587695745155
ltmp,joint_compound_brt,2020,47,2,0.02271156283741858,0.06725268364249813,0.10979978559025344,0.343383864870321,0.343383864870321
ltmp,joint_compound_brt,2022,36,1,0.01585845519859899,0.03309789533198178,0.05999722302931823,0.1850044170620152,0.1850044170620152
ltmp,joint_compound_brt,2024,75,12,0.11262580066603782,0.06754436047003783,0.12784719187531807,0.24362367243486763,0.24362367243486763
ltmp,joint_core_brt,2016,22,8,0.18330675000243254,0.09897660463694406,0.17437374461640068,0.25483779013620084,0.25483779013620084
ltmp,joint_core_brt,2017,19,6,0.18617327096624434,0.142710520382845,0.22837791203108992,0.31268604734600236,0.31268604734600236
ltmp,joint_core_brt,2020,47,2,0.02271156283741858,0.08987374375071268,0.11929494244051299,0.2798560901096866,0.2798560901096866
ltmp,joint_core_brt,2022,36,1,0.01585845519859899,0.05563569678086577,0.0769488108230972,0.06816217801371763,0.06816217801371763
ltmp,joint_core_brt,2024,75,12,0.11262580066603782,0.08194352669374057,0.1270874496352541,0.25435029926772584,0.25435029926772584
ltmp,routed_benchmark,2016,22,8,0.18330675000243254,0.1338563512188481,0.1759081386375274,0.23128436927075635,0.23128436927075635
ltmp,routed_benchmark,2017,19,6,0.18617327096624434,0.17982045722384127,0.23098921575898854,0.2530014383786482,0.23991216774556073
ltmp,routed_benchmark,2020,47,2,0.02271156283741858,0.055357608648033026,0.09081577696213342,0.3278020807198324,0.3278020807198324
ltmp,routed_benchmark,2022,36,1,0.01585845519859899,0.04076141472197736,0.049491336152829586,0.12163180948997662,0.12163180948997662
ltmp,routed_benchmark,2024,75,12,0.11262580066603782,0.11326847482058838,0.12172830710231293,0.1670095439309624,0.08061212905320508
manta,joint_compound_brms,2016,20,7,0.14544376847496326,0.06257316014505437,0.15531458844708176,0.2336625222182141,0.2336625222182141
manta,joint_compound_brms,2017,23,6,0.13097818838058506,0.13208229372560693,0.12103979471360254,0.15725766378838396,0.10489653727966682
manta,joint_compound_brms,2020,63,1,0.01145997072577666,0.08335929907996675,0.08953358719835507,0.1761053113456428,0.1761053113456428
