interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,programme_rmse,event_rmse,severe_rmse,selection_score,scheme,fold
3,0.01,10,gaussian,1000,495,0.13992548721825784,1.556572779921251,1.5565727799212508,NA,NA,leave_one_event_out,2016
3,0.03,5,gaussian,500,463,0.13357742008611034,1.4371217131498235,1.4371217131498235,NA,NA,leave_one_event_out,2017
3,0.01,5,gaussian,500,427,0.14516756572667672,1.4998697154550495,1.4998697154550495,NA,NA,leave_one_event_out,2020
2,0.01,5,gaussian,1000,444,0.15072992719910716,1.5880383231624935,1.5880383231624935,NA,NA,leave_one_event_out,2022
3,0.03,5,gaussian,100,319,0.1049427544939665,0.9371687640079983,0.9371687640079982,NA,NA,leave_one_event_out,2024
3,0.03,5,gaussian,250,444,0.14277193397298482,1.504195661964521,1.504195661964521,NA,NA,reef_blocked_2024,1
3,0.01,5,gaussian,1000,448,0.1368750785206074,1.448549673791863,1.448549673791863,NA,NA,reef_blocked_2024,2
3,0.01,10,gaussian,1000,444,0.14327177554768403,1.5094618197268324,1.5094618197268324,NA,NA,reef_blocked_2024,3
3,0.03,5,gaussian,250,439,0.14457188748811703,1.5145587192457992,1.5145587192457992,NA,NA,reef_blocked_2024,4
2,0.01,10,gaussian,1000,444,0.12690119103074943,1.3369870095245975,1.3369870095245975,NA,NA,reef_blocked_2024,5
