interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,programme_rmse,event_rmse,severe_rmse,selection_score,scheme,fold
3,0.01,10,gaussian,1000,495,0.13904070708957825,1.5467302223436623,1.5467302223436623,NA,NA,leave_one_event_out,2016
3,0.01,10,gaussian,500,463,0.13491188934740775,1.4514788908053373,1.4514788908053375,NA,NA,leave_one_event_out,2017
3,0.01,5,gaussian,500,427,0.14436835911490317,1.4916123214056962,1.4916123214056962,NA,NA,leave_one_event_out,2020
2,0.03,5,gaussian,500,444,0.14888641596944605,1.5686157271572883,1.5686157271572883,NA,NA,leave_one_event_out,2022
2,0.03,5,gaussian,250,319,0.10446422705304087,0.9328953773171431,0.9328953773171431,NA,NA,leave_one_event_out,2024
3,0.01,5,gaussian,1000,444,0.14253528185486505,1.501702377188132,1.501702377188132,NA,NA,reef_blocked_2024,1
3,0.01,5,gaussian,1000,448,0.13576115823285195,1.4367610495448615,1.4367610495448615,NA,NA,reef_blocked_2024,2
3,0.01,10,gaussian,1000,444,0.14105367701626736,1.486092701610115,1.4860927016101153,NA,NA,reef_blocked_2024,3
3,0.03,5,gaussian,250,439,0.144857752641503,1.5175534893087193,1.5175534893087193,NA,NA,reef_blocked_2024,4
3,0.01,5,gaussian,1000,444,0.12480428648579854,1.3148947492862118,1.3148947492862118,NA,NA,reef_blocked_2024,5
