interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,programme_rmse,event_rmse,severe_rmse,selection_score,scheme,fold
3,0.01,10,gaussian,1000,495,0.1414357321863969,1.5733731945930363,1.5733731945930363,NA,NA,leave_one_event_out,2016
3,0.03,5,gaussian,500,463,0.13585400346183238,1.4616148303169088,1.4616148303169088,NA,NA,leave_one_event_out,2017
2,0.03,5,gaussian,500,427,0.14662781623084406,1.5149570078348247,1.5149570078348245,NA,NA,leave_one_event_out,2020
2,0.03,5,gaussian,500,444,0.14959869144673113,1.5761200149626118,1.5761200149626118,NA,NA,leave_one_event_out,2022
2,0.03,5,gaussian,100,319,0.10959595315503037,0.9787231567709938,0.9787231567709938,NA,NA,leave_one_event_out,2024
3,0.01,5,gaussian,1000,444,0.1469033684572525,1.5477230251933607,1.5477230251933607,NA,NA,reef_blocked_2024,1
3,0.01,5,gaussian,1000,448,0.14027384672575274,1.484518855530935,1.4845188555309352,NA,NA,reef_blocked_2024,2
3,0.01,10,gaussian,1000,444,0.14546116910912202,1.532528512218868,1.5325285122188683,NA,NA,reef_blocked_2024,3
3,0.03,5,gaussian,250,439,0.14455576224050595,1.5143897885166395,1.5143897885166395,NA,NA,reef_blocked_2024,4
3,0.03,10,gaussian,250,444,0.12927513809808092,1.3619980938536023,1.3619980938536023,NA,NA,reef_blocked_2024,5
