interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,programme_rmse,event_rmse,severe_rmse,selection_score,scheme,fold
3,0.01,10,gaussian,1000,495,0.14076162192106498,1.5658741912982006,1.5658741912982006,NA,NA,leave_one_event_out,2016
3,0.01,5,gaussian,1000,463,0.13692155843700138,1.4731003525990987,1.4731003525990987,NA,NA,leave_one_event_out,2017
3,0.01,5,gaussian,1000,427,0.14627836254176194,1.5113464561073457,1.5113464561073457,NA,NA,leave_one_event_out,2020
2,0.03,5,gaussian,500,444,0.14949372695373095,1.575014145408018,1.575014145408018,NA,NA,leave_one_event_out,2022
2,0.03,5,gaussian,100,319,0.10959595315503037,0.9787231567709938,0.9787231567709938,NA,NA,leave_one_event_out,2024
3,0.01,5,gaussian,1000,444,0.14723146503561776,1.551179737140513,1.551179737140513,NA,NA,reef_blocked_2024,1
3,0.01,5,gaussian,1000,448,0.14056648240449335,1.4876158204537038,1.4876158204537038,NA,NA,reef_blocked_2024,2
3,0.03,5,gaussian,250,444,0.1440580176706264,1.5177453945000612,1.5177453945000612,NA,NA,reef_blocked_2024,3
3,0.03,5,gaussian,250,439,0.1450062609998553,1.5191092871400358,1.5191092871400358,NA,NA,reef_blocked_2024,4
3,0.03,10,gaussian,250,444,0.12943478738471856,1.3636801034595065,1.3636801034595065,NA,NA,reef_blocked_2024,5
