interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,programme_rmse,event_rmse,severe_rmse,selection_score,scheme,fold
3,0.01,10,gaussian,1000,495,0.14004594194453174,1.5579127541593847,1.557912754159385,NA,NA,leave_one_event_out,2016
3,0.01,5,gaussian,1000,463,0.13653555212894777,1.468947419817802,1.468947419817802,NA,NA,leave_one_event_out,2017
3,0.01,5,gaussian,1000,427,0.14694857040728426,1.5182710365087928,1.5182710365087928,NA,NA,leave_one_event_out,2020
3,0.01,5,gaussian,1000,444,0.14984341173061935,1.578698303139958,1.578698303139958,NA,NA,leave_one_event_out,2022
2,0.03,5,gaussian,100,319,0.10927367313558223,0.975845104170344,0.975845104170344,NA,NA,leave_one_event_out,2024
3,0.03,5,gaussian,250,444,0.14819038034863033,1.5612825368567218,1.5612825368567218,NA,NA,reef_blocked_2024,1
3,0.01,5,gaussian,1000,448,0.13830520607354785,1.4636847211845903,1.4636847211845903,NA,NA,reef_blocked_2024,2
3,0.01,10,gaussian,1000,444,0.14404541995154452,1.5176126692937386,1.5176126692937386,NA,NA,reef_blocked_2024,3
3,0.03,5,gaussian,250,439,0.14499743757734573,1.5190168515239029,1.5190168515239029,NA,NA,reef_blocked_2024,4
3,0.01,10,gaussian,500,444,0.1293887610182327,1.3631951855987097,1.36319518559871,NA,NA,reef_blocked_2024,5
