interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,programme_rmse,event_rmse,severe_rmse,selection_score,scheme,fold
3,0.01,10,gaussian,1000,495,0.14019505428784573,1.5595715242617239,1.5595715242617239,NA,NA,leave_one_event_out,2016
3,0.01,10,gaussian,500,463,0.13653514292843527,1.46894301734513,1.4689430173451299,NA,NA,leave_one_event_out,2017
3,0.03,10,gaussian,250,427,0.1470929380758859,1.5197626416958228,1.5197626416958228,NA,NA,leave_one_event_out,2020
2,0.03,5,gaussian,250,444,0.14969398441522444,1.5771239886837387,1.5771239886837387,NA,NA,leave_one_event_out,2022
2,0.03,5,gaussian,100,319,0.10927367313558223,0.975845104170344,0.975845104170344,NA,NA,leave_one_event_out,2024
3,0.01,5,gaussian,1000,444,0.14757023675469538,1.5547489186739736,1.5547489186739736,NA,NA,reef_blocked_2024,1
3,0.01,5,gaussian,1000,448,0.13778724823407487,1.458203170653143,1.458203170653143,NA,NA,reef_blocked_2024,2
3,0.03,10,gaussian,250,444,0.14475105052704376,1.525046948714625,1.5250469487146252,NA,NA,reef_blocked_2024,3
3,0.03,5,gaussian,250,439,0.1438301891192855,1.5067885659256628,1.5067885659256628,NA,NA,reef_blocked_2024,4
3,0.01,10,gaussian,500,444,0.1291329005813874,1.3604995286270538,1.3604995286270538,NA,NA,reef_blocked_2024,5
