interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,programme_rmse,event_rmse,severe_rmse,selection_score,scheme,fold
3,0.01,10,gaussian,1000,495,0.1392179461015669,1.548701881882509,1.548701881882509,NA,NA,leave_one_event_out,2016
3,0.03,5,gaussian,250,463,0.13497989620451303,1.452210557361901,1.452210557361901,NA,NA,leave_one_event_out,2017
3,0.01,5,gaussian,500,427,0.14494540541206208,1.4975743574926943,1.4975743574926943,NA,NA,leave_one_event_out,2020
3,0.03,5,gaussian,250,444,0.14896154478216445,1.5694072583149523,1.5694072583149523,NA,NA,leave_one_event_out,2022
3,0.03,5,gaussian,100,319,0.10567303915434205,0.9436904145577509,0.943690414557751,NA,NA,leave_one_event_out,2024
3,0.01,5,gaussian,1000,444,0.1418993683118177,1.4950026122818354,1.4950026122818354,NA,NA,reef_blocked_2024,1
3,0.01,5,gaussian,1000,448,0.13612371230015594,1.4405979611404671,1.4405979611404671,NA,NA,reef_blocked_2024,2
3,0.03,5,gaussian,500,444,0.14194637038691446,1.4954978098707203,1.4954978098707203,NA,NA,reef_blocked_2024,3
3,0.03,5,gaussian,250,439,0.1453858739766825,1.523086174721584,1.523086174721584,NA,NA,reef_blocked_2024,4
2,0.01,10,gaussian,1000,444,0.1246763300883407,1.3135466449871336,1.3135466449871336,NA,NA,reef_blocked_2024,5
