learner,region_block,n,observed_mean,predicted_mean,severe_mae,severe_bias
formal_spatial_benchmark,Central GBR,9,0.3324711957009269,0.15934241526812942,0.17356582874097778,0.17312878043279747
formal_spatial_benchmark,Northern GBR,10,0.3993167404702524,0.20837830430084556,0.19093843616940684,0.19093843616940684
formal_spatial_benchmark,Southern GBR,20,0.35642698982645243,0.21112438210555026,0.15528638669615794,0.14530260772090217
joint_compound_brms,Central GBR,9,0.3324711957009269,0.18898022826582395,0.18002971449919755,0.14349096743510298
joint_compound_brms,Northern GBR,10,0.3993167404702524,0.12156430340001023,0.27775243707024216,0.27775243707024216
joint_compound_brms,Southern GBR,20,0.35642698982645243,0.23986655191115924,0.170943544811539,0.11656043791529319
joint_compound_brt,Central GBR,9,0.3324711957009269,0.18961488650005695,0.15995411251613487,0.14285630920086997
joint_compound_brt,Northern GBR,10,0.3993167404702524,0.21018776943119613,0.18912897103905627,0.18912897103905627
joint_compound_brt,Southern GBR,20,0.35642698982645243,0.23299130408608582,0.15450633649238324,0.12343568574036662
joint_core_brt,Central GBR,9,0.3324711957009269,0.1551443846831261,0.17940210159920356,0.17732681101780082
joint_core_brt,Northern GBR,10,0.3993167404702524,0.17277731264375656,0.22653942782649583,0.22653942782649583
joint_core_brt,Southern GBR,20,0.35642698982645243,0.22177784959925645,0.15460997976861895,0.134649140227196
