programme_key,learner,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_bias,severe_rmse,false_extreme_rate
ltmp,Aggressive tail ensemble,199,12,0.0887202187883077,0.14160476992665996,0.14224098573367555,0.10118946136247989,0.27329357156475265,0.05288455113835227,0.61388975696167,0.4361259191024685,-0.17776383785920152,0.2590661810412029,0.07865168539325842
ltmp,Conservative tail ensemble,199,12,0.0887202187883077,0.08743668368787175,0.1324048208477617,0.07643075699120479,0.37032407128528644,-0.0012835351004359546,0.61388975696167,0.35614304997184715,-0.2577467069898229,0.3191956866997157,0.028089887640449437
ltmp,Soft-gated tail ensemble,199,12,0.0887202187883077,0.09761627792183612,0.13195868957684534,0.07784206872136865,0.37456024412137523,0.008896059133528422,0.61388975696167,0.4019125368227585,-0.21197722013891152,0.29337892713036584,0.033707865168539325
ltmp,Standard two-part BRT,199,12,0.0887202187883077,0.07725708945390737,0.13608436869748441,0.0767177710222473,0.33484021968597066,-0.011463129334400333,0.61388975696167,0.3103735631209357,-0.3035161938407343,0.3541039926890221,0.02247191011235955
manta,Aggressive tail ensemble,248,7,0.10298413264736025,0.14541912638498478,0.13454996145668982,0.10490786160814672,0.2377717573704946,0.04243499373762453,0.570184371369407,0.3639257272995137,-0.2062586440698933,0.24090537425766814,0.09389671361502347
manta,Conservative tail ensemble,248,7,0.10298413264736025,0.09788135941741602,0.12431963685909146,0.08385330478441227,0.3492752175430818,-0.0051027732299442395,0.570184371369407,0.32695643558688336,-0.24322793578252366,0.28753710723491505,0.028169014084507043
manta,Soft-gated tail ensemble,248,7,0.10298413264736025,0.1077122569166255,0.12574425567322225,0.0863940035702211,0.33427603661462335,0.004728124269265254,0.570184371369407,0.3449490161858832,-0.22523535518352383,0.26820172246860163,0.056338028169014086
manta,Standard two-part BRT,248,7,0.10298413264736025,0.08805046191820652,0.1258322446898829,0.08317317956658654,0.33334403553216774,-0.014933670729153734,0.570184371369407,0.30896385498788353,-0.2612205163815235,0.3076581925233477,0.014084507042253521
mmp,Aggressive tail ensemble,90,13,0.18723893040686382,0.26890696342320647,0.2462592480188515,0.18480485790205106,-0.12799578732796446,0.08166803301634262,0.6438488594127777,0.39183560933506917,-0.25201325007770853,0.35945547949309353,0.3235294117647059
mmp,Conservative tail ensemble,90,13,0.18723893040686382,0.20919564285204878,0.24277373008742145,0.1668150995399816,-0.09629078072207542,0.021956712445184955,0.6438488594127777,0.294640990448189,-0.3492078689645887,0.43571126241178926,0.23529411764705882
mmp,Soft-gated tail ensemble,90,13,0.18723893040686382,0.232160099834509,0.24305251747180479,0.17036268813043698,-0.09881006091187294,0.04492116942764519,0.6438488594127777,0.3503661077938577,-0.29348275161892,0.4032637905815061,0.29411764705882354
mmp,Standard two-part BRT,90,13,0.18723893040686382,0.18623118586958853,0.24917759243372356,0.1703134458117755,-0.15488928086856713,-0.0010077445372752812,0.6438488594127777,0.23891587310252022,-0.4049329863102575,0.4760236885323135,0.17647058823529413
