programme_key,learner,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_bias,severe_rmse,false_extreme_rate
ltmp,Aggressive tail ensemble,75,4,0.11262580066603782,0.18825427426496238,0.15053266474384333,0.11027193989691865,0.06922691763394861,0.07562847359892456,0.6202929079050374,0.5378065152147198,-0.08248639269031766,0.15123124211219216,0.14705882352941177
ltmp,Conservative tail ensemble,75,4,0.11262580066603782,0.1273439900555631,0.13411144758322088,0.08827614115414084,0.2612218940549861,0.01471818938952526,0.6202929079050374,0.4635122325163894,-0.15678067538864804,0.18958481647953032,0.07352941176470588
ltmp,Soft-gated tail ensemble,75,4,0.11262580066603782,0.14113992185880725,0.13691611831398304,0.09088319314166479,0.22999867594116052,0.028514121192769415,0.6202929079050374,0.5290676441229945,-0.09122526378204299,0.15430890075879136,0.08823529411764706
ltmp,Standard two-part BRT,75,4,0.11262580066603782,0.11354805825231894,0.136114351239166,0.08857781457782127,0.23899037264729095,9.222575862811105e-4,0.6202929079050374,0.3979568209097844,-0.22233608699525303,0.24553946898902476,0.058823529411764705
manta,Aggressive tail ensemble,89,6,0.1910089706758529,0.22037752002239475,0.1698994127603835,0.14221225825571898,0.09646457343170922,0.02936854934654184,0.58046576733465,0.3720527543249624,-0.20841301300968768,0.2479483705556406,0.21875
manta,Conservative tail ensemble,89,6,0.1910089706758529,0.16487325026732738,0.16856571414772564,0.1312110995678249,0.11059427723330639,-0.02613572040852553,0.58046576733465,0.33310194538393695,-0.2473638219507131,0.2975004325542268,0.0625
manta,Soft-gated tail ensemble,89,6,0.1910089706758529,0.17968736571008606,0.1685941666136904,0.13364045635317595,0.11029400357581809,-0.011321604965766851,0.58046576733465,0.3517546878737096,-0.22871107946094044,0.2774147167731188,0.109375
manta,Standard two-part BRT,89,6,0.1910089706758529,0.15005913482456867,0.1722609220294965,0.1329891728132755,0.07117271474581222,-0.040949835851284214,0.58046576733465,0.3144492028941643,-0.26601656444048577,0.31847151229053344,0.046875
mmp,Aggressive tail ensemble,54,13,0.2377982153127752,0.28149543567420154,0.2734937433923421,0.20341424011409762,-0.010524971372039449,0.04369722036142635,0.6438488594127777,0.39183560933506917,-0.25201325007770853,0.35945547949309353,0.3611111111111111
mmp,Conservative tail ensemble,54,13,0.2377982153127752,0.21895818225872593,0.2825996381597966,0.1944048740017874,-0.0789354473465087,-0.018840033054049275,0.6438488594127777,0.294640990448189,-0.3492078689645887,0.43571126241178926,0.25
mmp,Soft-gated tail ensemble,54,13,0.2377982153127752,0.2457016233776685,0.277741127553061,0.19360067090200478,-0.04215579386746082,0.007903408064893275,0.6438488594127777,0.3503661077938577,-0.29348275161892,0.4032637905815061,0.3611111111111111
mmp,Standard two-part BRT,54,13,0.2377982153127752,0.19221474113978337,0.2946659482032225,0.20317236333984637,-0.1730382172253344,-0.04558347417299183,0.6438488594127777,0.23891587310252022,-0.4049329863102575,0.4760236885323135,0.19444444444444445
