programme_key,learner,event_year,n,severe_n,observed_mean,predicted_mean,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_bias,severe_rmse,false_extreme_rate
ltmp,Aggressive tail ensemble,2016,22,4,0.18330675000243254,0.19963231496350964,0.1390798822810622,0.11162401829522293,0.6438188082320024,0.0163255649610771,0.5926050488485936,0.4782480742327209,-0.11435697461587263,0.14930907392777373,0.125
ltmp,Aggressive tail ensemble,2017,19,3,0.18617327096624434,0.21997021773238182,0.23792025676032388,0.19589648130667273,0.10042562850100212,0.03379694676613748,0.6497353207100929,0.34393564219280187,-0.305799678517291,0.3834953489666948,0.15384615384615385
ltmp,Aggressive tail ensemble,2020,47,1,0.02271156283741858,0.07301287730753624,0.12054158293398466,0.08258753688242876,-0.5015021535435,0.05030131447011766,0.5658792943952381,0.13748574486145343,-0.42839354953378467,0.42839354953378467,0
ltmp,Aggressive tail ensemble,2022,36,0,0.01585845519859899,0.057148009610180114,0.06297539319229108,0.05019254272413228,-1.6776118489437088,0.04128955441158113,,,,,0
ltmp,Aggressive tail ensemble,2024,75,4,0.11262580066603782,0.18825427426496238,0.15053266474384333,0.11027193989691865,0.06922691763394861,0.07562847359892456,0.6202929079050374,0.5378065152147198,-0.08248639269031766,0.15123124211219216,0.14705882352941177
ltmp,Conservative tail ensemble,2016,22,4,0.18330675000243254,0.13209020958284692,0.14997776783143685,0.09937226119000862,0.5858133229821394,-0.051216540419585614,0.5926050488485936,0.40498654148268004,-0.1876185073659135,0.2377352284925569,0
ltmp,Conservative tail ensemble,2017,19,3,0.18617327096624434,0.14649925323630758,0.2373495613980394,0.1763220626363403,0.10473604079871202,-0.039674017729936756,0.6497353207100929,0.24662865607752552,-0.4031066646325674,0.4459852706402528,0
ltmp,Conservative tail ensemble,2020,47,1,0.02271156283741858,0.02999025602442528,0.1045273551767846,0.04638208924730888,-0.12904721114073747,0.0072786931870067,0.5658792943952381,0.05983553543331149,-0.5060437589619267,0.5060437589619267,0
ltmp,Conservative tail ensemble,2022,36,0,0.01585845519859899,0.020835787340521692,0.0411636324598745,0.024242858994306032,-0.14401897909491645,0.004977332141922703,,,,,0
ltmp,Conservative tail ensemble,2024,75,4,0.11262580066603782,0.1273439900555631,0.13411144758322088,0.08827614115414084,0.2612218940549861,0.01471818938952526,0.6202929079050374,0.4635122325163894,-0.15678067538864804,0.18958481647953032,0.07352941176470588
ltmp,Soft-gated tail ensemble,2016,22,4,0.18330675000243254,0.14762925995291015,0.14275997489663036,0.09757818848705872,0.6247201211795691,-0.035677490049522385,0.5926050488485936,0.43352116197687013,-0.15908388687172342,0.20709784748496818,0
ltmp,Soft-gated tail ensemble,2017,19,3,0.18617327096624434,0.16676967880989207,0.23089108067775083,0.17133148008505533,0.1527949277685211,-0.01940359215635227,0.6497353207100929,0.3010751231127917,-0.34866019759730116,0.4161448815174102,0
ltmp,Soft-gated tail ensemble,2020,47,1,0.02271156283741858,0.03397785397820684,0.10644804064122908,0.049741657756007855,-0.17092080524441733,0.011266291140788257,0.5658792943952381,0.0693698481352691,-0.496509446259969,0.496509446259969,0
ltmp,Soft-gated tail ensemble,2022,36,0,0.01585845519859899,0.0229644003807542,0.04262772418549234,0.025957111307327443,-0.2268462503881643,0.007105945182155212,,,,,0
