programme_key,learner,n,severe_n,rmse,mae,predictive_r2,bias,severe_observed,severe_predicted,severe_rmse,false_extreme_rate
ltmp,Conservative tail ensemble,199,12,0.1324048208477617,0.07643075699120479,0.37032407128528644,-0.0012835351004359555,0.61388975696167,0.35614304997184715,0.3191956866997157,0.028089887640449437
ltmp,Equal INLA + Conservative tail ensemble,199,12,0.1223368250443697,0.07604793661189614,0.46244376210522786,0.003478223389597071,0.61388975696167,0.3775039231236264,0.3060027630033029,0.016853932584269662
ltmp,Equal INLA + Soft-gated tail ensemble,199,12,0.12198537511808186,0.07625843574293663,0.46552791487772127,0.00856802050657926,0.61388975696167,0.40038866654908206,0.29376488081683094,0.016853932584269662
ltmp,Equal INLA + Standard two-part BRT,199,12,0.12357046685583145,0.07604143161700004,0.45154768964192793,-0.0016115737273851183,0.61388975696167,0.3546191796981707,0.32078005183731523,0.016853932584269662
ltmp,INLA beta + Bernoulli,199,12,0.12542562346423383,0.0790028538349741,0.43495630617497794,0.008239981879630097,0.61388975696167,0.3988647962754056,0.30619472033640327,0.02247191011235955
ltmp,Soft-gated tail ensemble,199,12,0.13195868957684534,0.07784206872136865,0.37456024412137534,0.008896059133528422,0.61388975696167,0.4019125368227585,0.29337892713036584,0.033707865168539325
ltmp,Standard two-part BRT,199,12,0.13608436869748441,0.0767177710222473,0.33484021968597066,-0.011463129334400333,0.61388975696167,0.3103735631209357,0.3541039926890221,0.02247191011235955
manta,Conservative tail ensemble,248,7,0.12431963685909146,0.08385330478441227,0.3492752175430818,-0.005102773229944241,0.570184371369407,0.32695643558688336,0.28753710723491505,0.028169014084507043
manta,Equal INLA + Conservative tail ensemble,248,7,0.11580393159714074,0.08169437855717541,0.43536929793371415,-0.0022170622745392218,0.570184371369407,0.30030718401557144,0.3090429820093698,0.014084507042253521
manta,Equal INLA + Soft-gated tail ensemble,248,7,0.11590830258512522,0.08275260423071785,0.43435106617069297,0.002698386475065524,0.570184371369407,0.3093034743150714,0.2992087970740058,0.023474178403755867
manta,Equal INLA + Standard two-part BRT,248,7,0.11649044335817503,0.08102474566800154,0.42865493896189233,-0.007132511024143969,0.570184371369407,0.29131089371607155,0.31905620670027207,0.009389671361502348
manta,INLA beta + Bernoulli,248,7,0.11814860047571542,0.08427108045305737,0.412273809568803,6.686486808657963e-4,0.570184371369407,0.27365793244425957,0.34014007472110575,0.014084507042253521
manta,Soft-gated tail ensemble,248,7,0.12574425567322225,0.0863940035702211,0.33427603661462335,0.004728124269265252,0.570184371369407,0.3449490161858832,0.26820172246860163,0.056338028169014086
manta,Standard two-part BRT,248,7,0.1258322446898829,0.08317317956658654,0.33334403553216774,-0.014933670729153735,0.570184371369407,0.30896385498788353,0.30765819252334775,0.014084507042253521
mmp,Conservative tail ensemble,90,13,0.24277373008742145,0.1668150995399816,-0.09629078072207564,0.021956712445184955,0.6438488594127777,0.294640990448189,0.43571126241178926,0.23529411764705882
mmp,Equal INLA + Conservative tail ensemble,90,13,0.21765580833047554,0.15440169318225755,0.11882350887904491,0.01651638283017226,0.6438488594127777,0.3247884838872761,0.4144943128711866,0.16176470588235295
mmp,Equal INLA + Soft-gated tail ensemble,90,13,0.21669811919986437,0.15411502680505543,0.12656083123494322,0.027998611321402377,0.6438488594127777,0.3526510425601105,0.3996274501045045,0.22058823529411764
mmp,Equal INLA + Standard two-part BRT,90,13,0.22048012298177566,0.15652151822893645,0.0958067414390743,0.0050341543389421425,0.6438488594127777,0.2969259252144417,0.4316154295682292,0.1323529411764706
mmp,INLA beta + Bernoulli,90,13,0.20904545116203602,0.15128734576031938,0.18716232822486634,0.011076053215159568,0.6438488594127777,0.35493597732636323,0.4024706732118397,0.10294117647058823
mmp,Soft-gated tail ensemble,90,13,0.24305251747180479,0.17036268813043698,-0.09881006091187294,0.04492116942764519,0.6438488594127777,0.3503661077938577,0.4032637905815061,0.29411764705882354
mmp,Standard two-part BRT,90,13,0.24917759243372356,0.1703134458117755,-0.15488928086856713,-0.0010077445372752814,0.6438488594127777,0.23891587310252022,0.4760236885323135,0.17647058823529413
