component,predictor,relative_influence
base_occurrence,dhw_novelty10_z,17.95651863302794
base_occurrence,log_coastal_rain30_z,11.31601886098313
base_occurrence,observed_pre_cover_z,11.143246505724528
base_occurrence,dhw_x_acropora_proportion,6.792879812538308
base_occurrence,cloudp_90_z,6.739112545110743
base_occurrence,secc3m_p10_z,6.704295235606098
base_occurrence,log1p_cot_idwmeanpertow_z,5.480626488945375
base_occurrence,dhw_x_cloud,4.852154733652309
base_occurrence,dhw_x_novelty,4.8177927676933985
base_occurrence,ann_maxdhw_z,4.081904409802445
base_occurrence,dhw10_load4_z,3.6231357293090793
base_occurrence,prop_acropora_pre_z,3.5043389032113086
base_occurrence,wqc_prior10_percentile_z,3.470398679374397
base_occurrence,histmDHW6_z,2.411065691498165
base_occurrence,dhw_x_freshwater,2.38742774618192
base_occurrence,dhw_years_since_last_n6_capped8_z,1.6316821522695029
base_occurrence,dhw_excess4_z,1.0255226666794097
base_occurrence,dhw_excess8_z,0.8252776615198039
base_occurrence,log1p_cyc_maxHrs4mw_z,0.6881332546007005
base_occurrence,programme_factor,0.3514756520699239
base_occurrence,region_factor,0.15259674773522156
base_occurrence,dhw_events_since2016_n6_z,0.04439512246628581
base_magnitude,cloudp_90_z,10.244654966279493
base_magnitude,log_coastal_rain30_z,9.247860815329123
base_magnitude,observed_pre_cover_z,8.79060527493493
base_magnitude,dhw_x_acropora_proportion,7.969197255978535
base_magnitude,dhw_novelty10_z,7.013786746202397
base_magnitude,ann_maxdhw_z,5.930913638320366
base_magnitude,secc3m_p10_z,5.917815834353105
base_magnitude,histmDHW6_z,5.673140964372055
base_magnitude,dhw_x_novelty,5.627897003488334
base_magnitude,prop_acropora_pre_z,5.214436063336076
base_magnitude,log1p_cot_idwmeanpertow_z,4.891482925868969
base_magnitude,programme_factor,3.6503070911987194
base_magnitude,dhw_x_cloud,3.542640852730386
base_magnitude,dhw_x_freshwater,3.0094068587080782
base_magnitude,dhw10_load4_z,2.9844750215818716
base_magnitude,dhw_excess8_z,2.8914926172263544
base_magnitude,dhw_years_since_last_n6_capped8_z,2.2860188060170157
base_magnitude,dhw_excess4_z,2.0036582978569526
base_magnitude,wqc_prior10_percentile_z,1.8163826227680524
base_magnitude,region_factor,0.8449055663268089
base_magnitude,log1p_cyc_maxHrs4mw_z,0.4020452669584844
base_magnitude,dhw_events_since2016_n6_z,0.04687551016389993
tail_gate,dhw_novelty10_z,13.280841838662676
tail_gate,ann_maxdhw_z,9.377732303874781
tail_gate,freshwater_joint_z,8.743370639376538
tail_gate,dhw_x_acropora_proportion,8.356646692798792
tail_gate,observed_pre_cover_z,8.147706626935799
tail_gate,dhw_x_cloud,6.848256926407451
tail_gate,secc3m_p10_z,5.692870767366918
tail_gate,log_coastal_rain30_z,4.852038925744116
tail_gate,cloudp_90_z,4.495817643772137
tail_gate,dhw_x_novelty,4.293353785348534
tail_gate,programme_factor,4.166522135156683
tail_gate,dhw_x_freshwater,3.6734182757293015
tail_gate,prop_acropora_pre_z,3.529006852439541
tail_gate,log1p_cot_idwmeanpertow_z,3.3034622780428604
tail_gate,dhw_excess4_z,3.1102394356279066
tail_gate,histmDHW6_z,2.8157048979849955
tail_gate,dhw10_load4_z,1.6735417217651165
tail_gate,log1p_cyc_maxHrs4mw_z,1.4533093201354097
tail_gate,wqc_prior10_percentile_z,1.2636927348362201
tail_gate,dhw_years_since_last_n6_capped8_z,0.43262052576728366
tail_gate,region_factor,0.33284424636328325
tail_gate,dhw_excess8_z,0.1409137891630864
tail_gate,dhw_events_since2016_n6_z,0.016087636700570524
tail_magnitude,dhw_x_acropora_proportion,12.570989310428605
tail_magnitude,observed_pre_cover_z,8.708217641230771
tail_magnitude,dhw_novelty10_z,8.66877979178091
tail_magnitude,log1p_cot_idwmeanpertow_z,8.141579812460876
tail_magnitude,secc3m_p10_z,7.431799029255065
tail_magnitude,dhw_x_cloud,6.597901436873489
tail_magnitude,wqc_prior10_percentile_z,5.376365375639303
tail_magnitude,dhw_x_freshwater,4.776059273333042
tail_magnitude,dhw_x_novelty,4.667776905863803
tail_magnitude,freshwater_joint_z,4.584378527126085
tail_magnitude,log_coastal_rain30_z,4.246348629934156
tail_magnitude,prop_acropora_pre_z,4.237631900811229
tail_magnitude,cloudp_90_z,3.778593340219924
tail_magnitude,programme_factor,3.760076944441544
tail_magnitude,dhw10_load4_z,3.132457272819911
tail_magnitude,histmDHW6_z,2.8558376358595368
tail_magnitude,region_factor,2.6595035682732258
tail_magnitude,dhw_years_since_last_n6_capped8_z,1.4951212338118498
tail_magnitude,ann_maxdhw_z,1.0022740722292118
tail_magnitude,dhw_excess8_z,0.5287316565931766
tail_magnitude,dhw_events_since2016_n6_z,0.4281528421483437
tail_magnitude,log1p_cyc_maxHrs4mw_z,0.35142379886594993
tail_magnitude,dhw_excess4_z,0
