fold,stage,candidate,elapsed_seconds
1,composition,proportion_only,0.8700000000000001
1,composition,absolute_cover_only,0.8599999999999994
1,composition,legacy_dual,0.8300000000000001
1,tail,tail_gate_and_magnitude,0.6399999999999997
2,composition,proportion_only,0.8100000000000005
2,composition,absolute_cover_only,0.7999999999999989
2,composition,legacy_dual,0.8200000000000003
2,tail,tail_gate_and_magnitude,0.6600000000000001
3,composition,proportion_only,0.8100000000000005
3,composition,absolute_cover_only,0.7599999999999998
3,composition,legacy_dual,0.8100000000000005
3,tail,tail_gate_and_magnitude,0.6500000000000004
4,composition,proportion_only,0.7800000000000011
4,composition,absolute_cover_only,0.870000000000001
4,composition,legacy_dual,0.8599999999999994
4,tail,tail_gate_and_magnitude,0.6600000000000001
5,composition,proportion_only,0.7899999999999991
5,composition,absolute_cover_only,0.8000000000000007
5,composition,legacy_dual,0.8999999999999986
5,tail,tail_gate_and_magnitude,0.740000000000002
