programme_key,source_observation_id,ReefID,ReefName,event_year,ann_maxdhw,observed_mortality,Standard two-part BRT,Conservative tail ensemble,standard_absolute_error,conservative_absolute_error,error_reduction
ltmp,4187208,23-082a,Lady Musgrave Reef (23-082a),2024,11.12,0.5425304381746469,0.21703596988838017,0.3473778027851764,0.3254944682862667,0.19515263538947047,0.13034183289679624
mmp,4162774,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,7.82,0.5242365308289569,0.3067944293230998,0.4210893344207437,0.21744210150585713,0.10314719640821324,0.1142949050976439
mmp,4155474,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,12.47,0.5048925612238839,0.20904951566408497,0.322219273262373,0.29584304555979896,0.18267328796151094,0.11316975759828801
manta,4284760,23-082a,Lady Musgrave Reef (23-082a),2024,11.12,0.3784926956594735,0.22134178901306667,0.3313838356829392,0.15715090664640685,0.0471088599765343,0.11004204666987255
mmp,4143649,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,12.41,0.649764667289415,0.17690225188687184,0.2793550436793805,0.47286241540254315,0.37040962361003443,0.10245279179250871
mmp,4162816,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,7.82,0.2690843862833956,0.16260749208737993,0.2590919795874027,0.10647689419601566,0.009992406695992884,0.09648448750002278
mmp,4155454,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,12.47,0.5371587878089377,0.28056381100512434,0.3751737039184073,0.2565949768038133,0.16198508389053035,0.09460989291328298
mmp,4143650,23-004b,North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),2024,12.41,0.6322997657703442,0.28252758121332466,0.3695788859084069,0.3497721845570195,0.2627208798619373,0.08705130469508221
ltmp,4179548,16-057,Hastings Reef (16-057),2017,10.25,0.6376638525378587,0.25387911138325286,0.3362827428075014,0.38378474115460587,0.3013811097303573,0.08240363142424856
ltmp,4178616,16-068,Thetford Reef (16-068),2017,10.88,0.5781184508275599,0.2620121009982873,0.3405993528073187,0.31610634982927255,0.23751909802024118,0.07858725180903137
mmp,4160187,16-006,Snapper Reef (16-006),2017,11.65,0.3952502752197531,0.1789044256785371,0.2553101859085563,0.216345849541216,0.13994008931119678,0.07640576023001922
manta,1273202,13-118a,Creech Reef (North) (13-118a),2016,9.82,0.38243677390482966,0.15576914128360034,0.2235649285474489,0.22666763262122933,0.15887184535738078,0.06779578726384855
ltmp,4175205,14-126,Linnet Reef (14-126),2016,7.76,0.25182298239511186,0.1609858727388971,0.2258837623060279,0.09083710965621475,0.025939220089083947,0.0648978895671308
ltmp,3752921,16-025,Opal Reef (16-025),2016,5.82,0.5820464815884053,0.18545506442697532,0.25002445917703514,0.39659141716143,0.3320220224113702,0.0645693947500598
manta,4068550,16-068,Thetford Reef (16-068),2024,7.34,0.22109938427513848,0.04407697305200996,0.10617105244379306,0.1770224112231285,0.11492833183134542,0.06209407939178309
mmp,4155453,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,12.47,0.6554932597858075,0.20401293224562636,0.2610462343223342,0.4514803275401812,0.3944470254634733,0.05703330207670787
manta,4285399,14-126,Linnet Reef (14-126),2024,6.73,0.7147170912272767,0.23565876481500428,0.29102835335995597,0.4790583264122724,0.4236887378673207,0.05536958854495172
manta,4206253,16-057,Hastings Reef (16-057),2017,10.25,0.4399686233158055,0.2690270681140131,0.3226169768252484,0.17094155520179238,0.11735164649055707,0.05358990871123531
ltmp,4175974,14-138,Yonge Reef (14-138),2016,11.49,0.5962824992034219,0.5023007193357424,0.5549347005075657,0.09398177986767953,0.04134779869585625,0.052633981171823274
manta,4067240,19-209,Rebe Reef (19-209),2024,11.14,0.2429906656982307,0.18467362068185825,0.24907825212382445,0.05831704501637244,0.006087586425593761,0.05222945859077868
mmp,4155473,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,12.47,0.5474064906348262,0.13146792578437613,0.18029953382724087,0.41593856485045,0.3671069568075853,0.04883160804286468
ltmp,4188168,23-048,Broomfield Reef (23-048),2024,11.6,0.6883989417687074,0.45411172753796786,0.5011400297166897,0.23428721423073956,0.18725891205201772,0.04702830217872184
ltmp,3798883,16-064,Arlington Reef (16-064),2017,10.9,0.4694850180503441,0.31159907733114106,0.3574412405868685,0.15788594071920303,0.1120437774634756,0.04584216325572743
manta,4285298,12-056,Mantis Reef (12-056),2024,8.73,0.2638245588761013,0.05533899776395642,0.09920291469899072,0.20848556111214486,0.16462164417711056,0.0438639169350343
ltmp,4177626,16-019,St Crispin Reef (16-019),2016,5.82,0.3254497884276005,0.17088669624576644,0.21439592141122435,0.15456309218183403,0.11105386701637612,0.04350922516545791
manta,4206426,15-099c,Agincourt Reefs (No 1) (15-099c),2024,6.97,0.23551593127835632,0.16566356676206567,0.20580354898639483,0.06985236451629065,0.029712382291961492,0.04013998222432916
manta,4066635,21-187,U/N Reef (21-187),2024,7.25,0.44183377601544943,0.2829589656513062,0.31989875712088967,0.15887481036414325,0.12193501889455977,0.03693979146958348
mmp,4149294,23-017,Pelican Island Reef (23-017),2024,13.26,0.40807202558722055,0.2470670374012372,0.28342644836215436,0.16100498818598336,0.1246455772250662,0.03635941096091716
ltmp,4172974,14-123,Martin Reef (14-123),2024,6.4,0.3676370188512778,0.20116539498821495,0.23687434574442276,0.16647162386306286,0.13076267310685505,0.03570895075620781
mmp,4138916,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,12.23,0.5143849272933385,0.4686269470990866,0.5037841450410242,0.045757980194251924,0.010600782252314311,0.03515719794193761
ltmp,4184758,14-087,Snake Reef (14-087),2024,6.91,0.1393369130067698,0.03966633906502335,0.07411595022817864,0.09967057394174647,0.06522096277859117,0.0344496111631553
mmp,4160201,16-006,Snapper Reef (16-006),2024,6.93,1,0.1512949099639593,0.18430369623396348,0.8487050900360407,0.8156963037660365,0.03300878627000414
mmp,4140773,22-009,Barren Island Reef (22-009),2024,11.06,0.1182622800359385,0.5690576642549523,0.5362606342090032,0.4507953842190138,0.41799835417306463,0.03279703004594914
mmp,4160243,16-006,Snapper Reef (16-006),2024,6.93,1,0.12197115726445136,0.15455779173014397,0.8780288427355486,0.845442208269856,0.03258663446569254
manta,1273145,13-121,U/N Reef (13-121),2016,9.98,0.39358480326995926,0.2498962965570678,0.28126856979020104,0.14368850671289146,0.11231623347975822,0.03137227323313324
ltmp,4182299,23-051,Wreck Island Reef (23-051),2024,11.64,0.5446213063879788,0.4938917172963492,0.5648795169577713,0.05072958909162961,0.02025821056979249,0.030471378521837122
manta,4206312,15-030,Swinger Reef (15-030),2024,3.87,0.34618830788839955,0.1125126303387307,0.14240984115208424,0.23367567754966884,0.2037784667363153,0.02989721081335353
manta,4206246,16-057,Hastings Reef (16-057),2024,7.62,0.4288792674978628,0.0940508732213317,0.12343217149034828,0.3348283942765311,0.3054470960075145,0.029381298269016587
manta,4285232,13-124,U/N Reef (13-124),2016,7.04,0.12249764773467146,0.05589684755075113,0.08472780347428463,0.06660080018392034,0.037769844260386834,0.028830955923533505
