variable,mean,sd,q025,q50,q975,probability_positive
b_latenteta_Intercept,-1.5467762761143868,0.09775068048743094,-1.7407504266100666,-1.545868031328744,-1.359842136815425,0
b_latenteta_ann_maxdhw_z,0.32959663574617637,0.2874914504618398,-0.2299486478533019,0.3252680827732721,0.911693714960327,0.8783333333333333
b_latenteta_dhw_excess4_z,0.06254623157514214,0.2884979560504839,-0.49371513311749016,0.06536237848793253,0.6200828274533166,0.590625
b_latenteta_dhw_excess8_z,-0.03172815239694897,0.12404218402792189,-0.27641178200722194,-0.033221006626453616,0.2138183544736049,0.394375
b_latenteta_prop_acropora_pre_z,0.0397848911357111,0.09473963549044596,-0.14784271099405022,0.038068279146163245,0.22245168259223114,0.6614583333333334
b_latenteta_observed_pre_cover_z,0.08500803946306297,0.08804643239875967,-0.0895950885301167,0.08478715030233452,0.2568638888149509,0.8408333333333333
b_latenteta_histmDHW6_z,-0.10896092121515202,0.1275271192807078,-0.35939410335943894,-0.10707426545523309,0.1371867391931509,0.200625
b_latenteta_yrsince6_z,0.09466695115588168,0.14443280795109054,-0.19588110963292824,0.09247738055979773,0.3805663831241875,0.7460416666666667
b_latenteta_dhw10_load4_z,-0.2547490233119974,0.15647670457036453,-0.5702541833125664,-0.25419414466055795,0.05056589563028525,0.05291666666666667
b_latenteta_dhw_novelty10_z,-0.07011694795637165,0.19957977418786135,-0.4620151646751276,-0.07552182187919734,0.30973865032102704,0.36895833333333333
b_latenteta_secc3m_p10_z,-0.047917464734869644,0.08359143071489777,-0.21454587114437354,-0.046907463800253596,0.11596724503499779,0.284375
b_latenteta_cloudp_90_z,-0.028024268594283627,0.1388082264049588,-0.2984854399397714,-0.028236512771662947,0.23872931241053436,0.42104166666666665
b_latenteta_log_coastal_rain30_z,0.42359497731980733,0.11356868696916181,0.19817188047677597,0.4217054858154833,0.6457654522686601,0.9997916666666666
b_latenteta_era5_wind_mean_z,0.10450477943147042,0.20795753106674905,-0.30369096976365295,0.10633929608862588,0.5085175170098697,0.6927083333333334
b_latenteta_era5_wind_calm_fraction_z,0.1545466914174914,0.17726912273045406,-0.19593246977899714,0.15410637884857303,0.49247048769362994,0.8035416666666667
b_latenteta_era5_coastal_distance_km_z,0.013074822340719508,0.10744553925898447,-0.20213459250292107,0.013034761137654477,0.22591789324509692,0.5489583333333333
b_latenteta_wqc_freqcc12_z,0.07685607033747026,0.12386293017116498,-0.1701154271933475,0.07641085883055496,0.3127657466343642,0.7347916666666666
b_latenteta_log1p_cyc_maxHrs4mw_z,-0.06304233543943663,0.06631010830661395,-0.19198389335142238,-0.06297837801601039,0.06683547572100566,0.17041666666666666
b_latenteta_dhw_excess4_z:prop_acropora_pre_z,-0.2084853303166345,0.13927818750937818,-0.47973291524062095,-0.20750992401282764,0.06858790364312468,0.07083333333333333
b_latenteta_dhw_excess8_z:prop_acropora_pre_z,0.21357185642389073,0.10697567899818466,-0.0062490209084914315,0.21455788100820422,0.42314125171598943,0.9733333333333334
b_latenteta_ann_maxdhw_z:log_coastal_rain30_z,-0.03370449124034259,0.09027345800969717,-0.20901956142363393,-0.03443798722714532,0.14412187619437594,0.3516666666666667
b_latenteta_ann_maxdhw_z:wqc_freqcc12_z,0.07532091531767783,0.06415939266953923,-0.049053428606491256,0.07461638768281889,0.19939688863677024,0.8772916666666667
b_latenteta_ann_maxdhw_z:era5_wind_calm_fraction_z,-0.10473584955448163,0.08003724355057187,-0.26214648158179865,-0.10480659035003342,0.05393854422736579,0.09083333333333334
b_biasltmp_Intercept,-0.17114629822480332,0.11619582196650838,-0.3843891155302641,-0.17262360478791416,0.05970909232628786,0.07375
b_biasmmp_Intercept,-0.6767288123978077,0.29055427134933487,-1.260159338637499,-0.675207842251371,-0.11161762122675922,0.008958333333333334
b_phi_programme_factorltmp,2.08782714196496,0.22820740391012578,1.645262907264489,2.085942154488009,2.545019572127857,1
b_phi_programme_factormanta,2.450217485126307,0.21822997545873885,2.0361859099558166,2.4496640285317697,2.8944068452767087,1
b_phi_programme_factormmp,1.9483418140165305,0.2042836197784023,1.5427299059547397,1.9542307640517331,2.3389204000970727,1
b_zoi_programme_factorltmp,0.20821461043673994,0.1415599243482554,-0.06607959494389849,0.20786300347467346,0.48551108783178865,0.9322916666666666
b_zoi_programme_factormanta,0.19148049371793446,0.12851954335632823,-0.05245191199301141,0.18946294146329523,0.44702702825798835,0.9291666666666667
b_zoi_programme_factormmp,-0.618908604018838,0.21698994234595434,-1.0560803604695594,-0.6193996638514401,-0.19789017791178196,0.0014583333333333334
b_coi_programme_factorltmp,-5.221597506822686,0.8433312715317302,-7.008300988558107,-5.178179995705831,-3.7388552076716763,0
b_coi_programme_factormanta,-5.314614239883351,0.8392580610234173,-7.0808816613100385,-5.258943135299159,-3.8417022094730475,0
b_coi_programme_factormmp,-3.2577083754816125,0.7139749545665316,-4.802152841461467,-3.208960115136244,-2.004501138534327,0
sd_reef_event_effect__latenteta_Intercept,0.5247373727382227,0.11097244098509643,0.2796032517483929,0.5289276641509562,0.7277062870466375,1
