learner,scheme,observations,rmse,mae,severe_mae,predictive_r2,bias_observed_minus_predicted,interval90_coverage,programme_key
Pooled-response BRMS,leave_one_event_out,537,0.1934696316207528,0.12649105678344136,0.3078409467176264,-0.18888430505410736,0.024112067056948384,0.1340782122905028,all
Pooled-response BRMS,reef_blocked_2024,218,0.17986201511930452,0.130502100477028,0.21522387566731885,0.23291910081753397,0.026978649284225366,0.22018348623853212,all
Shared latent BRMS,leave_one_event_out,537,0.18631780654268065,0.13622340786173062,0.2780860234110556,-0.10261198764053248,-0.0031470728821172667,0.2011173184357542,all
Shared latent BRMS,reef_blocked_2024,218,0.18969434025362594,0.14151487616842512,0.2539680380003705,0.14676039521774165,0.0497240834547846,0.27522935779816515,all
Weather + RRN BRT,leave_one_event_out,537,0.1802263965041202,0.11612813015258848,0.290452229989922,-0.031693710828321064,0.030549765370370508,NA,all
Weather + RRN BRT,reef_blocked_2024,218,0.17370045438201442,0.1239827551127817,0.19533440441780947,0.2845749079108545,0.013753594280907395,NA,all
Pooled-response BRMS,leave_one_event_out,199,0.15038783044076584,0.09602055985218129,0.32391123437008384,0.18766552753126864,0.02094664084891279,0.1457286432160804,ltmp
Pooled-response BRMS,leave_one_event_out,248,0.15761863935991025,0.11279325992269434,0.27523634683487713,-0.046003239214305935,0.034676071086762024,0.09274193548387097,manta
Pooled-response BRMS,leave_one_event_out,90,0.3238359085876988,0.23160975134773043,0.3466929253322748,-0.9506187188601529,0.002001476123673951,0.2222222222222222,mmp
Pooled-response BRMS,reef_blocked_2024,75,0.11200114944018547,0.08761912361143008,0.16071132721291742,0.4847389960110392,-0.013179719194404289,0.29333333333333333,ltmp
Pooled-response BRMS,reef_blocked_2024,89,0.17479446710558832,0.13583979568187607,0.2004272486519482,0.04365015279344142,0.038297771678854106,0.16853932584269662,manta
Pooled-response BRMS,reef_blocked_2024,54,0.25064100697997355,0.1812644781008867,0.2644726370694097,0.1512954857877571,0.0640985704467303,0.2037037037037037,mmp
Shared latent BRMS,leave_one_event_out,199,0.1654399715971267,0.11715970040839195,0.334287481157144,0.016916540593708507,-0.004125368285493953,0.17587939698492464,ltmp
Shared latent BRMS,leave_one_event_out,248,0.16283782309489897,0.1259661983449975,0.26196850097137647,-0.11642218209926103,0.007229747121382725,0.15725806451612903,manta
Shared latent BRMS,leave_one_event_out,90,0.27118831593988335,0.20663969389911074,0.2573071371820689,-0.3679314298490677,-0.029577857055406567,0.37777777777777777,mmp
Shared latent BRMS,reef_blocked_2024,75,0.1371339703993222,0.0956737888511811,0.2734611552755877,0.2275463737602037,0.01684153231393836,0.36,ltmp
Shared latent BRMS,reef_blocked_2024,89,0.18820872557990437,0.1467782086435551,0.24203030618924704,-0.10876864961829669,0.0848439137570116,0.20224719101123595,manta
Shared latent BRMS,reef_blocked_2024,54,0.24651141532671486,0.19650830132595723,0.26323420333361885,0.1790318114544709,0.03751161009673396,0.2777777777777778,mmp
Weather + RRN BRT,leave_one_event_out,199,0.13614842348374248,0.08724910485514922,0.289615758301626,0.33421389213016317,0.018316344877591855,NA,ltmp
Weather + RRN BRT,leave_one_event_out,248,0.15233785054640625,0.10559661134032815,0.2575779755528732,0.022912340695440014,0.034119134229493024,NA,manta
Weather + RRN BRT,leave_one_event_out,90,0.29811557621262735,0.20900304903737707,0.343744113630931,-0.6530717946453761,0.0477636231592657,NA,mmp
Weather + RRN BRT,reef_blocked_2024,75,0.11547736604535865,0.08661254049115841,0.15553734922725804,0.4522579855715312,-0.022855735442436242,NA,ltmp
Weather + RRN BRT,reef_blocked_2024,89,0.15870200391663003,0.12680410064137176,0.18019930665547884,0.21163696813098032,0.025622469097954396,NA,manta
Weather + RRN BRT,reef_blocked_2024,54,0.24854216269836843,0.17123583556791558,0.23804774341850993,0.16544991665315023,0.045038221513010915,NA,mmp
