site,site_longitude,site_latitude,distance_to_lizard_nw_km,first_time,last_time,hourly_rows,salinity_hours
RM8,146.006987,-17.1622,284.7590871114393,2015-02-17T17:00:00Z,2023-10-25T11:00:00Z,71359,71355
RM10,145.9784,-17.203267,288.606461149445,2015-02-18T07:00:00Z,2023-10-25T10:00:00Z,76103,75811
TUL3,146.146133,-17.926283,370.93497383351666,2015-02-21T15:00:00Z,2023-10-23T14:00:00Z,72527,72527
TUL10,146.074433,-18.0226833,380.0156582705784,2015-06-24T11:00:00Z,2023-10-23T09:00:00Z,70202,70201
BUR13,147.5822,-19.5875,593.1511981008819,2015-03-22T07:00:00Z,2023-10-20T09:00:00Z,74101,74100
WHI4,148.888367,-20.3779833,733.1290856584108,2015-03-06T17:00:00Z,2023-10-19T07:00:00Z,75555,75548
WHI6,148.70925,-20.5781833,743.4117205650444,2021-02-07T11:00:00Z,2023-10-18T11:00:00Z,20856,20856
WHI7,148.86125,-20.57784,750.9963499514214,2015-03-06T14:00:00Z,2021-02-07T13:00:00Z,46036,46035
FTZ2,150.9638,-23.2162,1114.129153615161,2021-02-05T08:00:00Z,2023-10-16T14:00:00Z,20450,20450
FTZ6,150.9395,-23.4705,1136.8305763972025,2021-02-03T12:00:00Z,2023-10-16T10:00:00Z,20928,20928
