PROJECT,LOCATION_NAME,SHORT_NAME,sample_date,LATITUDE,LONGITUDE,distance_to_lizard_nw_km,depths_sampled,salinity_min_psu,salinity_mean_psu,chlorophyll_mean,chlorophyll_max,suspended_solids_max,secchi_min_m
,North Direction,,2023-11-17,-14.7435833,145.51545,11.9858595321801,1,35.29679,35.29679,0.09707333333333333,0.09922,,
LTMP-DIC,Lizard Isles,,2023-11-18,-14.6586667,145.449,0.22151059037089768,1,35.33,35.33,,,,
,Lizard Island north,,2023-11-18,-14.6913,145.46945,4.371544810799432,1,35.31234,35.31234,0.12491000000000001,0.13205,,
LTMP-DIC,Macgillivray Reef,,2023-11-19,-14.6508333,145.4863333,4.3237849747414465,1,35.29,35.29,,,,
,MacGillivray,,2023-11-19,-14.6493883,145.4929117,5.04933459273954,1,35.23946,35.23946,0.10016666666666667,0.10921,,
LTMP-DIC,No Name Reef,,2024-01-21,-14.64255,145.6348167,20.289610637574768,1,34.67,34.67,,,,
LTMP-DIC,Eyrie Reef,,2024-01-22,-14.68505,145.3909167,6.707821096889278,1,34.26,34.26,,,,
LTMP-DIC,Linnet Reef,,2024-01-23,-14.7816167,145.3592667,16.617083639676277,1,33.28,33.28,,,,
LTMP-DIC,Martin,,2024-02-01,-14.7783333,145.3666667,15.871230028166574,1,,,,,,
LTMP-DIC,Yonge Reef,,2024-02-03,-14.5738333,145.6093333,19.85092377097672,1,34.29,34.29,,,,
LTMP-DIC,Carter Reef,,2024-02-04,-14.5241667,145.5581667,19.14632604387882,1,34.22,34.22,,,,
,Lizard Island north,,2024-02-22,-14.69112,145.46925,4.3429709791262585,1,33.80707,33.80707,0.30740333333333336,0.33334,,
,MacGillivray,,2024-02-23,-14.6483317,145.49137,4.9129050689335,1,34.11154,34.11154,0.28575333333333336,0.30122,,
