programme_key,fold,variant,analysis_rows,excluded_training_rows,assessment_rows,elapsed_seconds
manta,1,all_rows,198,0,50,3.95
manta,1,exclude_low_dhw_ge05,195,3,50,3.5500000000000007
manta,1,exclude_low_dhw_ge10,195,3,50,3.7499999999999982
manta,1,exclude_low_dhw_ge20,196,2,50,3.75
manta,2,all_rows,198,0,50,3.8900000000000006
manta,2,exclude_low_dhw_ge05,193,5,50,3.41
manta,2,exclude_low_dhw_ge10,193,5,50,3.759999999999998
manta,2,exclude_low_dhw_ge20,197,1,50,4
manta,3,all_rows,198,0,50,3.8299999999999983
manta,3,exclude_low_dhw_ge05,192,6,50,3.6899999999999977
manta,3,exclude_low_dhw_ge10,192,6,50,3.969999999999999
manta,3,exclude_low_dhw_ge20,196,2,50,3.770000000000003
manta,4,all_rows,199,0,49,3.3900000000000006
manta,4,exclude_low_dhw_ge05,194,5,49,4.649999999999999
manta,4,exclude_low_dhw_ge10,194,5,49,4.289999999999992
manta,4,exclude_low_dhw_ge20,197,2,49,4.079999999999998
manta,5,all_rows,199,0,49,3.6300000000000097
manta,5,exclude_low_dhw_ge05,194,5,49,4.930000000000007
manta,5,exclude_low_dhw_ge10,194,5,49,5.140000000000001
manta,5,exclude_low_dhw_ge20,198,1,49,5.469999999999999
ltmp,1,all_rows,159,0,40,5.429999999999993
ltmp,1,exclude_low_dhw_ge05,158,1,40,5.6200000000000045
ltmp,1,exclude_low_dhw_ge10,158,1,40,5.5
ltmp,1,exclude_low_dhw_ge20,158,1,40,5.339999999999989
ltmp,2,all_rows,159,0,40,5.359999999999999
ltmp,2,exclude_low_dhw_ge05,156,3,40,5.260000000000005
ltmp,2,exclude_low_dhw_ge10,157,2,40,5.3300000000000125
ltmp,2,exclude_low_dhw_ge20,157,2,40,5.659999999999997
ltmp,3,all_rows,159,0,40,5.5
ltmp,3,exclude_low_dhw_ge05,157,2,40,5.360000000000014
ltmp,3,exclude_low_dhw_ge10,158,1,40,5.469999999999999
ltmp,3,exclude_low_dhw_ge20,158,1,40,5.310000000000002
ltmp,4,all_rows,159,0,40,5.310000000000002
ltmp,4,exclude_low_dhw_ge05,156,3,40,5.439999999999998
ltmp,4,exclude_low_dhw_ge10,157,2,40,5.340000000000003
ltmp,4,exclude_low_dhw_ge20,157,2,40,5.6200000000000045
ltmp,5,all_rows,160,0,39,4.969999999999999
ltmp,5,exclude_low_dhw_ge05,157,3,39,3.969999999999999
ltmp,5,exclude_low_dhw_ge10,158,2,39,5.300000000000011
ltmp,5,exclude_low_dhw_ge20,158,2,39,5.640000000000015
