model,scheme,observations,rmse,mae,severe_mae,predictive_r2,bias_observed_minus_predicted
core,leave_one_event_out,537,0.18456217377987905,0.1224573555089274,0.279310470272725,-0.08193053439985887,0.018424261315405602
core,reef_blocked_2024,218,0.17524271706885772,0.12229787460892157,0.20388233662765035,0.2718141839402006,0.026985643959393766
rrn_both,leave_one_event_out,537,0.18124071885096898,0.11808675906481854,0.2751795661895499,-0.043339227763268484,0.020514597471518098
rrn_both,reef_blocked_2024,218,0.17846638497614226,0.12503903353687065,0.21051075973172378,0.24477716592141463,0.028540946266328176
rrn_cyclone,leave_one_event_out,537,0.18350010000648395,0.12039802911711105,0.27966717830763316,-0.06951429797420916,0.020539823064090693
rrn_cyclone,reef_blocked_2024,218,0.17556212250639924,0.12385818091219851,0.20295486330278018,0.26915731494707595,0.025225659196986248
rrn_wq,leave_one_event_out,537,0.17910613088988714,0.11740728021327687,0.27519080970509396,-0.018907804387867433,0.0210257147509624
rrn_wq,reef_blocked_2024,218,0.17792767066686696,0.12445536369626421,0.20708783554837815,0.24932967921032845,0.026877083777459888
weather,leave_one_event_out,537,0.18531788692794388,0.1199548583008177,0.299493675594026,-0.09080887665458603,0.03017130985608885
weather,reef_blocked_2024,218,0.17488187644345132,0.12306310612428757,0.19540696233675164,0.27480989762638997,0.015076916125842886
weather_rrn,leave_one_event_out,537,0.1802263965041202,0.11612813015258848,0.290452229989922,-0.031693710828321064,0.030549765370370508
weather_rrn,reef_blocked_2024,218,0.17370045438201442,0.1239827551127817,0.19533440441780947,0.2845749079108544,0.013753594280907397
weather_rrn_full,leave_one_event_out,537,0.19143121198214397,0.12431919882326312,0.30209201463999774,-0.16396382282044275,0.024891005225833183
weather_rrn_full,reef_blocked_2024,218,0.17505567642689326,0.123258135319069,0.20037667643627444,0.27336777383974054,0.020560840404890608
weather_rrn_relative,leave_one_event_out,537,0.18277739843526786,0.11782444558817329,0.29336502332653264,-0.06110648151296849,0.03166340887411827
weather_rrn_relative,reef_blocked_2024,218,0.17574698201722846,0.12422944841327807,0.19662182826462032,0.2676174115975464,0.01663215826211658
