model,scheme,programme_key,observations,rmse,mae,severe_mae,predictive_r2,bias_observed_minus_predicted
core,leave_one_event_out,ltmp,199,0.1420273684824334,0.0940211956145944,0.2717508892312193,0.27547466531293097,0.0028381563604708633
core,leave_one_event_out,manta,248,0.1610846884957327,0.11542608337539348,0.24491403487838817,-0.09251247404916407,0.01835951050113657
core,leave_one_event_out,mmp,90,0.2951944872528587,0.2047079255988016,0.3406084197666257,-0.6208352208201227,0.05306529562619153
core,reef_blocked_2024,ltmp,75,0.11034540561383432,0.08102634122022995,0.1554835545705606,0.4998608787261434,-0.014236126034855918
core,reef_blocked_2024,manta,89,0.16828053622683398,0.13099660112627684,0.18608438219019652,0.11360110841690985,0.03519272694884401
core,reef_blocked_2024,mmp,54,0.24575062092129105,0.16528265875905584,0.2548785609374814,0.18409140829725334,0.07071161365397997
rrn_both,leave_one_event_out,ltmp,199,0.1375437209440802,0.09025198245524432,0.2635321666694387,0.3204975398244886,0.003786891579363153
rrn_both,leave_one_event_out,manta,248,0.1558541187004486,0.11050026074890519,0.24028596101408242,-0.022714582795614557,0.01938980451065271
rrn_both,leave_one_event_out,mmp,90,0.29534725497068576,0.20053756048317165,0.34066003692981867,-0.6225132695621813,0.06060084332522311
rrn_both,reef_blocked_2024,ltmp,75,0.11321549549844351,0.08233978861418696,0.1696542138842618,0.4735052327379823,-0.010032535014996253
rrn_both,reef_blocked_2024,manta,89,0.1733191122016557,0.13467800202047553,0.19608208622978182,0.05972618616723391,0.040533403493630694
rrn_both,reef_blocked_2024,mmp,54,0.24752503381348734,0.16845709231761957,0.25263063240153494,0.1722665314960301,0.06234987965279869
rrn_cyclone,leave_one_event_out,ltmp,199,0.1391101679575996,0.09080837604301796,0.2716184733608165,0.3049320789602855,0.006115808951338025
rrn_cyclone,leave_one_event_out,manta,248,0.15921175921861322,0.11294109522402476,0.24526620048898867,-0.06725491472519796,0.02100132959772058
rrn_cyclone,leave_one_event_out,mmp,90,0.2971090808356354,0.20637203541966578,0.3413776697733982,-0.6419284624461041,0.05116121404295257
rrn_cyclone,reef_blocked_2024,ltmp,75,0.11279806153645704,0.08296642200199067,0.15545839662459973,0.4773805261152807,-0.015153768238450502
rrn_cyclone,reef_blocked_2024,manta,89,0.16902432871526457,0.13192582446418383,0.18493647128807805,0.10574810433833426,0.033769925930031044
rrn_cyclone,reef_blocked_2024,mmp,54,0.24427870848693276,0.1673556187295854,0.2538618588512421,0.19383583531483284,0.06722597990840791
rrn_wq,leave_one_event_out,ltmp,199,0.1362161271714932,0.09090114515808902,0.2654228974651914,0.3335515652179709,0.0030669302715675218
rrn_wq,leave_one_event_out,manta,248,0.15362789108449043,0.10959570574685522,0.2420744438164598,0.006293755762108999,0.020095815544511425
rrn_wq,leave_one_event_out,mmp,90,0.2921345825462434,0.19754051736499853,0.33627040812568515,-0.5874071142421409,0.06329697157984489
rrn_wq,reef_blocked_2024,ltmp,75,0.11301385267672584,0.08353393691111667,0.16715267277172186,0.4753789930082407,-0.012347300917212095
rrn_wq,reef_blocked_2024,manta,89,0.17004756791403267,0.1309579904228877,0.19148672484670368,0.09488809010714405,0.0395741255781565
rrn_wq,reef_blocked_2024,mmp,54,0.24981661354867185,0.17057338647805265,0.2505944463757854,0.1568693205288222,0.060428789922615446
weather,leave_one_event_out,ltmp,199,0.14016267949009562,0.08831878988471327,0.3009286722690088,0.29437448217153095,0.022012349580064167
weather,leave_one_event_out,manta,248,0.15712786763551106,0.10877930801866273,0.26728300278863115,-0.039499571662486854,0.036718217484873215
weather,leave_one_event_out,mmp,90,0.30568060832796984,0.2207005703539201,0.34984175483767194,-0.738033558524313,0.030171309889315382
weather,reef_blocked_2024,ltmp,75,0.11290051423079467,0.08537854562888042,0.15168302058125466,0.4764307209685592,-0.023410068392418878
weather,reef_blocked_2024,manta,89,0.1583214040952006,0.12600588589789574,0.17717467114404295,0.21541374511131883,0.024219337390729588
weather,reef_blocked_2024,mmp,54,0.2538739258920297,0.17055263644473964,0.2448368286400158,0.12926007780811177,0.05346299661278207
weather_rrn,leave_one_event_out,ltmp,199,0.13614842348374248,0.08724910485514922,0.289615758301626,0.33421389213016317,0.018316344877591855
weather_rrn,leave_one_event_out,manta,248,0.15233785054640625,0.10559661134032815,0.2575779755528732,0.022912340695440014,0.03411913422949303
weather_rrn,leave_one_event_out,mmp,90,0.2981155762126274,0.20900304903737707,0.343744113630931,-0.6530717946453761,0.0477636231592657
weather_rrn,reef_blocked_2024,ltmp,75,0.11547736604535865,0.08661254049115841,0.15553734922725804,0.4522579855715312,-0.022855735442436242
weather_rrn,reef_blocked_2024,manta,89,0.15870200391663003,0.12680410064137176,0.18019930665547884,0.21163696813098032,0.025622469097954396
weather_rrn,reef_blocked_2024,mmp,54,0.24854216269836843,0.17123583556791558,0.23804774341850993,0.16544991665315023,0.045038221513010915
weather_rrn_full,leave_one_event_out,ltmp,199,0.14646459250556595,0.09278809870460661,0.3055007972503252,0.22949618987960174,0.019775327790627836
weather_rrn_full,leave_one_event_out,manta,248,0.16123759820844985,0.11041981877570009,0.26945688911747345,-0.0945875943972132,0.034263256325189256
weather_rrn_full,leave_one_event_out,mmp,90,0.3155688682186103,0.2323384785500217,0.3514837955989082,-0.8522972598367062,0.010376577858783822
weather_rrn_full,reef_blocked_2024,ltmp,75,0.11132802748589006,0.08452516112396473,0.15087582856724777,0.490913776693675,-0.019407699496930667
weather_rrn_full,reef_blocked_2024,manta,89,0.15996264112178998,0.12648572777536496,0.18103572047409025,0.1990626213736446,0.028853145915573728
weather_rrn_full,reef_blocked_2024,mmp,54,0.25362621651444645,0.17173438228244825,0.2543089747144146,0.13095844219802166,0.062405753408331315
weather_rrn_relative,leave_one_event_out,ltmp,199,0.14059895955611593,0.08975770813626442,0.2947897073179368,0.2899748878318025,0.021477633497287846
weather_rrn_relative,leave_one_event_out,manta,248,0.15866560548677502,0.10794730943295681,0.2688348428906252,-0.059945335281121004,0.036781538034280074
weather_rrn_relative,leave_one_event_out,mmp,90,0.2936869003960237,0.2071001180262127,0.33143285957396396,-0.604321971025642,0.040082000743775235
weather_rrn_relative,reef_blocked_2024,ltmp,75,0.11133281715419098,0.08506795070366989,0.14743522171291765,0.490869970894651,-0.020712099293849637
weather_rrn_relative,reef_blocked_2024,manta,89,0.1582390950789378,0.1265608435798751,0.17624553461999093,0.21622932322547872,0.023721663829737963
weather_rrn_relative,reef_blocked_2024,mmp,54,0.25730858606693835,0.17477793282797208,0.25201841749505943,0.10554022329234991,0.05681462717284181
