reef_short,LABEL_ID,ReefName,region_block,SECT_NAME,latitude_band,Type,source_summer,value,latitude_band_percentile,region_percentile,gbr_percentile,within_reef_10y_percentile,previous_10y_median,previous_10y_q90,vulnerability_percentile,interpretation_direction
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,Cooktown / Lizard Island,14,cot_idwmeanpertow,202324,0.0613,99.73118279569893,99.64028776978417,87.3061224489796,72.22222222222223,0.0063,0.13187,99.73118279569893,Higher values indicate greater COTS pressure
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,Cooktown / Lizard Island,14,cot_meanpertow,202324,0.0737812916437785,98,96.5909090909091,94.5692883895131,68.75,0.0104166669771075,0.13560000360012076,98,Higher values indicate greater COTS pressure
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,Cooktown / Lizard Island,14,cyc_maxHrs4mw,202324,0,48.11827956989247,46.0431654676259,36.374438869817794,45,0,11.953361459003878,48.11827956989247,Higher values indicate mechanical cyclone-wave exposure
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,Cooktown / Lizard Island,14,wqc_freqcc12,202324,0.387817227069386,38.44086021505376,81.65467625899281,76.57987523732031,95,0.0976827961593208,0.22442845510057113,38.44086021505376,Higher coloured-water frequency may indicate plume/freshwater exposure
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,Cooktown / Lizard Island,14,sst_maxdhw,202324,6.28372549019608,22.258064516129032,59.78260869565217,38.95919012970579,75,4.28941176470588,8.382509763231461,22.258064516129032,Higher values indicate greater thermal exposure
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,Cooktown / Lizard Island,14,uq_coralsink1,,0.578947365283966,81.45161290322581,78.6231884057971,67.76489193463364,,,,18.548387096774192,Lower coral-sink connectivity may reduce recovery/rescue potential
Linnet,14-126,Linnet Reef (14-126),Northern GBR,Cooktown / Lizard Island,14,cot_idwmeanpertow,202324,0.0201,98.9247311827957,93.5251798561151,61.183673469387756,61.111111111111114,0.0033,0.21296999999999994,98.9247311827957,Higher values indicate greater COTS pressure
Linnet,14-126,Linnet Reef (14-126),Northern GBR,Cooktown / Lizard Island,14,cot_meanpertow,202324,0.024274891987443,86,89.77272727272727,86.70411985018727,78.57142857142857,0,0.0214285720139742,86,Higher values indicate greater COTS pressure
Linnet,14-126,Linnet Reef (14-126),Northern GBR,Cooktown / Lizard Island,14,wqc_freqcc12,202324,0.536864378405265,56.72043010752688,90.28776978417267,80.1328993761866,95,0.141073508785178,0.3425702500176588,56.72043010752688,Higher coloured-water frequency may indicate plume/freshwater exposure
Linnet,14-126,Linnet Reef (14-126),Northern GBR,Cooktown / Lizard Island,14,cyc_maxHrs4mw,202324,0,48.11827956989247,46.0431654676259,36.374438869817794,45,0,9.363814928406166,48.11827956989247,Higher values indicate mechanical cyclone-wave exposure
Linnet,14-126,Linnet Reef (14-126),Northern GBR,Cooktown / Lizard Island,14,uq_coralsink1,,0.473684221506119,59.67741935483871,63.04347826086956,55.06062203479178,,,,40.32258064516129,Lower coral-sink connectivity may reduce recovery/rescue potential
Linnet,14-126,Linnet Reef (14-126),Northern GBR,Cooktown / Lizard Island,14,sst_maxdhw,202324,6.675,33.87096774193548,68.47826086956522,44.40050616893388,75,4.73833333333333,8.218000083923336,33.87096774193548,Higher values indicate greater thermal exposure
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,Cooktown / Lizard Island,14,uq_coralsink1,,0.105263158679008,15.591397849462366,34.42028985507246,20.55877701634159,,,,84.40860215053763,Lower coral-sink connectivity may reduce recovery/rescue potential
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,Cooktown / Lizard Island,14,cyc_maxHrs4mw,202324,0,48.11827956989247,46.0431654676259,36.374438869817794,45,0,12.855440733642453,48.11827956989247,Higher values indicate mechanical cyclone-wave exposure
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,Cooktown / Lizard Island,14,cot_meanpertow,202324,0,38,42.04545454545455,36.142322097378276,31.25,0,0.04045714167878035,38,Higher values indicate greater COTS pressure
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,Cooktown / Lizard Island,14,cot_idwmeanpertow,202324,0,24.731182795698924,25.179856115107913,10.938775510204081,50,0,0,24.731182795698924,Higher values indicate greater COTS pressure
Lizard NW,14-116a,Lizard Island Reef (North West) (14-116a),Northern GBR,Cooktown / Lizard Island,14,sst_maxdhw,202324,6.24428571428571,20.967741935483872,57.608695652173914,38.54792787092692,75,4.02,8.723428534371514,20.967741935483872,Higher values indicate greater thermal exposure
