reef_short,LABEL_ID,ReefName,SECT_NAME,SECTOR,region_block,latitude_band,Type,source_summer,event_year,variable,value
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,199192,1992,cot199192_idwmeanpertow,0.0052
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,199293,1993,cot199293_idwmeanpertow,0.0535
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,199394,1994,cot199394_idwmeanpertow,0.1235
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,199495,1995,cot199495_idwmeanpertow,0.0371
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,199596,1996,cot199596_idwmeanpertow,0.5273
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,199697,1997,cot199697_idwmeanpertow,0.4182
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,199798,1998,cot199798_idwmeanpertow,0.1968
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,199899,1999,cot199899_idwmeanpertow,0.2714
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,199900,2000,cot199900_idwmeanpertow,0.0472
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200001,2001,cot200001_idwmeanpertow,0.0866
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200102,2002,cot200102_idwmeanpertow,0.0226
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200203,2003,cot200203_idwmeanpertow,0.0085
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200304,2004,cot200304_idwmeanpertow,0.0054
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200405,2005,cot200405_idwmeanpertow,0.0057
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200506,2006,cot200506_idwmeanpertow,0.0052
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200607,2007,cot200607_idwmeanpertow,0.0025
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200708,2008,cot200708_idwmeanpertow,0.0143
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200809,2009,cot200809_idwmeanpertow,0.0253
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,200910,2010,cot200910_idwmeanpertow,0.019
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,201011,2011,cot201011_idwmeanpertow,0.0655
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,201112,2012,cot201112_idwmeanpertow,
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,201213,2013,cot201213_idwmeanpertow,0.8466
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,201314,2014,cot201314_idwmeanpertow,0.5486
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cot_idwmeanpertow,201415,2015,cot201415_idwmeanpertow,0.1037
