reef_short,LABEL_ID,ReefName,SECT_NAME,SECTOR,region_block,latitude_band,Type,Period,Year,variable,value,includes_summer_202425
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 10 years,201021,cmex_10y,0.528395061728395,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 10 years,201524,cmex_10y,0.31304347826087,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last _summer,202121,cmex_1y,0,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last _summer,202424,cmex_1y,1,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 20 years,200524,cmex_20y,0.562962962962963,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 2 years,202324,cmex_2y,0.4,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last 10 years,200921,cmfi_10y,0.589900581317762,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last 10 years,201424,cmfi_10y,0.681445389945422,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last _summer,202021,cmfi_1y,0.802880537332403,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last _summer,202324,cmfi_1y,0.235450478780013,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last 20 years,200424,cmfi_20y,0.519406363054983,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last 2 years,202224,cmfi_2y,0.619121279898417,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 10 years,200920,cmfr_10y,0.71143954265,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 10 years,201423,cmfr_10y,0.70964277351034,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last _summer,202020,cmfr_1y,0.740632286,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last _summer,202323,cmfr_1y,0.59556506910729,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 20 years,200423,cmfr_20y,0.715239825820823,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,cmfr,Last 2 years,202223,cmfr_2y,0.643236241535915,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 10 years,200921,quad_10y,2,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 10 years,201424,quad_10y,1,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last _summer,202021,quad_1y,1,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last _summer,202324,quad_1y,2,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 20 years,200424,quad_20y,2,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Cooktown / Lizard Island,CL,Northern GBR,14,quad,Last 2 years,202224,quad_2y,1,TRUE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 10 years,201021,cmex_10y,0.688888888888889,FALSE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 10 years,201524,cmex_10y,0.31304347826087,TRUE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last _summer,202121,cmex_1y,0,FALSE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last _summer,202424,cmex_1y,1,TRUE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 20 years,200524,cmex_20y,0.622222222222222,TRUE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmex,Last 2 years,202324,cmex_2y,0.4,TRUE
Linnet,14-126,Linnet Reef (14-126),Cooktown / Lizard Island,CL,Northern GBR,14,cmfi,Last 10 years,200921,cmfi_10y,0.459837322152008,FALSE
