reef_short,LABEL_ID,ReefName,region_block,latitude_band,Type,Period,Year,variable,value,latitude_band_percentile,region_percentile,gbr_percentile,includes_summer_202425
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmex,Last 10 years,201021,cmex_10y,0.528395061728395,34.67741935483871,37.410071942446045,63.063179699637494,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmex,Last 10 years,201524,cmex_10y,0.31304347826087,43.54838709677419,34.89208633093525,36.71672708441222,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmex,Last _summer,202121,cmex_1y,0,36.55913978494624,38.1294964028777,38.050233039875714,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmex,Last _summer,202424,cmex_1y,1,59.13978494623656,61.15107913669065,79.89383738995339,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmex,Last 20 years,200524,cmex_20y,0.562962962962963,48.11827956989247,58.63309352517986,70.05437597099949,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmex,Last 2 years,202324,cmex_2y,0.4,63.70967741935484,74.82014388489209,71.18073537027448,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfi,Last 10 years,200921,cmfi_10y,0.589900581317762,87.36559139784946,73.55072463768116,62.88870703764321,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfi,Last 10 years,201424,cmfi_10y,0.681445389945422,84.6774193548387,77.17391304347827,78.29108748977923,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfi,Last _summer,202021,cmfi_1y,0.802880537332403,97.58064516129032,90.94202898550725,88.0114566284779,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfi,Last _summer,202324,cmfi_1y,0.235450478780013,69.08602150537635,44.56521739130435,19.549180327868854,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfi,Last 20 years,200424,cmfi_20y,0.519406363054983,83.60215053763442,66.30434782608695,53.8702643772145,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfi,Last 2 years,202224,cmfi_2y,0.619121279898417,71.23655913978494,44.56521739130435,37.90983606557377,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfr,Last 10 years,200920,cmfr_10y,0.71143954265,94.89247311827957,82.97101449275362,76.52755046372067,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfr,Last 10 years,201423,cmfr_10y,0.70964277351034,95.96774193548387,83.69565217391305,74.33905696375034,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfr,Last _summer,202020,cmfr_1y,0.740632286,97.58064516129032,88.76811594202898,82.55591925804691,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfr,Last _summer,202323,cmfr_1y,0.59556506910729,85.75268817204301,58.333333333333336,49.931693989071036,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfr,Last 20 years,200423,cmfr_20y,0.715239825820823,95.96774193548387,84.42028985507247,76.24693376941946,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,cmfr,Last 2 years,202223,cmfr_2y,0.643236241535915,92.20430107526882,73.55072463768116,61.4344262295082,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,quad,Last 10 years,200921,quad_10y,2,33.333333333333336,43.16546762589928,49.17141377524599,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,quad,Last 10 years,201424,quad_10y,1,25,23.741007194244606,21.82806835836354,TRUE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,quad,Last _summer,202021,quad_1y,1,23.118279569892472,33.45323741007194,24.01605385810461,FALSE
Eyrie,14-118,Eyrie Reef (14-118),Northern GBR,14,quad,Last _summer,202324,quad_1y,2,25.268817204301076,42.0863309352518,59.46400828586225,TRUE
