model,held_out_year,cells,flood30_cells,flood28_cells,prevalence30,average_precision30,balanced_brier30,top_1pct_recall30,top_5pct_recall30,severe28_top_1pct_recall,severe28_top_5pct_recall
Intercept only,2016,3706,15,9,0.0040474905558553695,0.0040474905558553695,0.4947666504908935,0,0.6,0,0.5555555555555556
Intercept only,2017,3706,26,16,0.007015650296815974,0.007015650296815974,0.4962371185954052,0.11538461538461539,0.15384615384615385,0.125,0.125
Intercept only,2020,3707,13,2,0.003506878877798759,0.003506878877798759,0.49449902784503874,0,0.07692307692307693,0,0
Rainfall + optics + wind + spatial,2016,3706,15,9,0.0040474905558553695,0.35313304220906294,0.2607406810737689,0.4666666666666667,0.7333333333333333,0.6666666666666666,0.7777777777777778
Rainfall + optics + wind + spatial,2017,3706,26,16,0.007015650296815974,0.06355624345013881,0.4173958941496917,0.11538461538461539,0.34615384615384615,0.125,0.375
Rainfall + optics + wind + spatial,2020,3707,13,2,0.003506878877798759,0.2182830376707403,0.3865945922856594,0.46153846153846156,0.9230769230769231,1,1
Rainfall + spatial,2016,3706,15,9,0.0040474905558553695,0.3728339012277336,0.1930290528503641,0.5333333333333333,0.9333333333333333,0.7777777777777778,0.8888888888888888
Rainfall + spatial,2017,3706,26,16,0.007015650296815974,0.06378808083305723,0.41729694457460964,0.11538461538461539,0.34615384615384615,0.125,0.375
Rainfall + spatial,2020,3707,13,2,0.003506878877798759,0.19195825525145796,0.39478591366455773,0.38461538461538464,0.8461538461538461,1,1
Spatial prior,2016,3706,15,9,0.0040474905558553695,0.2920892987226361,0.3306211033111525,0.4666666666666667,0.9333333333333333,0.5555555555555556,0.8888888888888888
Spatial prior,2017,3706,26,16,0.007015650296815974,0.2881897466324717,0.39814975166737804,0.2692307692307692,0.8846153846153846,0.375,0.9375
Spatial prior,2020,3707,13,2,0.003506878877798759,0.2943449434171391,0.3289384757728842,0.46153846153846156,0.7692307692307693,1,1
Intercept only,Event mean,11119,54,27,0.004856673243490034,0.004856673243490034,0.4951675989771125,0.038461538461538464,0.27692307692307694,0.041666666666666664,0.22685185185185186
Rainfall + optics + wind + spatial,Event mean,11119,54,27,0.004856673243490034,0.2116574411099807,0.3549103891697067,0.34786324786324785,0.6675213675213675,0.5972222222222222,0.7175925925925926
Rainfall + spatial,Event mean,11119,54,27,0.004856673243490034,0.2095267457707496,0.33503730369651047,0.34444444444444444,0.7085470085470086,0.6342592592592593,0.7546296296296297
Spatial prior,Event mean,11119,54,27,0.004856673243490034,0.29154132959074897,0.35256977691713826,0.39914529914529917,0.8623931623931624,0.6435185185185185,0.9421296296296297
