interaction_depth,shrinkage,minobs,magnitude_mode,n_trees,n,rmse,event_rmse,high_dhw_rmse,selection_score,programme_key,fold,n_analysis,n_assessment
3,0.03,5,gaussian,250,228,0.11875889472461401,0.11519213917445045,0.14096009438186802,0.12497037609364416,manta,2016,228,20
3,0.01,10,gaussian,1000,225,0.12423767484336753,0.12163828306225481,0.12974158169390781,0.12520584653317673,manta,2017,225,23
2,0.03,10,gaussian,500,185,0.12797159170012193,0.12255345235932,0.11005802617047163,0.12019435674330452,manta,2020,185,63
3,0.03,10,logit_gaussian,500,195,0.12378482485336262,0.11693792916424724,0.11143063185071855,0.11738446195610946,manta,2022,195,53
3,0.03,5,gaussian,1000,159,0.09088801853277255,0.10619518312595652,0.06208142002814262,0.08638820722895724,manta,2024,159,89
3,0.03,5,gaussian,500,177,0.11545331946097588,0.13235559305533903,0.18670853740614135,0.1448391499741521,ltmp,2016,177,22
3,0.01,5,gaussian,1000,180,0.09220152423137679,0.09061219257331117,0.14289753422001505,0.10857041700823433,ltmp,2017,180,19
3,0.01,5,gaussian,1000,152,0.13400422303151865,0.15787871984324112,0.1684997312266282,0.15346089136712932,ltmp,2020,152,47
3,0.01,10,gaussian,1000,163,0.14451811734102582,0.16735165394166487,0.16812191766748072,0.15999722965005714,ltmp,2022,163,36
2,0.03,5,gaussian,1000,124,0.155770041734883,0.17926865283468107,0.1551240581615918,0.16338758424371863,ltmp,2024,124,75
3,0.01,10,gaussian,100,58,0.2616252363155207,0.23602992680547108,0.2479791627883663,0.24854477530311936,mmp,2017,58,32
2,0.01,10,gaussian,250,86,0.20944472429930833,0.19332340365839631,0.18616050819850352,0.1963095453854027,mmp,2022,86,4
3,0.01,5,gaussian,100,36,0.11769937579416984,0.1107521493985194,0.12992940601871825,0.11946031040380249,mmp,2024,36,54
