programme_key,candidate,learner,rows,rmse,mae,predictive_r2,bias,severe_rows,severe_bias
ltmp,core,brt,75,0.12133563442374908,0.07998768226537409,0.39527343597241527,-0.00682038066334424,4,-0.16085661839399007
ltmp,core,inla,75,0.1277220098526678,0.09875991647218596,0.32993982875436545,0.01986104285245046,4,-0.16376368730787272
ltmp,modifier_pca,brt,75,0.11212177550581671,0.07785143856756178,0.4836285185185461,-0.01491263751031042,4,-0.2058208558877187
ltmp,modifier_pca,inla,75,0.11367916670978856,0.08967325606325505,0.4691839097593852,0.01029697961850757,4,-0.15751935519139632
ltmp,sst_chla_raw,brt,75,0.10710624595784962,0.07406497955365061,0.5287928070869787,-0.01481644944011424,4,-0.1160941299557658
ltmp,sst_chla_raw,inla,75,0.1171801554539314,0.09112305736932862,0.43598525801744936,0.01333872985608064,4,-0.12485885898979827
manta,core,brt,89,0.16873753429758276,0.1311417558694226,0.10878019885499056,-0.03641871517861085,6,-0.3230110727075411
manta,core,inla,89,0.15895141554438336,0.13211966915488496,0.20915708244769135,-0.01008753156188936,6,-0.32779865843076406
manta,modifier_pca,brt,89,0.16672825314073125,0.13222316472066328,0.12987864037445696,-0.04229669671307391,6,-0.35034311695176695
manta,modifier_pca,inla,89,0.16139903544310052,0.1355629913972517,0.18461390740149797,-0.01007630280627902,6,-0.33262861365534685
manta,sst_chla_raw,brt,89,0.16626197602685977,0.13049311101028696,0.13473864877359132,-0.03801400846268876,6,-0.3095203972853702
manta,sst_chla_raw,inla,89,0.1597843842353573,0.13215357489979376,0.20084670110491376,-0.01125230919111625,6,-0.33410491716322244
mmp,core,brt,54,0.3283455775264858,0.226647527453995,-0.4565137909771697,-0.01579394670280588,13,-0.38865920485714894
mmp,core,inla,54,0.2517352552602097,0.18803580771046793,0.14386876251656933,-0.02329835150509428,13,-0.3450514933005117
mmp,modifier_pca,brt,54,0.30213663855231654,0.2068216874851697,-0.23327249278428908,-0.01379363404389367,13,-0.33534007884245737
mmp,modifier_pca,inla,54,0.250138945579896,0.18177829646090557,0.1546921766765541,-0.03039290618232397,13,-0.34669677306615587
mmp,sst_chla_raw,brt,54,0.33070991666066424,0.2301066856141984,-0.477565337892057,-0.0214140977078497,13,-0.4020251328206426
mmp,sst_chla_raw,inla,54,0.25185706840982164,0.18714526557598632,0.1430400087165976,-0.02016294518926689,13,-0.3340581617083524
