feature,component,loading,programme_key
dhw10_load4,PC1,0.4053572546990003,manta
dhw10_load4,PC2,0.31463281369995816,manta
dhw10_load4,PC3,-0.021639608624833925,manta
dhw10_load4,PC4,-0.2303448835897651,manta
dhw_novelty10,PC1,-0.31725369000644954,manta
dhw_novelty10,PC2,-0.3889956020778502,manta
dhw_novelty10,PC3,0.3349553655164851,manta
dhw_novelty10,PC4,-0.22114546524462655,manta
secc3m_p10,PC1,-0.24002694466231955,manta
secc3m_p10,PC2,0.5247196441480698,manta
secc3m_p10,PC3,0.387299679649467,manta
secc3m_p10,PC4,0.11298883440026605,manta
cloudp_90,PC1,0.36018166621635217,manta
cloudp_90,PC2,0.2337146200442689,manta
cloudp_90,PC3,0.055692985982086246,manta
cloudp_90,PC4,-0.5912810472329244,manta
sst_summer_skewness,PC1,-0.4089754031143378,manta
sst_summer_skewness,PC2,-0.012320262772879481,manta
sst_summer_skewness,PC3,-0.2938811691609422,manta
sst_summer_skewness,PC4,-0.04400347990184206,manta
sst_summer_excess_kurtosis,PC1,0.43167835488634704,manta
sst_summer_excess_kurtosis,PC2,0.07186022751212001,manta
sst_summer_excess_kurtosis,PC3,0.07253611898423606,manta
sst_summer_excess_kurtosis,PC4,0.2907194210374079,manta
chla_wetseason_median,PC1,0.2596445600454934,manta
chla_wetseason_median,PC2,-0.4950078448688999,manta
chla_wetseason_median,PC3,-0.37315974559691506,manta
chla_wetseason_median,PC4,-0.21483138783846317,manta
sst_prevyear_skewness,PC1,0.12839580872946416,manta
sst_prevyear_skewness,PC2,-0.3502440900190301,manta
sst_prevyear_skewness,PC3,0.6970851572582206,manta
sst_prevyear_skewness,PC4,-0.19467634497763026,manta
sst_prevyear_excess_kurtosis,PC1,-0.33193969588983496,manta
sst_prevyear_excess_kurtosis,PC2,0.2161388796170795,manta
sst_prevyear_excess_kurtosis,PC3,-0.13202400371800235,manta
sst_prevyear_excess_kurtosis,PC4,-0.6042769826689688,manta
dhw10_load4,PC1,0.43841132581582193,ltmp
dhw10_load4,PC2,0.21520403304183428,ltmp
dhw10_load4,PC3,0.09257229554307943,ltmp
dhw10_load4,PC4,-0.26232548227581465,ltmp
dhw_novelty10,PC1,-0.37956976673504783,ltmp
dhw_novelty10,PC2,-0.23362556809477864,ltmp
dhw_novelty10,PC3,-0.3536875179825393,ltmp
dhw_novelty10,PC4,-0.15684171421177648,ltmp
secc3m_p10,PC1,-0.11561415038235724,ltmp
secc3m_p10,PC2,0.6164848595380286,ltmp
secc3m_p10,PC3,-0.2929048900843464,ltmp
secc3m_p10,PC4,0.10004450786006183,ltmp
cloudp_90,PC1,0.3795086753549657,ltmp
cloudp_90,PC2,0.17058141999628962,ltmp
cloudp_90,PC3,0.030910779714599518,ltmp
cloudp_90,PC4,-0.6703616980093209,ltmp
sst_summer_skewness,PC1,-0.41468400497797664,ltmp
sst_summer_skewness,PC2,0.01865301746139382,ltmp
sst_summer_skewness,PC3,0.24716248734131285,ltmp
sst_summer_skewness,PC4,-0.12170673880550115,ltmp
sst_summer_excess_kurtosis,PC1,0.43499458574651295,ltmp
sst_summer_excess_kurtosis,PC2,0.03551019275108801,ltmp
sst_summer_excess_kurtosis,PC3,-0.0418278121749838,ltmp
sst_summer_excess_kurtosis,PC4,0.37084120254277103,ltmp
chla_wetseason_median,PC1,0.1320807648095478,ltmp
chla_wetseason_median,PC2,-0.6010855698142082,ltmp
chla_wetseason_median,PC3,0.3063624655575045,ltmp
chla_wetseason_median,PC4,-0.1547895745730045,ltmp
sst_prevyear_skewness,PC1,0.09081202260282215,ltmp
sst_prevyear_skewness,PC2,-0.27042465814739225,ltmp
sst_prevyear_skewness,PC3,-0.7620276262728829,ltmp
sst_prevyear_skewness,PC4,-0.26719518588770635,ltmp
sst_prevyear_excess_kurtosis,PC1,-0.3456205573219767,ltmp
sst_prevyear_excess_kurtosis,PC2,0.2321905432714875,ltmp
sst_prevyear_excess_kurtosis,PC3,0.20543571806699157,ltmp
sst_prevyear_excess_kurtosis,PC4,-0.44665814756799543,ltmp
dhw10_load4,PC1,0.40611881912661596,mmp
dhw10_load4,PC2,0.08339579924442724,mmp
dhw10_load4,PC3,0.2120283284693227,mmp
dhw10_load4,PC4,-0.08194473173327284,mmp
dhw_novelty10,PC1,-0.35944412953404226,mmp
dhw_novelty10,PC2,-0.026806701756756875,mmp
dhw_novelty10,PC3,-0.4727869813303266,mmp
dhw_novelty10,PC4,0.3078463155430777,mmp
secc3m_p10,PC1,-0.11035273187434261,mmp
secc3m_p10,PC2,0.6355939942090836,mmp
secc3m_p10,PC3,0.06743633533299444,mmp
secc3m_p10,PC4,0.3026505775757883,mmp
cloudp_90,PC1,0.12160159097362223,mmp
cloudp_90,PC2,-0.346414142091177,mmp
cloudp_90,PC3,0.6620907339982703,mmp
cloudp_90,PC4,0.5168895516198807,mmp
sst_summer_skewness,PC1,0.4127209435487045,mmp
sst_summer_skewness,PC2,-0.09343187948726256,mmp
sst_summer_skewness,PC3,-0.26793493179041006,mmp
sst_summer_skewness,PC4,0.32743516020173724,mmp
sst_summer_excess_kurtosis,PC1,-0.36957444869708966,mmp
sst_summer_excess_kurtosis,PC2,0.09844246499910472,mmp
sst_summer_excess_kurtosis,PC3,0.3809842225280943,mmp
sst_summer_excess_kurtosis,PC4,-0.49142837733611755,mmp
chla_wetseason_median,PC1,-0.05357328975170428,mmp
chla_wetseason_median,PC2,-0.6461339129845608,mmp
chla_wetseason_median,PC3,-0.18199757678769096,mmp
chla_wetseason_median,PC4,-0.22572535031874916,mmp
sst_prevyear_skewness,PC1,0.42591898173828807,mmp
sst_prevyear_skewness,PC2,0.11593118851410036,mmp
sst_prevyear_skewness,PC3,-0.1961123017598529,mmp
sst_prevyear_skewness,PC4,-0.15839103420115686,mmp
sst_prevyear_excess_kurtosis,PC1,-0.4332456847817191,mmp
sst_prevyear_excess_kurtosis,PC2,-0.13782071359281142,mmp
sst_prevyear_excess_kurtosis,PC3,0.009132387121836921,mmp
sst_prevyear_excess_kurtosis,PC4,0.33909915745630187,mmp
