programme_key,component,variance_explained,cumulative_variance,retained
manta,PC1,0.43135578986084355,0.43135578986084355,TRUE
manta,PC2,0.19563454970876198,0.6269903395696055,TRUE
manta,PC3,0.1380042073833571,0.7649945469529627,TRUE
manta,PC4,0.09231875913813017,0.8573133060910928,TRUE
manta,PC5,0.05353296287404764,0.9108462689651404,FALSE
manta,PC6,0.030515350740155742,0.9413616197052962,FALSE
manta,PC7,0.021514222564736053,0.9628758422700323,FALSE
manta,PC8,0.02048913525119533,0.9833649775212276,FALSE
manta,PC9,0.016635022478772427,1,FALSE
ltmp,PC1,0.4372417657181781,0.4372417657181781,TRUE
ltmp,PC2,0.20860600486437242,0.6458477705825505,TRUE
ltmp,PC3,0.13907198511826724,0.7849197557008177,TRUE
ltmp,PC4,0.07697189894841883,0.8618916546492366,TRUE
ltmp,PC5,0.053381199823635345,0.9152728544728719,FALSE
ltmp,PC6,0.028018504776345956,0.9432913592492178,FALSE
ltmp,PC7,0.024924461697248868,0.9682158209464667,FALSE
ltmp,PC8,0.017663778185542923,0.9858795991320096,FALSE
ltmp,PC9,0.01412040086799041,1,FALSE
mmp,PC1,0.5139236200545787,0.5139236200545787,TRUE
mmp,PC2,0.1932976349316625,0.7072212549862412,TRUE
mmp,PC3,0.13569830073683,0.8429195557230712,TRUE
mmp,PC4,0.06999135561752952,0.9129109113406008,TRUE
mmp,PC5,0.04560736706631058,0.9585182784069113,FALSE
mmp,PC6,0.02127127017500522,0.9797895485819165,FALSE
mmp,PC7,0.013963133477714643,0.9937526820596312,FALSE
mmp,PC8,0.005479549009691284,0.9992322310693225,FALSE
mmp,PC9,7.677689306775086e-4,1,FALSE
