programme_key,candidate,learner,scheme,fold,elapsed_seconds
manta,core,brt,reef_blocked_5fold,1,0.1999999999999993
manta,core,inla,reef_blocked_5fold,1,3.589999999999999
manta,core,brt,reef_blocked_5fold,2,0.370000000000001
manta,core,inla,reef_blocked_5fold,2,3.16
manta,core,brt,reef_blocked_5fold,3,0.1899999999999995
manta,core,inla,reef_blocked_5fold,3,3.0200000000000014
manta,core,brt,reef_blocked_5fold,4,0.16999999999999815
manta,core,inla,reef_blocked_5fold,4,3.150000000000002
manta,core,brt,reef_blocked_5fold,5,0.19000000000000128
manta,core,inla,reef_blocked_5fold,5,3.3599999999999994
manta,core,brt,leave_one_event_out,2016,0.21999999999999886
manta,core,inla,leave_one_event_out,2016,3.3900000000000006
manta,core,brt,leave_one_event_out,2017,0.23999999999999844
manta,core,inla,leave_one_event_out,2017,3.129999999999999
manta,core,brt,leave_one_event_out,2020,0.2099999999999973
manta,core,inla,leave_one_event_out,2020,3.25
manta,core,brt,leave_one_event_out,2022,0.18999999999999773
manta,core,inla,leave_one_event_out,2022,3.3000000000000043
manta,core,brt,leave_one_event_out,2024,0.1599999999999966
manta,core,inla,leave_one_event_out,2024,3.3699999999999974
manta,sst_chla_raw,brt,reef_blocked_5fold,1,0.21999999999999886
manta,sst_chla_raw,inla,reef_blocked_5fold,1,3.6400000000000006
manta,sst_chla_raw,brt,reef_blocked_5fold,2,0.21999999999999886
manta,sst_chla_raw,inla,reef_blocked_5fold,2,3.469999999999999
manta,sst_chla_raw,brt,reef_blocked_5fold,3,0.240000000000002
manta,sst_chla_raw,inla,reef_blocked_5fold,3,3.5800000000000054
manta,sst_chla_raw,brt,reef_blocked_5fold,4,0.21999999999999886
manta,sst_chla_raw,inla,reef_blocked_5fold,4,3.469999999999999
manta,sst_chla_raw,brt,reef_blocked_5fold,5,0.21999999999999886
manta,sst_chla_raw,inla,reef_blocked_5fold,5,3.6400000000000006
manta,sst_chla_raw,brt,leave_one_event_out,2016,0.269999999999996
manta,sst_chla_raw,inla,leave_one_event_out,2016,3.5300000000000082
manta,sst_chla_raw,brt,leave_one_event_out,2017,0.2600000000000051
manta,sst_chla_raw,inla,leave_one_event_out,2017,5.439999999999998
manta,sst_chla_raw,brt,leave_one_event_out,2020,0.29000000000000625
manta,sst_chla_raw,inla,leave_one_event_out,2020,5.340000000000003
manta,sst_chla_raw,brt,leave_one_event_out,2022,0.3499999999999943
manta,sst_chla_raw,inla,leave_one_event_out,2022,5.390000000000001
manta,sst_chla_raw,brt,leave_one_event_out,2024,0.22999999999998977
manta,sst_chla_raw,inla,leave_one_event_out,2024,5.299999999999997
manta,modifier_pca,brt,reef_blocked_5fold,1,0.25
manta,modifier_pca,inla,reef_blocked_5fold,1,5.160000000000011
manta,modifier_pca,brt,reef_blocked_5fold,2,0.3299999999999983
manta,modifier_pca,inla,reef_blocked_5fold,2,5.300000000000011
manta,modifier_pca,brt,reef_blocked_5fold,3,0.3299999999999983
manta,modifier_pca,inla,reef_blocked_5fold,3,4.909999999999997
manta,modifier_pca,brt,reef_blocked_5fold,4,0.3100000000000023
manta,modifier_pca,inla,reef_blocked_5fold,4,4.930000000000007
manta,modifier_pca,brt,reef_blocked_5fold,5,0.28999999999999204
manta,modifier_pca,inla,reef_blocked_5fold,5,5.109999999999999
manta,modifier_pca,brt,leave_one_event_out,2016,0.30000000000001137
manta,modifier_pca,inla,leave_one_event_out,2016,5.170000000000002
manta,modifier_pca,brt,leave_one_event_out,2017,0.3400000000000034
manta,modifier_pca,inla,leave_one_event_out,2017,5.3300000000000125
manta,modifier_pca,brt,leave_one_event_out,2020,0.36999999999999034
manta,modifier_pca,inla,leave_one_event_out,2020,5.279999999999987
manta,modifier_pca,brt,leave_one_event_out,2022,0.28000000000000114
manta,modifier_pca,inla,leave_one_event_out,2022,5.030000000000001
manta,modifier_pca,brt,leave_one_event_out,2024,0.2400000000000091
manta,modifier_pca,inla,leave_one_event_out,2024,5
ltmp,core,brt,reef_blocked_5fold,1,0.29000000000002046
ltmp,core,inla,reef_blocked_5fold,1,5.25
ltmp,core,brt,reef_blocked_5fold,2,0.2300000000000182
ltmp,core,inla,reef_blocked_5fold,2,4.819999999999993
ltmp,core,brt,reef_blocked_5fold,3,0.21999999999999886
ltmp,core,inla,reef_blocked_5fold,3,5.1200000000000045
ltmp,core,brt,reef_blocked_5fold,4,0.28000000000000114
ltmp,core,inla,reef_blocked_5fold,4,4.960000000000008
ltmp,core,brt,reef_blocked_5fold,5,0.21999999999999886
ltmp,core,inla,reef_blocked_5fold,5,4.840000000000003
ltmp,core,brt,leave_one_event_out,2016,0.25
ltmp,core,inla,leave_one_event_out,2016,5.0400000000000205
ltmp,core,brt,leave_one_event_out,2017,0.2300000000000182
ltmp,core,inla,leave_one_event_out,2017,5.1200000000000045
ltmp,core,brt,leave_one_event_out,2020,0.2600000000000193
ltmp,core,inla,leave_one_event_out,2020,5.090000000000003
ltmp,core,brt,leave_one_event_out,2022,0.2400000000000091
ltmp,core,inla,leave_one_event_out,2022,4.659999999999997
ltmp,core,brt,leave_one_event_out,2024,0.2300000000000182
ltmp,core,inla,leave_one_event_out,2024,4.950000000000017
ltmp,sst_chla_raw,brt,reef_blocked_5fold,1,0.29999999999998295
ltmp,sst_chla_raw,inla,reef_blocked_5fold,1,5.1299999999999955
ltmp,sst_chla_raw,brt,reef_blocked_5fold,2,0.2600000000000193
ltmp,sst_chla_raw,inla,reef_blocked_5fold,2,5.02000000000001
ltmp,sst_chla_raw,brt,reef_blocked_5fold,3,0.28999999999999204
ltmp,sst_chla_raw,inla,reef_blocked_5fold,3,5.159999999999997
ltmp,sst_chla_raw,brt,reef_blocked_5fold,4,0.2400000000000091
ltmp,sst_chla_raw,inla,reef_blocked_5fold,4,5.27000000000001
ltmp,sst_chla_raw,brt,reef_blocked_5fold,5,0.28000000000000114
ltmp,sst_chla_raw,inla,reef_blocked_5fold,5,5.52000000000001
ltmp,sst_chla_raw,brt,leave_one_event_out,2016,0.3299999999999841
ltmp,sst_chla_raw,inla,leave_one_event_out,2016,5.6200000000000045
ltmp,sst_chla_raw,brt,leave_one_event_out,2017,0.29999999999998295
ltmp,sst_chla_raw,inla,leave_one_event_out,2017,5.319999999999993
ltmp,sst_chla_raw,brt,leave_one_event_out,2020,0.37000000000000455
ltmp,sst_chla_raw,inla,leave_one_event_out,2020,5.5800000000000125
ltmp,sst_chla_raw,brt,leave_one_event_out,2022,0.3100000000000023
ltmp,sst_chla_raw,inla,leave_one_event_out,2022,5.199999999999989
ltmp,sst_chla_raw,brt,leave_one_event_out,2024,0.19999999999998863
ltmp,sst_chla_raw,inla,leave_one_event_out,2024,5.259999999999991
ltmp,modifier_pca,brt,reef_blocked_5fold,1,0.21999999999999886
ltmp,modifier_pca,inla,reef_blocked_5fold,1,4.849999999999994
ltmp,modifier_pca,brt,reef_blocked_5fold,2,0.20000000000001705
ltmp,modifier_pca,inla,reef_blocked_5fold,2,4.639999999999986
ltmp,modifier_pca,brt,reef_blocked_5fold,3,0.2799999999999727
ltmp,modifier_pca,inla,reef_blocked_5fold,3,5.159999999999968
ltmp,modifier_pca,brt,reef_blocked_5fold,4,0.2699999999999818
ltmp,modifier_pca,inla,reef_blocked_5fold,4,4.990000000000009
ltmp,modifier_pca,brt,reef_blocked_5fold,5,0.2599999999999909
ltmp,modifier_pca,inla,reef_blocked_5fold,5,5.090000000000032
ltmp,modifier_pca,brt,leave_one_event_out,2016,0.3299999999999841
ltmp,modifier_pca,inla,leave_one_event_out,2016,5.100000000000023
ltmp,modifier_pca,brt,leave_one_event_out,2017,0.26000000000004775
ltmp,modifier_pca,inla,leave_one_event_out,2017,5.170000000000016
ltmp,modifier_pca,brt,leave_one_event_out,2020,0.2699999999999818
ltmp,modifier_pca,inla,leave_one_event_out,2020,5.019999999999982
ltmp,modifier_pca,brt,leave_one_event_out,2022,0.30000000000001137
ltmp,modifier_pca,inla,leave_one_event_out,2022,5
ltmp,modifier_pca,brt,leave_one_event_out,2024,0.21999999999997044
ltmp,modifier_pca,inla,leave_one_event_out,2024,4.779999999999973
mmp,core,brt,reef_blocked_5fold,1,0.16999999999995907
mmp,core,inla,reef_blocked_5fold,1,4.689999999999998
mmp,core,brt,reef_blocked_5fold,2,0.21000000000003638
mmp,core,inla,reef_blocked_5fold,2,4.909999999999968
mmp,core,brt,reef_blocked_5fold,3,0.13999999999998636
mmp,core,inla,reef_blocked_5fold,3,4.75
mmp,core,brt,reef_blocked_5fold,4,0.13999999999998636
mmp,core,inla,reef_blocked_5fold,4,4.610000000000014
mmp,core,brt,reef_blocked_5fold,5,0.160000000000025
mmp,core,inla,reef_blocked_5fold,5,4.810000000000002
mmp,core,brt,leave_one_event_out,2017,0.11000000000001364
mmp,core,inla,leave_one_event_out,2017,5.189999999999998
mmp,core,brt,leave_one_event_out,2022,0.15999999999996817
mmp,core,inla,leave_one_event_out,2022,5.060000000000002
mmp,core,brt,leave_one_event_out,2024,0.10000000000002274
mmp,core,inla,leave_one_event_out,2024,4.760000000000048
mmp,sst_chla_raw,brt,reef_blocked_5fold,1,0.13999999999998636
mmp,sst_chla_raw,inla,reef_blocked_5fold,1,5.389999999999986
mmp,sst_chla_raw,brt,reef_blocked_5fold,2,0.18999999999999773
mmp,sst_chla_raw,inla,reef_blocked_5fold,2,5.2000000000000455
mmp,sst_chla_raw,brt,reef_blocked_5fold,3,0.18000000000000682
mmp,sst_chla_raw,inla,reef_blocked_5fold,3,5.110000000000014
mmp,sst_chla_raw,brt,reef_blocked_5fold,4,0.18999999999999773
mmp,sst_chla_raw,inla,reef_blocked_5fold,4,5.3799999999999955
mmp,sst_chla_raw,brt,reef_blocked_5fold,5,0.18999999999999773
mmp,sst_chla_raw,inla,reef_blocked_5fold,5,5.239999999999952
mmp,sst_chla_raw,brt,leave_one_event_out,2017,0.12999999999999545
mmp,sst_chla_raw,inla,leave_one_event_out,2017,4.939999999999998
mmp,sst_chla_raw,brt,leave_one_event_out,2022,0.2400000000000091
mmp,sst_chla_raw,inla,leave_one_event_out,2022,5.21999999999997
mmp,sst_chla_raw,brt,leave_one_event_out,2024,0.12000000000000455
mmp,sst_chla_raw,inla,leave_one_event_out,2024,5.080000000000041
mmp,modifier_pca,brt,reef_blocked_5fold,1,0.160000000000025
mmp,modifier_pca,inla,reef_blocked_5fold,1,4.8799999999999955
mmp,modifier_pca,brt,reef_blocked_5fold,2,0.18000000000000682
mmp,modifier_pca,inla,reef_blocked_5fold,2,4.840000000000032
mmp,modifier_pca,brt,reef_blocked_5fold,3,0.17000000000001592
mmp,modifier_pca,inla,reef_blocked_5fold,3,5.019999999999982
mmp,modifier_pca,brt,reef_blocked_5fold,4,0.18999999999999773
mmp,modifier_pca,inla,reef_blocked_5fold,4,5.139999999999986
mmp,modifier_pca,brt,reef_blocked_5fold,5,0.14999999999997726
mmp,modifier_pca,inla,reef_blocked_5fold,5,4.699999999999989
mmp,modifier_pca,brt,leave_one_event_out,2017,0.1400000000000432
mmp,modifier_pca,inla,leave_one_event_out,2017,5.230000000000018
mmp,modifier_pca,brt,leave_one_event_out,2022,0.13999999999998636
mmp,modifier_pca,inla,leave_one_event_out,2022,4.8700000000000045
mmp,modifier_pca,brt,leave_one_event_out,2024,0.11000000000001364
mmp,modifier_pca,inla,leave_one_event_out,2024,4.699999999999989
