source_observation_id,ReefID,ReefName,event_year,survey_date,depth,reef_zone,reefpage_category,mortality_prop,legacy_survey_max_dhw,reconstructed_ann_maxdhw,dhw_difference,legacy_below4,reconstructed_below4,legacy_below4_reclassified,environmental_feature_count,environment_match_method,lon,lat
4142980,18-001,Richards (Bedarra) Reef (18-001),2024,2024-06-03,2,_,null,0,4.065,4.12,0.054999999999999716,FALSE,FALSE,FALSE,1,exact_reef_name,146.15190588458626,-18.00790179491856
4142991,18-001,Richards (Bedarra) Reef (18-001),2024,2024-06-03,5,_,null,0.04904518159865426,4.065,4.12,0.054999999999999716,FALSE,FALSE,FALSE,1,exact_reef_name,146.15190588458626,-18.00790179491856
4167064,17-053,Stingaree Reefs (17-053),2024,2024-06-03,2,South,null,0,3.976666667,4.15,0.17333333300000042,TRUE,FALSE,TRUE,1,exact_reef_name,146.1511371492056,-17.95156984600971
4167081,17-053,Stingaree Reefs (17-053),2024,2024-06-03,5,South,null,0,3.976666667,4.15,0.17333333300000042,TRUE,FALSE,TRUE,1,exact_reef_name,146.1511371492056,-17.95156984600971
4167098,17-053,Stingaree Reefs (17-053),2024,2024-06-04,2,North,null,0.08448089989497658,3.976666667,4.15,0.17333333300000042,TRUE,FALSE,TRUE,1,exact_reef_name,146.1511371492056,-17.95156984600971
4167117,17-053,Stingaree Reefs (17-053),2024,2024-06-04,5,North,null,0.11474101713504835,3.976666667,4.15,0.17333333300000042,TRUE,FALSE,TRUE,1,exact_reef_name,146.1511371492056,-17.95156984600971
4155460,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2017,2017-05-14,2,_,null,0,4.4,4.4,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.96767608210962,-23.211159371709183
4155480,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2017,2017-05-14,5,_,null,0.07656755222974268,4.4,4.4,0,FALSE,FALSE,FALSE,1,exact_reef_name,150.96767608210962,-23.211159371709183
4137925,18-049e,Orpheus (Goolboddi) Island Reef (No 5) (18-049e),2022,2023-04-29,2,East,null,0,5.4575,5.32,-0.1374999999999993,FALSE,FALSE,FALSE,1,exact_reef_name,146.49836891468513,-18.593317615286683
4137941,18-049e,Orpheus (Goolboddi) Island Reef (No 5) (18-049e),2022,2023-04-29,5,East,null,0,5.4575,5.32,-0.1374999999999993,FALSE,FALSE,FALSE,1,exact_reef_name,146.49836891468513,-18.593317615286683
4137924,18-049e,Orpheus (Goolboddi) Island Reef (No 5) (18-049e),2024,2024-05-31,2,East,null,0.33651069129053574,5.53,5.37,-0.16000000000000014,FALSE,FALSE,FALSE,1,exact_reef_name,146.49836891468513,-18.593317615286683
4137940,18-049e,Orpheus (Goolboddi) Island Reef (No 5) (18-049e),2024,2024-05-31,5,East,null,0.23408438029879564,5.53,5.37,-0.16000000000000014,FALSE,FALSE,FALSE,1,exact_reef_name,146.49836891468513,-18.593317615286683
4164846,17-009a,Tobias Spit (17-009a),2024,2024-06-15,2,East,null,0.5493500371623812,6.32,6.32,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.01023419855662,-17.157879486729655
4164863,17-009a,Tobias Spit (17-009a),2024,2024-06-15,2,West,null,0,6.32,6.32,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.01023419855662,-17.157879486729655
4164883,17-009a,Tobias Spit (17-009a),2024,2024-06-15,5,East,null,0.07674865937178825,6.32,6.32,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.01023419855662,-17.157879486729655
4164900,17-009a,Tobias Spit (17-009a),2024,2024-06-15,5,West,null,0,6.32,6.32,0,FALSE,FALSE,FALSE,1,exact_reef_name,146.01023419855662,-17.157879486729655
4139904,20-028d,Hook Island Reef (No 4) (20-028d),2024,2024-07-16,2,_,null,0,6.826666667,6.61,-0.21666666699999926,FALSE,FALSE,FALSE,1,exact_reef_name,148.90341733208254,-20.15072927351901
