programme_key,modifier,modifier_level,modifier_value,modifier_units
manta,acropora_composition,Low (10th percentile),0.08205185222328912,proportion of pre-event hard coral
manta,acropora_composition,Median (50th percentile),0.27908342553874005,proportion of pre-event hard coral
manta,acropora_composition,High (90th percentile),0.668629531002006,proportion of pre-event hard coral
manta,dhw_novelty10,Low (10th percentile),-5.005,DHW anomaly
manta,dhw_novelty10,Median (50th percentile),-0.44499999999999995,DHW anomaly
manta,dhw_novelty10,High (90th percentile),4.182,DHW anomaly
manta,cloudp_90,Low (10th percentile),0.54024335,fraction
manta,cloudp_90,Median (50th percentile),0.6959865000000001,fraction
manta,cloudp_90,High (90th percentile),0.8638448679999999,fraction
ltmp,acropora_composition,Low (10th percentile),0.04416278783401122,proportion of pre-event hard coral
ltmp,acropora_composition,Median (50th percentile),0.2688625059919296,proportion of pre-event hard coral
ltmp,acropora_composition,High (90th percentile),0.6708836309552813,proportion of pre-event hard coral
ltmp,dhw_novelty10,Low (10th percentile),-4.960000000000001,DHW anomaly
ltmp,dhw_novelty10,Median (50th percentile),-0.31,DHW anomaly
ltmp,dhw_novelty10,High (90th percentile),4.178000000000001,DHW anomaly
ltmp,cloudp_90,Low (10th percentile),0.5630638,fraction
ltmp,cloudp_90,Median (50th percentile),0.7154463,fraction
ltmp,cloudp_90,High (90th percentile),0.87140842,fraction
mmp,acropora_composition,Low (10th percentile),0.04961985378338604,proportion of pre-event hard coral
mmp,acropora_composition,Median (50th percentile),0.26474033381659684,proportion of pre-event hard coral
mmp,acropora_composition,High (90th percentile),0.8817916436590687,proportion of pre-event hard coral
mmp,dhw_novelty10,Low (10th percentile),-3.96,DHW anomaly
mmp,dhw_novelty10,Median (50th percentile),2.69,DHW anomaly
mmp,dhw_novelty10,High (90th percentile),8.18,DHW anomaly
mmp,cloudp_90,Low (10th percentile),0.6265433,fraction
mmp,cloudp_90,Median (50th percentile),0.6970374,fraction
mmp,cloudp_90,High (90th percentile),0.8873663,fraction
