programme_key,fold,zero_retention,beta_seconds,occurrence_seconds
manta,1,1,1.5600000000000005,1.33
manta,1,0.75,1.5600000000000005,1.33
manta,1,0.5,1.5600000000000005,1.17
manta,1,0.25,1.5600000000000005,1.1600000000000001
manta,2,1,1.3200000000000003,1.2899999999999991
manta,2,0.75,1.3200000000000003,1.3499999999999996
manta,2,0.5,1.3200000000000003,1.25
manta,2,0.25,1.3200000000000003,1.2200000000000024
manta,3,1,1.2800000000000011,1.2699999999999996
manta,3,0.75,1.2800000000000011,1.259999999999998
manta,3,0.5,1.2800000000000011,1.25
manta,3,0.25,1.2800000000000011,1.0800000000000018
manta,4,1,1.0300000000000011,1.2600000000000016
manta,4,0.75,1.0300000000000011,1.3299999999999983
manta,4,0.5,1.0300000000000011,1.0299999999999976
manta,4,0.25,1.0300000000000011,1.2199999999999989
manta,5,1,1.3200000000000003,1.2899999999999991
manta,5,0.75,1.3200000000000003,1.1599999999999966
manta,5,0.5,1.3200000000000003,1.1899999999999977
manta,5,0.25,1.3200000000000003,1.1600000000000037
ltmp,1,1,1.1400000000000006,1.1400000000000006
ltmp,1,0.75,1.1400000000000006,1.1300000000000026
ltmp,1,0.5,1.1400000000000006,1.1000000000000014
ltmp,1,0.25,1.1400000000000006,1.1099999999999994
ltmp,2,1,1.1600000000000037,1.0799999999999983
ltmp,2,0.75,1.1600000000000037,1.1699999999999946
ltmp,2,0.5,1.1600000000000037,1.2199999999999989
ltmp,2,0.25,1.1600000000000037,1.1400000000000006
ltmp,3,1,1.2800000000000011,1.2199999999999989
ltmp,3,0.75,1.2800000000000011,1.2299999999999969
ltmp,3,0.5,1.2800000000000011,1.0799999999999983
ltmp,3,0.25,1.2800000000000011,1.1400000000000006
ltmp,4,1,1.2199999999999989,1.0499999999999972
ltmp,4,0.75,1.2199999999999989,1.1600000000000037
ltmp,4,0.5,1.2199999999999989,1.0700000000000003
ltmp,4,0.25,1.2199999999999989,1.1199999999999974
ltmp,5,1,1.2299999999999969,1.1799999999999997
ltmp,5,0.75,1.2299999999999969,1.1499999999999986
ltmp,5,0.5,1.2299999999999969,1.1100000000000065
ltmp,5,0.25,1.2299999999999969,1.1199999999999903
mmp,1,1,1.1799999999999926,1.1100000000000136
mmp,1,0.75,1.1799999999999926,1.2000000000000028
mmp,1,0.5,1.1799999999999926,1.1400000000000006
mmp,1,0.25,1.1799999999999926,1.2199999999999989
mmp,2,1,1.2199999999999989,1.1999999999999886
mmp,2,0.75,1.2199999999999989,1.1299999999999955
mmp,2,0.5,1.2199999999999989,1.1899999999999977
mmp,2,0.25,1.2199999999999989,1.0799999999999983
mmp,3,1,1.1999999999999886,1.0700000000000074
mmp,3,0.75,1.1999999999999886,1.1300000000000097
mmp,3,0.5,1.1999999999999886,1.1400000000000006
mmp,3,0.25,1.1999999999999886,1.1400000000000006
mmp,4,1,1.1700000000000017,1.1099999999999994
mmp,4,0.75,1.1700000000000017,1.190000000000012
mmp,4,0.5,1.1700000000000017,1.1400000000000006
mmp,4,0.25,1.1700000000000017,1.1099999999999994
mmp,5,1,1.3400000000000034,1.1400000000000006
mmp,5,0.75,1.3400000000000034,1.2199999999999989
mmp,5,0.5,1.3400000000000034,1.1400000000000006
mmp,5,0.25,1.3400000000000034,1.1700000000000017
