programme_key,event_year,dhw_band,n,zeros,zero_fraction,observed_mean,observed_positive_mean
ltmp,2016,<4,10,8,0.8,0.024665533206204585,0.12332766603102292
ltmp,2016,4-<8,9,2,0.2222222222222222,0.28113023077355365,0.36145315385171184
ltmp,2016,8-<12,3,1,0.3333333333333333,0.41864036367649576,0.6279605455147437
ltmp,2017,<4,3,1,0.3333333333333333,0.03269286631141393,0.04903929946712089
ltmp,2017,4-<8,11,7,0.6363636363636364,0.15246333661279676,0.4192741756851911
ltmp,2017,8-<12,5,1,0.2,0.35242336933672724,0.440529211670909
ltmp,2020,<4,3,1,0.3333333333333333,0.01642694123777217,0.024640411856658252
ltmp,2020,4-<8,36,33,0.9166666666666666,0.017343215984735514,0.20811859181682615
ltmp,2020,8-<12,8,7,0.875,0.04922585677435978,0.39380685419487826
ltmp,2022,<4,5,2,0.4,0.013728808594561938,0.02288134765760323
ltmp,2022,4-<8,30,21,0.7,0.01626663499054905,0.054222116635163506
ltmp,2022,8-<12,1,0,0,0.014261294460282303,0.014261294460282303
ltmp,2024,<4,1,0,0,0.2553628149610071,0.2553628149610071
ltmp,2024,4-<8,45,19,0.4222222222222222,0.0774680574396743,0.1340793301840517
ltmp,2024,8-<12,29,9,0.3103448275862069,0.16225895345539607,0.2352754825103243
manta,2016,<4,8,7,0.875,0.014353087096619496,0.11482469677295597
manta,2016,4-<8,8,2,0.25,0.20127020187973543,0.2683602691729806
manta,2016,8-<12,4,0,0,0.29597226442210645,0.29597226442210645
manta,2017,<4,4,3,0.75,0.028061174401854242,0.11224469760741697
manta,2017,4-<8,13,6,0.46153846153846156,0.09097326040494325,0.16895034075203746
manta,2017,8-<12,6,1,0.16666666666666666,0.2862668749802962,0.3435202499763554
manta,2020,<4,9,9,1,0,
manta,2020,4-<8,48,45,0.9375,0.008291173761066035,0.13265878017705657
manta,2020,8-<12,6,4,0.6666666666666666,0.05400030253212663,0.1620009075963799
manta,2022,<4,14,11,0.7857142857142857,0.011071047455026916,0.051664888123458944
manta,2022,4-<8,36,23,0.6388888888888888,0.04838666622353908,0.13399384492672362
manta,2022,8-<12,3,3,1,0,
manta,2024,<4,3,0,0,0.385949896539362,0.385949896539362
manta,2024,4-<8,47,15,0.3191489361702128,0.18281622272615333,0.2685113271290377
manta,2024,8-<12,39,9,0.23076923076923078,0.1858868264718876,0.24165287441345384
mmp,2017,4-<8,10,4,0.4,0.08399190416485128,0.1399865069414188
mmp,2017,8-<12,22,5,0.22727272727272727,0.14411277582178955,0.18649888635761003
mmp,2022,4-<8,4,4,1,0,
mmp,2024,4-<8,24,10,0.4166666666666667,0.2089737179559507,0.3582406593530584
mmp,2024,8-<12,14,7,0.5,0.11797363480323413,0.23594726960646825
mmp,2024,>=12,16,1,0.0625,0.38588146929386036,0.41160690058011773
