Method,ReefName,Reef_Name,ReefID,SECTOR,Region,reef_zone,depth,report_year,DHWYear,Date,Prev.HC,mean,Change,Abs.Change,Rel.Change,Mort.prop,MaxDHW.mean,DISTURBANCE_TYPE,storm_name,description,Pre_Cover_Pct,Post_Cover_Pct,Net_Change_Pct,Growth_Adj_Loss_Pct,Mortality_Pct,MaxDHW
Benthic Photo (MMP),Snapper Reef (16-006),SNAPPER ISLAND,16-006,CA,Central,South,2,2024,2024,2024-06-05,0.5029984341764817,0,-0.5029984341764817,-0.5153192135110398,-0.9980632136596276,0.9980632136596276,6.9,m,Jasper,NA,50.3,0,-50.3,-51.5,99.8,6.9
Benthic Photo (MMP),Snapper Reef (16-006),SNAPPER ISLAND,16-006,CA,Central,South,5,2024,2024,2024-06-05,0.5789794313776275,0,-0.5789794313776275,-0.5802382442301444,-0.9982795350961041,0.9982795350961041,6.9,m,Jasper,NA,57.9,0,-57.9,-58,99.8,6.9
Benthic Photo (LTMP),Taylor Reef (17-064),TAYLOR REEF,17-064,IN,Central,_,9,2018,2017,2018-02-22,0.6297488038167678,0.0347810905147587,-0.594967713302009,-0.3295157639102113,-0.9020492783298576,0.9020492783298576,7.61,m,NA,COTS.  AO in 2018,63,3.5,-59.5,-33,90.2,7.61
Benthic Photo (LTMP),U/N Reef (21-060),REEF 21-060,21-060,PO,Southern,_,9,2018,2017,2018-03-21,0.032859866262247746,0.019740502983624602,-0.013119363278623144,-0.09653009841524372,-0.8231397917617846,0.8231397917617846,4.38,NA,NA,NA,3.3,2,-1.3,-9.7,82.3,4.38
Benthic Photo (MMP),Daydream Reef (No 1) (20-035a),DAYDREAM ISLAND,20-035a,WH,Southern,_,2,2021,2021,2021-06-16,0.006350466526021405,0.0025906872198502118,-0.0037597793061711934,-0.015319936993743725,-0.8101232841764662,0.8101232841764662,0,NA,NA,NA,0.6,0.3,-0.4,-1.5,81,0
Benthic Photo (MMP),Double Cone Reef (20-024),DOUBLE CONE ISLAND,20-024,WH,Southern,_,2,2018,2018,2018-06-15,0.01905276923084201,0.008698111323992693,-0.010354657906849316,-0.032315421798755836,-0.7691669658998144,0.7691669658998144,0,NA,NA,NA,1.9,0.9,-1,-3.2,76.9,0
Benthic Photo (LTMP),Hedley Reef (17-014),HEDLEY REEF,17-014,IN,Central,_,9,2018,2017,2018-02-18,0.13113998869877158,0.038835686592122616,-0.09230430210664897,-0.12930428070342964,-0.764480937125201,0.764480937125201,7.98,b,NA,"0+ bleaching, disease, Drupella and low numbers of COTS, 2016/17 summer bleaching.  Decline in coral cover, low number of COTS, COTS removal-80",13.1,3.9,-9.2,-12.9,76.4,7.98
Benthic Photo (LTMP),Farquharson Reef (No 1) (17-063a),FARQUHARSON REEF,17-063a,IN,Central,_,9,2018,2017,2018-02-21,0.2854911510065585,0.0724496420630625,-0.213041508943496,-0.23376009857963623,-0.7609136939818314,0.7609136939818314,8.16,m,NA,"COTS.  AO in 2018, COTS removal-308",28.5,7.2,-21.3,-23.4,76.1,8.16
Benthic Photo (MMP),Snapper Reef (16-006),SNAPPER ISLAND,16-006,CA,Central,North,2,2024,2024,2024-06-04,0.16863589480805166,0.05155365819270063,-0.11708223661535103,-0.15345640004711714,-0.7448976101374499,0.7448976101374499,6.9,m,Jasper,NA,16.9,5.2,-11.7,-15.3,74.5,6.9
Benthic Photo (LTMP),Yonge Reef (14-138),YONGE REEF,14-138,CL,Northern,_,9,2017,2016,2016-09-03,0.1814227608355879,0.07324354359215884,-0.10817921724342905,-0.21394692883015026,-0.7423802981128269,0.7423802981128269,11.36,m,NA,"bleaching mortality, storm dmage.  intact dead colonies observed,Cyclone Nathan March 2015, 2015/16 summer bleaching",18.1,7.3,-10.8,-21.4,74.2,11.36
Benthic Photo (LTMP),Carter Reef (14-137),CARTER REEF,14-137,CL,Northern,_,9,2017,2016,2016-09-04,0.2529042297452632,0.08607883976924205,-0.16682538997602117,-0.2252487145073815,-0.7211938601737402,0.7211938601737402,11.32,m,NA,"0+ survey severe bleaching in sector 2016 summer, also severe storm damage.  Cyclone Nathan March 2015, 2015/16 summer bleaching",25.3,8.6,-16.7,-22.5,72.1,11.32
Benthic Photo (LTMP),Penrith Reef (21-025),PENRITH ISLAND,21-025,PO,Southern,_,9,2018,2017,2018-03-15,0.3001225609922936,0.0800055742314458,-0.22011698676084782,-0.20756085232903268,-0.719282748180449,0.719282748180449,4.845,m,NA,Aerial bl 4 2017,30,8,-22,-20.8,71.9,4.84
Benthic Photo (MMP),North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),NORTH KEPPEL ISLAND,23-004b,CB,Southern,_,2,2025,2024,2025-04-21,0.17797019321167112,0.06233144983205673,-0.11563874337961438,-0.1568729347464955,-0.7123969626977846,0.7123969626977846,12.135,b,NA,further decline as a result of bleaching in 2024,17.8,6.2,-11.6,-15.7,71.2,12.13
Benthic Photo (LTMP),Pompey Reef (No 1) (20-351a),POMPEY REEF NO.1,20-351a,PO,Southern,_,9,2018,2017,2018-03-22,0.25440328219146235,0.09147379895155361,-0.16292948323990875,-0.22269184687326096,-0.7065866785399721,0.7065866785399721,4.283333333,b,NA,Aerial bl 2 2017 events.,25.4,9.1,-16.3,-22.3,70.7,4.28
