Method,ReefName,Reef_Name,ReefID,SECTOR,Region,reef_zone,depth,report_year,DHWYear,Date,Prev.HC,mean,Change,Abs.Change,Rel.Change,Mort.prop,MaxDHW.mean,DISTURBANCE_TYPE,Pre_Cover_Pct,Post_Cover_Pct,Net_Change_Pct,Growth_Adj_Loss_Pct,Mortality_Pct,MaxDHW
Benthic Photo (MMP),Snapper Reef (16-006),SNAPPER ISLAND,16-006,CA,Central,South,2,2024,2024,2024-06-05,0.5029984341764817,0,-0.5029984341764817,-0.5153192135110398,-0.9980632136596276,0.9980632136596276,6.9,NA,50.3,0,-50.3,-51.5,99.8,6.9
Benthic Photo (MMP),Snapper Reef (16-006),SNAPPER ISLAND,16-006,CA,Central,South,5,2024,2024,2024-06-05,0.5789794313776275,0,-0.5789794313776275,-0.5802382442301444,-0.9982795350961041,0.9982795350961041,6.9,NA,57.9,0,-57.9,-58,99.8,6.9
Benthic Photo (MMP),Daydream Reef (No 1) (20-035a),DAYDREAM ISLAND,20-035a,WH,Southern,_,2,2017,2017,2017-07-06,0.3518070337851494,0.00601426890492239,-0.345792764880227,-0.36370135995065456,-0.9810791119689884,0.9810791119689884,6.495,NA,35.2,0.6,-34.6,-36.4,98.1,6.5
Benthic Photo (MMP),Double Cone Reef (20-024),DOUBLE CONE ISLAND,20-024,WH,Southern,_,2,2017,2017,2017-06-30,0.6612117333322652,0.01905276923084201,-0.6421589641014233,-0.5759458507219323,-0.966354336135156,0.966354336135156,8.1,NA,66.1,1.9,-64.2,-57.6,96.6,8.1
Benthic Photo (MMP),Lady Elliot Reef (18-050),LADY ELLIOT REEF,18-050,TO,Central,_,2,2025,2025,2025-05-17,0.25992233538362813,0.025973808208153,-0.23394852717547512,-0.26009339411242094,-0.9060366074908454,0.9060366074908454,NA,NA,26,2.6,-23.4,-26,90.6,NA
Benthic Photo (MMP),Daydream Reef (No 1) (20-035a),DAYDREAM ISLAND,20-035a,WH,Southern,_,5,2017,2017,2017-07-06,0.3971136029601058,0.041395876644934014,-0.3557177263151718,-0.36368405743408544,-0.8955972135360815,0.8955972135360815,6.495,NA,39.7,4.1,-35.6,-36.4,89.6,6.5
Benthic Photo (MMP),Hook Island Reef (No 4) (20-028d),HOOK ISLAND,20-028d,WH,Southern,_,2,2018,2018,2018-06-14,0.19982646856957795,0.03835992550387699,-0.16146654306570096,-0.19270381551775612,-0.830391747842211,0.830391747842211,0,NA,20,3.8,-16.1,-19.3,83,0
Benthic Photo (MMP),Pelican Island Reef (23-017),PELICAN ISLAND,23-017,CB,Southern,_,2,2018,2018,2018-05-04,0.012068372530711012,0.0065916927046291,-0.005476679826081912,-0.03592928222573806,-0.8255624393346959,0.8255624393346959,2.13,NA,1.2,0.7,-0.5,-3.6,82.6,2.13
Benthic Photo (LTMP),U/N Reef (21-060),REEF 21-060,21-060,PO,Southern,_,9,2018,2017,2018-03-21,0.032859866262247746,0.019740502983624602,-0.013119363278623144,-0.09653009841524372,-0.8231397917617846,0.8231397917617846,4.38,n,3.3,2,-1.3,-9.7,82.3,4.38
Benthic Photo (MMP),Daydream Reef (No 1) (20-035a),DAYDREAM ISLAND,20-035a,WH,Southern,_,2,2021,2021,2021-06-16,0.006350466526021405,0.0025906872198502118,-0.0037597793061711934,-0.015319936993743725,-0.8101232841764662,0.8101232841764662,0,NA,0.6,0.3,-0.4,-1.5,81,0
Benthic Photo (MMP),Richards (Bedarra) Reef (18-001),BEDARRA ISLAND,18-001,IN,Central,_,2,2025,2025,2025-05-23,0.13340618825777464,0.032107113719403946,-0.1012990745383707,-0.13572620627944684,-0.8039065172702325,0.8039065172702325,NA,NA,13.3,3.2,-10.1,-13.6,80.4,NA
Benthic Photo (LTMP),U/N Reef (21-062),REEF 21-062,21-062,PO,Southern,_,9,2018,2017,2018-03-08,0.06383094230198064,0.030108016316876814,-0.03372292598510382,-0.11206586532612245,-0.7827256203443311,0.7827256203443311,3.23,n,6.4,3,-3.4,-11.2,78.3,3.23
Benthic Photo (MMP),Double Cone Reef (20-024),DOUBLE CONE ISLAND,20-024,WH,Southern,_,2,2018,2018,2018-06-15,0.01905276923084201,0.008698111323992693,-0.010354657906849316,-0.032315421798755836,-0.7691669658998144,0.7691669658998144,0,NA,1.9,0.9,-1,-3.2,76.9,0
Benthic Photo (LTMP),Hedley Reef (17-014),HEDLEY REEF,17-014,IN,Central,_,9,2018,2017,2018-02-18,0.13113998869877158,0.038835686592122616,-0.09230430210664897,-0.12930428070342964,-0.764480937125201,0.764480937125201,7.98,b,13.1,3.9,-9.2,-12.9,76.4,7.98
Benthic Photo (LTMP),Gannett Cay Reef (21-556),GANNET CAY,21-556,SW,Southern,_,9,2023,2022,2022-09-08,0.10128261590744957,0.04963625471594167,-0.051646361191507895,-0.14840115056674816,-0.745594278401973,0.745594278401973,0.66,NA,10.1,5,-5.2,-14.8,74.6,0.66
Benthic Photo (MMP),Snapper Reef (16-006),SNAPPER ISLAND,16-006,CA,Central,North,2,2024,2024,2024-06-04,0.16863589480805166,0.05155365819270063,-0.11708223661535103,-0.15345640004711714,-0.7448976101374499,0.7448976101374499,6.9,NA,16.9,5.2,-11.7,-15.3,74.5,6.9
Benthic Photo (MMP),Pine Island Reef (20-061),PINE ISLAND,20-061,WH,Southern,_,2,2017,2017,2017-07-05,0.43703485794537794,0.11512450523437846,-0.3219103527109995,-0.31908790037652873,-0.7331774008799804,0.7331774008799804,5.99,NA,43.7,11.5,-32.2,-31.9,73.3,5.99
Benthic Photo (LTMP),Penrith Reef (21-025),PENRITH ISLAND,21-025,PO,Southern,_,9,2018,2017,2018-03-15,0.3001225609922936,0.0800055742314458,-0.22011698676084782,-0.20756085232903268,-0.719282748180449,0.719282748180449,4.845,NA,30,8,-22,-20.8,71.9,4.84
Benthic Photo (MMP),North Keppel (Ko-no-mie) Island Reef (No 2) (23-004b),NORTH KEPPEL ISLAND,23-004b,CB,Southern,_,2,2025,2024,2025-04-21,0.17797019321167112,0.06233144983205673,-0.11563874337961438,-0.1568729347464955,-0.7123969626977846,0.7123969626977846,12.135,NA,17.8,6.2,-11.6,-15.7,71.2,12.13
Manta Tow (LTMP),Linnet Reef (14-126),LINNET REEF,14-126,CL,Northern,_,9,2025,2024,2024-09-30,0.4278475351183221,0.12205758932979481,-0.30578994578852725,-0.289122100402445,-0.701446741808808,0.701446741808808,6.565,NA,42.8,12.2,-30.6,-28.9,70.1,6.57
Benthic Photo (LTMP),Tern Reef (20-309),TERN ISLAND,20-309,PO,Southern,_,9,2025,2024,2025-01-14,0.11674261464512391,0.04463179670920843,-0.07211081793591548,-0.10640754032392495,-0.6998684840406528,0.6998684840406528,7.65,NA,11.7,4.5,-7.2,-10.6,70,7.65
Benthic Photo (LTMP),One Tree Island Reef (23-055a),ONE TREE ISLAND,23-055a,CB,Southern,_,9,2025,2024,2024-11-06,0.6465710923203194,0.19033698696083282,-0.4562341053594866,-0.4409809846860884,-0.6974038449951363,0.6974038449951363,11.53,NA,64.7,19,-45.6,-44.1,69.7,11.53
Benthic Photo (MMP),Double Cone Reef (20-024),DOUBLE CONE ISLAND,20-024,WH,Southern,_,5,2017,2017,2017-06-30,0.7131878066652536,0.19056469737123397,-0.5226231092940197,-0.43937347466797805,-0.6963811893769387,0.6963811893769387,8.1,NA,71.3,19.1,-52.3,-43.9,69.6,8.1
Benthic Photo (LTMP),Broomfield Reef (23-048),BROOMFIELD REEF,23-048,CB,Southern,_,9,2025,2024,2024-11-04,0.5750808079045714,0.17919578831157115,-0.39588501959300026,-0.3909737388061617,-0.6845143521208404,0.6845143521208404,11.6,NA,57.5,17.9,-39.6,-39.1,68.5,11.6
Benthic Photo (MMP),Humpy (Bur-ye-Bur-ye) Reef (23-016),HUMPY ISLAND AND HALFWAY ISLAND,23-016,CB,Southern,_,2,2025,2024,2025-04-21,0.22997353185720512,0.07922743179567049,-0.15074610006153463,-0.16589451814734757,-0.674033820168235,0.674033820168235,12.47,NA,23,7.9,-15.1,-16.6,67.4,12.47
Benthic Photo (MMP),Stingaree Reefs (17-053),DUNK ISLAND,17-053,IN,Central,North,2,2025,2025,2025-05-23,0.44005306631645896,0.14082710829470307,-0.2992259580217559,-0.2923242593745725,-0.673323364023713,0.673323364023713,NA,NA,44,14.1,-29.9,-29.2,67.3,NA
Benthic Photo (MMP),Daydream Reef (No 1) (20-035a),DAYDREAM ISLAND,20-035a,WH,Southern,_,2,2018,2018,2018-06-14,0.00601426890492239,0.005022243281103812,-9.92025623818578e-4,-0.012168592261612488,-0.6689408099500328,0.6689408099500328,0,NA,0.6,0.5,-0.1,-1.2,66.9,0
Benthic Photo (LTMP),North Direction Reef (14-143),NORTH DIRECTION ISLAND,14-143,CL,Northern,_,9,2017,2016,2016-12-16,0.08850900291861305,0.047185697838981064,-0.041323305079631986,-0.09317147497713603,-0.6591209566587548,0.6591209566587548,8.83,n,8.9,4.7,-4.1,-9.3,65.9,8.83
Benthic Photo (MMP),Pelican Island Reef (23-017),PELICAN ISLAND,23-017,CB,Southern,_,2,2021,2021,2021-05-08,0.048286517218236284,0.024962736861138462,-0.023323780357097822,-0.05021823505223273,-0.6591965656376522,0.6591965656376522,0,NA,4.8,2.5,-2.3,-5,65.9,0
Manta Tow (LTMP),North Direction Reef (14-143),NORTH DIRECTION ISLAND,14-143,CL,Northern,_,9,2025,2024,2024-09-27,0.5837507562816058,0.18210999156528573,-0.40164076471632004,-0.34724644031625385,-0.6547416406063589,0.6547416406063589,6.505,NA,58.4,18.2,-40.2,-34.7,65.5,6.5
